Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
162,2024-11-25,2863,NICBF,NIC Asia Balanced Fund,10.25,10.25,10.2,10.2,8700,89170.0,10.4,10.5,7.71,2024-11-25T14:36:32.412882,10.2,2,10.24,770.1
165,2024-11-26,2863,NICBF,NIC Asia Balanced Fund,10.0,10.0,9.81,9.84,900,8867.0,10.2,10.5,7.71,2024-11-26T14:36:34.204549,9.84,5,9.85,742.92
161,2024-11-27,2863,NICBF,NIC Asia Balanced Fund,9.66,9.69,9.5,9.52,10800,104117.0,9.84,10.5,7.71,2024-11-27T14:44:04.888199,9.52,11,9.64,718.76
174,2024-11-28,2863,NICBF,NIC Asia Balanced Fund,9.52,9.52,9.47,9.47,1100,10433.0,9.52,10.5,7.71,2024-11-28T13:39:28.735978,9.47,3,9.48,714.99
135,2024-12-01,2863,NICBF,NIC Asia Balanced Fund,9.51,9.51,9.5,9.5,5800,55101.0,9.47,10.5,7.71,2024-12-01T14:45:44.747768,9.5,4,9.5,717.25
162,2024-12-03,2863,NICBF,NIC Asia Balanced Fund,9.5,9.88,9.5,9.88,42652,414076.7,9.5,10.5,7.71,2024-12-03T12:55:38.412037,9.88,8,9.7,745.94
162,2024-12-04,2863,NICBF,NIC Asia Balanced Fund,9.69,9.7,9.69,9.69,75135,728059.15,9.88,10.5,7.71,2024-12-04T14:57:06.291071,9.69,5,9.69,731.6
157,2024-12-05,2863,NICBF,NIC Asia Balanced Fund,9.5,9.51,9.5,9.51,1100,10451.0,9.69,10.5,7.71,2024-12-05T14:51:30.968589,9.51,4,9.5,718.0
162,2024-12-08,2863,NICBF,NIC Asia Balanced Fund,9.32,9.5,9.32,9.5,800,7581.0,9.51,10.5,7.71,2024-12-08T14:14:55.534044,9.5,4,9.47,717.25
159,2024-12-09,2863,NICBF,NIC Asia Balanced Fund,9.33,9.51,9.33,9.51,3400,32298.0,9.5,10.5,7.71,2024-12-09T13:06:03.409513,9.51,4,9.49,718.0
158,2024-12-10,2863,NICBF,NIC Asia Balanced Fund,9.41,9.41,9.4,9.41,8700,81865.0,9.51,10.5,7.71,2024-12-10T14:32:37.047938,9.41,9,9.4,710.46
157,2024-12-11,2863,NICBF,NIC Asia Balanced Fund,9.4,9.4,9.23,9.23,1800,16886.0,9.41,10.5,7.71,2024-12-11T13:57:03.401561,9.23,4,9.38,696.87
173,2024-12-12,2863,NICBF,NIC Asia Balanced Fund,9.33,9.52,9.33,9.51,15448,146464.48,9.23,10.5,7.71,2024-12-12T14:43:32.878188,9.51,6,9.48,718.0
168,2024-12-16,2863,NICBF,NIC Asia Balanced Fund,9.32,9.32,9.32,9.32,100,932.0,9.51,10.5,7.71,2024-12-16T12:47:55.845956,9.32,1,9.32,703.66
131,2024-12-17,2863,NICBF,NIC Asia Balanced Fund,9.3,9.32,9.3,9.3,11100,103320.0,9.32,10.5,7.71,2024-12-17T14:59:56.669387,9.3,7,9.3,702.15
233,2024-12-18,2863,NICBF,NIC Asia Balanced Fund,9.25,9.25,9.25,9.25,3200,29600.0,9.3,10.5,7.71,2024-12-18T12:28:34.119451,9.25,1,9.25,698.38
159,2024-12-19,2863,NICBF,NIC Asia Balanced Fund,9.25,9.25,9.25,9.25,500,4625.0,9.25,10.5,7.71,2024-12-19T13:12:34.279182,9.25,1,9.25,698.38
161,2024-12-22,2863,NICBF,NIC Asia Balanced Fund,9.3,9.3,9.12,9.12,7100,65670.0,9.25,10.5,7.71,2024-12-22T14:40:07.875118,9.12,4,9.24,688.56
135,2024-12-23,2863,NICBF,NIC Asia Balanced Fund,9.11,9.11,9.11,9.11,300,2733.0,9.12,10.5,7.71,2024-12-23T14:26:33.289902,9.11,2,9.11,687.8
163,2024-12-24,2863,NICBF,NIC Asia Balanced Fund,9.11,9.11,9.07,9.07,1200,10892.0,9.11,10.5,7.71,2024-12-24T14:20:25.874236,9.07,2,9.07,684.78
132,2024-12-26,2863,NICBF,NIC Asia Balanced Fund,8.89,9.04,8.89,9.04,1000500,9044445.0,9.07,10.5,7.71,2024-12-26T13:51:54.573174,9.04,3,9.03,682.52
175,2024-12-29,2863,NICBF,NIC Asia Balanced Fund,9.0,9.22,9.0,9.22,5600,51515.0,9.04,10.5,7.71,2024-12-29T13:33:58.031344,9.22,4,9.19,696.11
