Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
189,2024-11-25,7986,NICD88,NIC ASIA Rinpatra 2088,1025.0,1025.0,1025.0,1025.0,100,102500.0,1030.0,1067.0,935.0,2024-11-25T12:35:13.102825,1025.0,1,1025.0,1613.22
216,2024-11-26,7986,NICD88,NIC ASIA Rinpatra 2088,1017.0,1021.5,1017.0,1021.5,75,76490.0,1025.0,1067.0,935.0,2024-11-26T13:33:37.489334,1021.5,3,1019.86,1607.71
207,2024-11-27,7986,NICD88,NIC ASIA Rinpatra 2088,1041.0,1041.0,1041.0,1041.0,47,48927.0,1021.5,1067.0,935.0,2024-11-27T12:50:14.611655,1041.0,1,1041.0,1638.4
186,2024-12-01,7986,NICD88,NIC ASIA Rinpatra 2088,1040.0,1040.0,1040.0,1040.0,25,26000.0,1041.0,1067.0,935.0,2024-12-01T11:38:13.783869,1040.0,1,1040.0,1636.83
203,2024-12-03,7986,NICD88,NIC ASIA Rinpatra 2088,1029.0,1049.5,1029.0,1049.5,50,51962.5,1040.0,1067.0,935.0,2024-12-03T14:37:15.781225,1049.5,2,1039.25,1651.78
214,2024-12-04,7986,NICD88,NIC ASIA Rinpatra 2088,1033.0,1033.0,1033.0,1033.0,100,103300.0,1049.5,1067.0,935.0,2024-12-04T13:02:04.771108,1033.0,1,1033.0,1625.81
201,2024-12-05,7986,NICD88,NIC ASIA Rinpatra 2088,1030.0,1030.0,1030.0,1030.0,25,25750.0,1033.0,1067.0,935.0,2024-12-05T11:09:15.829542,1030.0,1,1030.0,1621.09
206,2024-12-08,7986,NICD88,NIC ASIA Rinpatra 2088,1025.7,1025.7,1025.7,1025.7,25,25642.5,1030.0,1067.0,935.0,2024-12-08T14:30:04.409917,1025.7,1,1025.7,1614.32
199,2024-12-10,7986,NICD88,NIC ASIA Rinpatra 2088,1030.0,1050.6,1030.0,1050.6,150,155530.0,1025.7,1067.0,935.0,2024-12-10T14:31:47.925288,1050.6,2,1036.86,1653.51
200,2024-12-11,7986,NICD88,NIC ASIA Rinpatra 2088,1030.0,1030.0,1030.0,1030.0,25,25750.0,1050.6,1067.0,935.0,2024-12-11T13:05:25.191851,1030.0,1,1030.0,1621.09
225,2024-12-12,7986,NICD88,NIC ASIA Rinpatra 2088,1031.0,1031.0,1031.0,1031.0,25,25775.0,1030.0,1067.0,935.0,2024-12-12T13:02:28.11139,1031.0,1,1031.0,1622.66
203,2024-12-16,7986,NICD88,NIC ASIA Rinpatra 2088,1031.0,1031.0,1031.0,1051.6,2,2103.2,1031.0,1067.0,935.0,2024-12-16T12:45:42.288008,1051.6,1,1051.6,1655.08
175,2024-12-17,7986,NICD88,NIC ASIA Rinpatra 2088,1032.0,1032.0,1032.0,1032.0,50,51600.0,1051.6,1067.0,935.0,2024-12-17T14:11:48.464527,1032.0,1,1032.0,1624.24
206,2024-12-22,7986,NICD88,NIC ASIA Rinpatra 2088,1040.0,1040.0,1040.0,1040.0,25,26000.0,1032.0,1067.0,935.0,2024-12-22T12:00:09.510687,1040.0,1,1040.0,1636.83
189,2024-12-23,7986,NICD88,NIC ASIA Rinpatra 2088,1060.5,1081.7,1055.0,1061.0,632,681589.4,1040.0,1081.7,935.0,2024-12-23T14:49:01.55629,1061.0,7,1078.46,1669.88
184,2024-12-24,7986,NICD88,NIC ASIA Rinpatra 2088,1040.0,1040.0,1040.0,1040.0,100,104000.0,1061.0,1081.7,935.0,2024-12-24T12:06:14.200611,1040.0,1,1040.0,1636.83
214,2024-12-26,7986,NICD88,NIC ASIA Rinpatra 2088,1042.0,1042.0,1042.0,1042.0,25,26050.0,1040.0,1081.7,935.0,2024-12-26T11:49:58.081651,1042.0,1,1042.0,1639.97
260,2024-12-29,7986,NICD88,NIC ASIA Rinpatra 2088,1062.0,1062.8,1062.0,1062.0,85,90278.0,1042.0,1081.7,935.0,2024-12-29T14:32:43.303524,1062.0,3,1062.09,1671.45
