Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
121,2024-11-25,2779,NICGF,NIC Asia Growth Fund,10.9,10.94,10.85,10.85,15800,172380.0,10.94,11.91,8.47,2024-11-25T14:55:43.744745,10.85,6,10.91,906.19
147,2024-11-26,2779,NICGF,NIC Asia Growth Fund,10.85,10.9,10.8,10.82,2150,23280.0,10.85,11.91,8.47,2024-11-26T14:54:25.53024,10.82,4,10.82,903.69
131,2024-11-27,2779,NICGF,NIC Asia Growth Fund,10.82,11.11,10.82,11.11,17650,194967.0,10.82,11.91,8.47,2024-11-27T14:44:17.762701,11.11,7,11.04,927.91
111,2024-11-28,2779,NICGF,NIC Asia Growth Fund,11.01,11.01,11.0,11.0,2488,27382.88,11.11,11.91,8.47,2024-11-28T14:58:55.642706,11.0,4,11.0,918.72
116,2024-12-01,2779,NICGF,NIC Asia Growth Fund,11.0,11.1,11.0,11.04,8958,98865.32,11.0,11.91,8.47,2024-12-01T14:57:52.881727,11.04,6,11.03,922.06
130,2024-12-02,2779,NICGF,NIC Asia Growth Fund,11.04,11.04,10.84,10.9,7800,85570.0,11.04,11.91,8.47,2024-12-02T14:43:15.548461,10.9,7,10.97,910.37
131,2024-12-03,2779,NICGF,NIC Asia Growth Fund,11.0,11.09,10.9,10.95,100880,1115589.95,10.9,11.91,8.47,2024-12-03T14:49:40.612525,10.95,16,11.05,914.54
131,2024-12-04,2779,NICGF,NIC Asia Growth Fund,10.9,11.0,10.9,10.96,10700,117084.0,10.95,11.91,8.47,2024-12-04T14:40:16.187881,10.96,7,10.94,915.38
128,2024-12-05,2779,NICGF,NIC Asia Growth Fund,11.0,11.0,10.91,10.91,47650,520096.5,10.96,11.91,8.47,2024-12-05T14:49:57.147846,10.91,6,10.91,911.2
133,2024-12-08,2779,NICGF,NIC Asia Growth Fund,10.85,10.9,10.85,10.9,7326,79803.4,10.91,11.91,8.98,2024-12-08T14:36:39.307107,10.9,3,10.89,910.37
129,2024-12-09,2779,NICGF,NIC Asia Growth Fund,10.79,10.81,10.79,10.79,36100,389791.0,10.9,11.91,8.98,2024-12-09T14:28:26.890247,10.79,7,10.79,901.18
128,2024-12-10,2779,NICGF,NIC Asia Growth Fund,10.79,10.79,10.7,10.72,23160,248850.0,10.79,11.91,8.98,2024-12-10T13:47:02.031734,10.72,6,10.74,895.33
128,2024-12-11,2779,NICGF,NIC Asia Growth Fund,10.7,10.9,10.7,10.9,1330,14267.0,10.72,11.91,8.98,2024-12-11T14:20:18.690342,10.9,3,10.72,910.37
131,2024-12-12,2779,NICGF,NIC Asia Growth Fund,10.74,10.99,10.74,10.99,15200,166793.0,10.9,11.91,8.98,2024-12-12T14:57:45.303013,10.99,5,10.97,917.88
156,2024-12-17,2779,NICGF,NIC Asia Growth Fund,10.81,10.84,10.7,10.75,19700,212234.1,10.99,11.91,8.98,2024-12-17T14:50:48.587959,10.75,8,10.77,897.84
69,2024-12-18,2779,NICGF,NIC Asia Growth Fund,10.7,10.7,10.68,10.69,12500,133611.0,10.75,11.91,8.98,2024-12-18T13:50:26.60467,10.69,6,10.68,892.83
131,2024-12-19,2779,NICGF,NIC Asia Growth Fund,10.56,10.6,10.56,10.6,6600,69921.28,10.69,11.91,8.98,2024-12-19T14:55:10.948181,10.6,3,10.59,885.31
132,2024-12-22,2779,NICGF,NIC Asia Growth Fund,10.43,10.6,10.43,10.6,32404,343128.36,10.6,11.91,8.98,2024-12-22T13:40:13.691777,10.6,7,10.58,885.31
151,2024-12-23,2779,NICGF,NIC Asia Growth Fund,10.79,10.79,10.63,10.63,600,6394.0,10.6,11.91,8.98,2024-12-23T14:59:15.697628,10.63,2,10.65,887.82
150,2024-12-24,2779,NICGF,NIC Asia Growth Fund,10.6,10.63,10.29,10.63,239775,2506792.25,10.63,11.91,8.98,2024-12-24T14:56:15.275149,10.63,16,10.45,887.82
149,2024-12-26,2779,NICGF,NIC Asia Growth Fund,10.42,10.42,10.02,10.4,264980,2686574.75,10.63,11.91,8.98,2024-12-26T14:57:40.325545,10.4,25,10.13,868.61
126,2024-12-29,2779,NICGF,NIC Asia Growth Fund,10.33,10.33,10.33,10.33,170,1756.1,10.4,11.91,8.98,2024-12-29T13:22:59.586553,10.33,1,10.33,862.76
