Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
290,2024-11-25,9236,NICGF2,NIC ASIA Growth Fund-2,8.92,9.28,8.92,9.2,57900,536302.0,9.1,10.0,7.32,2024-11-25T14:22:49.228112,9.2,28,9.26,832.6
311,2024-11-26,9236,NICGF2,NIC ASIA Growth Fund-2,9.05,9.26,9.05,9.26,2900,26761.0,9.2,10.0,7.32,2024-11-26T14:54:13.060294,9.26,15,9.22,838.03
313,2024-11-27,9236,NICGF2,NIC ASIA Growth Fund-2,9.08,9.2,8.95,9.2,8780,80336.8,9.26,10.0,7.32,2024-11-27T14:07:55.102672,9.2,11,9.14,832.6
280,2024-11-28,9236,NICGF2,NIC ASIA Growth Fund-2,9.18,9.38,9.18,9.38,2836,26335.28,9.2,10.0,7.32,2024-11-28T14:09:49.594933,9.38,16,9.28,848.89
297,2024-12-01,9236,NICGF2,NIC ASIA Growth Fund-2,9.5,9.79,9.5,9.63,78763,768379.8,9.38,10.0,7.32,2024-12-01T14:41:45.634503,9.63,30,9.75,871.52
310,2024-12-02,9236,NICGF2,NIC ASIA Growth Fund-2,9.63,9.63,9.44,9.5,7700,72781.0,9.63,10.0,7.32,2024-12-02T14:52:06.921251,9.5,17,9.45,859.75
303,2024-12-03,9236,NICGF2,NIC ASIA Growth Fund-2,9.31,9.5,9.31,9.38,6100,57813.0,9.5,10.0,7.32,2024-12-03T14:03:23.74095,9.38,11,9.47,848.89
316,2024-12-04,9236,NICGF2,NIC ASIA Growth Fund-2,9.38,9.38,9.23,9.25,15800,146216.0,9.38,10.0,7.32,2024-12-04T14:53:38.417638,9.25,11,9.25,837.13
304,2024-12-05,9236,NICGF2,NIC ASIA Growth Fund-2,9.08,9.11,8.91,9.11,72300,656058.0,9.25,10.0,7.32,2024-12-05T14:48:24.125186,9.11,17,9.07,824.46
317,2024-12-08,9236,NICGF2,NIC ASIA Growth Fund-2,8.93,9.11,8.9,8.94,2420,21773.2,9.11,10.0,7.32,2024-12-08T14:42:35.306695,8.94,16,8.99,809.07
312,2024-12-09,9236,NICGF2,NIC ASIA Growth Fund-2,8.91,9.0,8.91,8.92,2166,19451.0,8.94,10.0,7.32,2024-12-09T14:53:00.092353,8.92,8,8.98,807.26
298,2024-12-10,9236,NICGF2,NIC ASIA Growth Fund-2,9.09,9.09,8.91,9.0,9474,85288.5,8.92,10.0,7.32,2024-12-10T14:01:36.124145,9.0,10,9.0,814.5
302,2024-12-11,9236,NICGF2,NIC ASIA Growth Fund-2,9.0,9.0,8.96,9.0,3400,30596.0,9.0,10.0,7.32,2024-12-11T14:33:13.744687,9.0,4,8.99,814.5
301,2024-12-12,9236,NICGF2,NIC ASIA Growth Fund-2,8.83,9.04,8.83,8.96,1700,15273.0,9.0,10.0,7.32,2024-12-12T13:59:17.23686,8.96,7,8.98,810.88
302,2024-12-16,9236,NICGF2,NIC ASIA Growth Fund-2,8.8,8.85,8.8,8.83,2300,20284.0,8.96,10.0,7.32,2024-12-16T14:51:21.219147,8.83,22,8.81,799.12
249,2024-12-17,9236,NICGF2,NIC ASIA Growth Fund-2,8.71,8.88,8.71,8.88,1240,10899.2,8.83,10.0,7.32,2024-12-17T14:47:10.368489,8.88,10,8.78,803.64
183,2024-12-18,9236,NICGF2,NIC ASIA Growth Fund-2,8.72,8.91,8.72,8.75,11880,103980.4,8.88,10.0,7.32,2024-12-18T14:36:49.449132,8.75,16,8.75,791.88
307,2024-12-19,9236,NICGF2,NIC ASIA Growth Fund-2,8.75,9.0,8.75,8.98,2300,20574.0,8.75,10.0,7.32,2024-12-19T14:14:33.225599,8.98,10,8.94,812.69
315,2024-12-22,9236,NICGF2,NIC ASIA Growth Fund-2,8.92,8.98,8.92,8.98,2900,25923.0,8.98,10.0,7.32,2024-12-22T14:57:53.425244,8.98,16,8.93,812.69
297,2024-12-23,9236,NICGF2,NIC ASIA Growth Fund-2,8.9,8.98,8.83,8.98,3500,31015.0,8.98,10.0,7.32,2024-12-23T14:57:03.70898,8.98,8,8.86,812.69
310,2024-12-24,9236,NICGF2,NIC ASIA Growth Fund-2,8.83,9.1,8.83,8.98,7770,69747.6,8.98,10.0,7.32,2024-12-24T14:57:23.91226,8.98,15,8.97,812.69
307,2024-12-26,9236,NICGF2,NIC ASIA Growth Fund-2,8.81,8.81,8.65,8.79,6700,58993.0,8.98,10.0,7.32,2024-12-26T13:58:22.793789,8.79,11,8.8,795.49
313,2024-12-29,9236,NICGF2,NIC ASIA Growth Fund-2,8.62,8.85,8.62,8.85,7830,69226.3,8.79,10.0,7.32,2024-12-29T13:57:00.811613,8.85,14,8.84,800.92
