Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
177,2024-10-15,2919,NIFRA,Nepal Infrastructure Bank Limited,286.3,292.3,283.6,292.0,67888,19619337.2,286.3,366.6,180.2,2024-10-15T14:59:58.51036,292.0,520,288.99,63072.0
181,2024-10-16,2919,NIFRA,Nepal Infrastructure Bank Limited,293.0,297.0,289.0,289.0,213573,62482979.1,292.0,366.6,180.2,2024-10-16T14:59:47.881877,289.0,973,292.56,62424.0
183,2024-10-17,2919,NIFRA,Nepal Infrastructure Bank Limited,294.7,308.0,290.0,298.1,490796,147207727.8,289.0,366.6,180.2,2024-10-17T14:59:59.31191,298.1,2150,299.93,64389.6
182,2024-10-20,2919,NIFRA,Nepal Infrastructure Bank Limited,292.2,300.0,288.0,291.0,306288,90120131.3,298.1,366.6,180.2,2024-10-20T14:59:56.627956,291.0,1337,294.23,62856.0
181,2024-10-21,2919,NIFRA,Nepal Infrastructure Bank Limited,291.0,291.0,283.0,284.0,256580,73028722.3,291.0,366.6,180.2,2024-10-21T14:59:54.400916,284.0,1197,284.62,61344.0
182,2024-10-22,2919,NIFRA,Nepal Infrastructure Bank Limited,283.0,289.0,281.0,285.0,148448,42199096.5,284.0,366.6,180.2,2024-10-22T14:59:50.267884,285.0,826,284.26,61560.0
187,2024-10-23,2919,NIFRA,Nepal Infrastructure Bank Limited,285.0,289.9,280.0,280.0,232076,65754973.1,285.0,366.6,180.2,2024-10-23T14:59:55.194131,280.0,853,283.33,60480.0
187,2024-10-24,2919,NIFRA,Nepal Infrastructure Bank Limited,282.0,282.0,275.4,276.6,144167,40055177.9,280.0,366.6,180.2,2024-10-24T14:59:58.034221,276.6,766,277.83,59745.6
182,2024-10-27,2919,NIFRA,Nepal Infrastructure Bank Limited,275.0,278.5,273.5,276.0,84244,23284382.1,276.6,366.6,180.2,2024-10-27T14:59:56.49031,276.0,665,276.39,59616.0
179,2024-10-28,2919,NIFRA,Nepal Infrastructure Bank Limited,276.0,280.0,276.0,280.0,83818,23404291.0,276.0,366.6,180.2,2024-10-28T14:59:57.608895,280.0,616,279.22,60480.0
185,2024-10-29,2919,NIFRA,Nepal Infrastructure Bank Limited,280.0,287.6,276.4,286.0,168702,48002257.1,280.0,366.6,180.2,2024-10-29T14:59:55.942573,286.0,845,284.53,61776.0
181,2024-10-30,2919,NIFRA,Nepal Infrastructure Bank Limited,280.3,284.0,275.0,277.0,377268,105029301.2,286.0,366.6,180.2,2024-10-30T14:59:59.845591,277.0,1329,278.39,59832.0
176,2024-11-05,2919,NIFRA,Nepal Infrastructure Bank Limited,277.0,281.0,274.0,274.4,83740,23188691.2,277.0,366.6,181.1,2024-11-05T14:59:56.253479,274.4,543,276.91,59270.4
189,2024-11-06,2919,NIFRA,Nepal Infrastructure Bank Limited,273.0,276.9,273.0,274.9,78195,21442897.6,274.4,366.6,182.6,2024-11-06T14:59:55.81086,274.9,565,274.22,59378.4
188,2024-11-10,2919,NIFRA,Nepal Infrastructure Bank Limited,274.0,284.5,273.0,284.5,245495,69152639.3,274.9,366.6,182.6,2024-11-10T14:59:33.309773,284.5,1110,281.68,61452.0
176,2024-11-11,2919,NIFRA,Nepal Infrastructure Bank Limited,285.6,293.0,282.0,284.0,349262,100664321.1,284.5,366.6,182.6,2024-11-11T14:59:57.435988,284.0,1281,288.22,61344.0
183,2024-11-12,2919,NIFRA,Nepal Infrastructure Bank Limited,285.1,296.0,285.1,286.9,243958,70822033.7,284.0,366.6,182.6,2024-11-12T14:59:39.322989,286.9,1149,290.3,61970.4
180,2024-11-13,2919,NIFRA,Nepal Infrastructure Bank Limited,288.0,288.0,280.2,281.0,132439,37469053.8,286.9,366.6,182.6,2024-11-13T14:59:57.47184,281.0,724,282.91,60696.0
