Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
74,2024-11-25,559,NLG,NLG Insurance Company Ltd.,883.0,960.0,882.0,948.0,88454,82543899.3,882.0,1382.0,715.3,2024-11-25T14:59:58.217326,948.0,556,933.18,23725.31
103,2024-11-26,559,NLG,NLG Insurance Company Ltd.,960.0,960.0,930.0,940.0,22344,20978917.2,948.0,1382.0,715.3,2024-11-26T14:59:59.96183,940.0,165,938.9,23525.1
86,2024-11-27,559,NLG,NLG Insurance Company Ltd.,927.0,955.0,927.0,943.0,29500,27858189.7,940.0,1382.0,715.3,2024-11-27T14:59:41.517271,943.0,191,944.34,23600.18
77,2024-11-28,559,NLG,NLG Insurance Company Ltd.,954.9,954.9,931.0,945.0,22804,21515246.3,943.0,1382.0,715.3,2024-11-28T14:59:53.924725,945.0,210,943.48,23650.23
70,2024-12-01,559,NLG,NLG Insurance Company Ltd.,931.1,945.0,931.1,935.0,13455,12597013.4,945.0,1382.0,715.3,2024-12-01T14:59:56.114257,935.0,122,936.23,23399.96
86,2024-12-02,559,NLG,NLG Insurance Company Ltd.,929.0,938.9,911.0,920.0,23173,21528674.9,935.0,1382.0,715.3,2024-12-02T14:59:57.896677,920.0,198,929.04,23024.56
86,2024-12-03,559,NLG,NLG Insurance Company Ltd.,922.0,935.0,910.0,926.0,17248,16002509.8,920.0,1382.0,715.3,2024-12-03T14:59:50.170574,926.0,94,927.78,23174.72
88,2024-12-04,559,NLG,NLG Insurance Company Ltd.,944.5,944.5,910.0,910.0,10450,9568212.8,926.0,1382.0,715.3,2024-12-04T14:58:31.571595,910.0,106,915.61,22774.3
85,2024-12-05,559,NLG,NLG Insurance Company Ltd.,895.1,919.9,895.1,905.0,23028,20907831.3,910.0,1382.0,715.3,2024-12-05T14:59:46.933398,905.0,126,907.93,22649.16
87,2024-12-08,559,NLG,NLG Insurance Company Ltd.,890.0,927.1,890.0,900.1,32713,29642450.4,905.0,1382.0,715.3,2024-12-08T14:59:59.594689,900.1,156,906.13,22526.53
86,2024-12-09,559,NLG,NLG Insurance Company Ltd.,905.0,912.0,900.0,902.0,19744,17864911.2,900.1,1382.0,715.3,2024-12-09T14:59:43.235506,902.0,112,904.82,22574.08
85,2024-12-10,559,NLG,NLG Insurance Company Ltd.,902.0,920.0,895.0,920.0,19568,17790435.7,902.0,1382.0,715.3,2024-12-10T14:59:45.526767,920.0,131,909.15,23024.56
85,2024-12-11,559,NLG,NLG Insurance Company Ltd.,938.4,939.0,925.0,938.0,15156,14133304.4,920.0,1382.0,715.3,2024-12-11T14:59:55.535814,938.0,164,932.52,23475.04
89,2024-12-12,559,NLG,NLG Insurance Company Ltd.,943.5,948.6,910.1,940.0,36278,33918971.0,938.0,1382.0,715.3,2024-12-12T14:59:58.720854,940.0,180,934.97,23525.1
92,2024-12-16,559,NLG,NLG Insurance Company Ltd.,935.0,935.0,900.3,912.0,16429,14967044.9,940.0,1382.0,715.3,2024-12-16T14:59:10.774257,912.0,126,911.01,22824.35
105,2024-12-17,559,NLG,NLG Insurance Company Ltd.,900.5,927.1,900.0,927.0,13117,12057802.6,912.0,1382.0,715.3,2024-12-17T14:59:58.428476,927.0,98,919.25,23199.75
49,2024-12-18,559,NLG,NLG Insurance Company Ltd.,927.0,940.0,925.1,937.1,20611,19224118.9,927.0,1382.0,715.3,2024-12-18T14:59:59.921181,937.1,112,932.71,23452.52
88,2024-12-19,559,NLG,NLG Insurance Company Ltd.,919.3,937.5,919.3,934.0,25253,23570965.2,937.1,1382.0,715.3,2024-12-19T14:59:46.902904,934.0,130,933.39,23374.94
86,2024-12-22,559,NLG,NLG Insurance Company Ltd.,933.6,933.6,920.0,927.0,30835,28573636.3,934.0,1382.0,715.3,2024-12-22T14:59:59.483844,927.0,93,926.66,23199.75
103,2024-12-23,559,NLG,NLG Insurance Company Ltd.,937.0,937.0,922.3,927.0,6194,5732372.6,927.0,1382.0,715.3,2024-12-23T14:59:39.803845,927.0,67,925.47,23199.75
73,2024-12-24,559,NLG,NLG Insurance Company Ltd.,927.0,933.0,920.0,930.0,16458,15305276.9,927.0,1382.0,715.3,2024-12-24T14:59:50.339246,930.0,92,929.95,23274.83
104,2024-12-26,559,NLG,NLG Insurance Company Ltd.,925.1,937.0,921.0,933.9,19202,17862084.3,930.0,1382.0,715.3,2024-12-26T14:59:57.9127,933.9,117,930.21,23372.43
73,2024-12-29,559,NLG,NLG Insurance Company Ltd.,940.0,975.0,926.0,965.0,127718,121322747.1,933.9,1382.0,715.3,2024-12-29T14:59:55.22971,965.0,381,949.92,24150.76
