Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
163,2024-11-25,2867,NMB50,NMB 50,10.51,10.54,10.5,10.54,28200,296569.5,10.71,12.54,8.71,2024-11-25T14:55:22.545961,10.54,9,10.51,1317.5
137,2024-11-26,2867,NMB50,NMB 50,10.33,10.75,10.33,10.55,9300,98434.5,10.54,12.54,8.71,2024-11-26T14:58:41.295576,10.55,14,10.58,1318.75
162,2024-11-27,2867,NMB50,NMB 50,10.6,10.7,10.6,10.7,2110,22427.0,10.55,12.54,8.71,2024-11-27T14:29:58.973118,10.7,5,10.62,1337.5
175,2024-11-28,2867,NMB50,NMB 50,10.49,10.69,10.49,10.69,45246,483559.74,10.7,12.54,8.71,2024-11-28T12:50:32.061892,10.69,9,10.68,1336.25
136,2024-12-01,2867,NMB50,NMB 50,10.69,10.69,10.48,10.48,635,6729.15,10.69,12.54,8.71,2024-12-01T14:54:47.475173,10.48,4,10.59,1310.0
159,2024-12-02,2867,NMB50,NMB 50,10.63,10.71,10.5,10.5,40565,432536.5,10.48,12.54,8.71,2024-12-02T14:38:41.403572,10.5,13,10.66,1312.5
163,2024-12-03,2867,NMB50,NMB 50,10.35,10.69,10.33,10.65,14681,153741.65,10.5,12.54,8.71,2024-12-03T13:38:17.560994,10.65,11,10.47,1331.25
164,2024-12-04,2867,NMB50,NMB 50,10.86,10.86,10.66,10.8,93650,1008718.0,10.65,12.54,8.71,2024-12-04T14:01:14.335055,10.8,19,10.77,1350.0
158,2024-12-05,2867,NMB50,NMB 50,10.61,10.7,10.61,10.61,1100,11689.0,10.8,12.54,8.71,2024-12-05T14:59:53.008254,10.61,7,10.62,1326.25
163,2024-12-08,2867,NMB50,NMB 50,10.4,10.82,10.38,10.71,11047,118354.94,10.61,12.54,8.71,2024-12-08T14:59:28.894899,10.71,12,10.71,1338.75
160,2024-12-09,2867,NMB50,NMB 50,10.84,10.84,10.45,10.45,15951,169553.76,10.71,12.54,8.71,2024-12-09T14:59:50.276585,10.45,5,10.62,1306.25
160,2024-12-10,2867,NMB50,NMB 50,10.46,10.87,10.46,10.87,34560,368274.0,10.45,12.54,8.71,2024-12-10T13:41:22.006448,10.87,12,10.65,1358.75
158,2024-12-11,2867,NMB50,NMB 50,10.7,10.88,10.7,10.88,35402,384728.8,10.87,12.54,8.71,2024-12-11T14:56:50.305507,10.88,11,10.86,1360.0
174,2024-12-12,2867,NMB50,NMB 50,10.75,10.88,10.75,10.88,7000,75510.0,10.88,12.54,8.71,2024-12-12T14:34:05.208792,10.88,3,10.78,1360.0
159,2024-12-16,2867,NMB50,NMB 50,10.67,10.67,10.46,10.46,11300,118448.7,10.88,12.54,8.71,2024-12-16T14:41:51.538056,10.46,16,10.48,1307.5
199,2024-12-17,2867,NMB50,NMB 50,10.46,10.7,10.46,10.7,177042,1873482.9,10.46,12.54,8.71,2024-12-17T14:31:10.427806,10.7,11,10.58,1337.5
234,2024-12-18,2867,NMB50,NMB 50,10.5,10.5,10.31,10.31,2300,24129.0,10.7,12.54,8.71,2024-12-18T13:46:48.100458,10.31,3,10.49,1288.75
160,2024-12-19,2867,NMB50,NMB 50,10.3,10.67,10.3,10.67,5100,53235.0,10.31,12.54,8.71,2024-12-19T14:53:39.342121,10.67,4,10.43,1333.75
162,2024-12-22,2867,NMB50,NMB 50,10.75,10.75,10.5,10.71,2500,26745.0,10.67,12.54,8.71,2024-12-22T14:50:04.605713,10.71,4,10.69,1338.75
165,2024-12-23,2867,NMB50,NMB 50,10.65,10.65,10.4,10.6,22000,231270.5,10.71,12.54,8.95,2024-12-23T14:44:17.772116,10.6,13,10.51,1325.0
135,2024-12-24,2867,NMB50,NMB 50,10.39,10.41,10.01,10.01,390660,3961928.9,10.6,12.54,8.95,2024-12-24T14:59:41.047954,10.01,48,10.14,1251.25
133,2024-12-26,2867,NMB50,NMB 50,10.21,10.5,10.1,10.15,169329,1728241.3,10.01,12.54,8.95,2024-12-26T14:55:33.386675,10.15,27,10.2,1268.75
176,2024-12-29,2867,NMB50,NMB 50,10.15,10.21,10.15,10.21,12500,127295.0,10.15,12.54,8.95,2024-12-29T14:36:19.168274,10.21,3,10.18,1276.25
