Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
106,2024-11-25,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,740.0,753.0,736.0,746.9,1831,1362855.7,740.0,918.0,463.6,2024-11-25T14:58:22.468902,746.9,28,744.32,5388.5
77,2024-11-26,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,761.0,761.0,740.0,755.0,2964,2219935.3,746.9,918.0,463.6,2024-11-26T14:57:48.909891,755.0,41,748.96,5446.94
106,2024-11-27,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,754.0,761.9,745.0,760.0,9158,6928529.3,755.0,918.0,463.6,2024-11-27T14:59:26.500702,760.0,57,756.55,5483.01
118,2024-11-28,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,747.0,762.0,746.2,747.0,5532,4155420.0,760.0,918.0,463.6,2024-11-28T14:59:21.107732,747.0,44,751.16,5389.23
144,2024-12-01,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,755.0,755.0,728.0,732.0,2689,1968584.7,747.0,918.0,463.6,2024-12-01T14:58:36.256783,732.0,34,732.08,5281.01
104,2024-12-02,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,740.0,740.0,728.8,729.0,8818,6468882.2,732.0,918.0,463.6,2024-12-02T14:59:20.539754,729.0,37,733.59,5259.36
106,2024-12-03,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,743.5,773.0,733.0,733.5,4353,3218062.3,729.0,918.0,463.6,2024-12-03T14:59:35.410549,733.5,46,739.27,5291.83
106,2024-12-04,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,730.0,740.0,722.0,730.0,6512,4733365.1,733.5,918.0,465.1,2024-12-04T14:59:31.905895,730.0,66,726.86,5266.58
103,2024-12-05,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,719.0,730.0,719.0,722.0,2852,2068924.4,730.0,918.0,466.0,2024-12-05T14:59:42.019501,722.0,30,725.42,5208.86
106,2024-12-08,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,736.4,748.0,694.0,708.0,6564,4598962.9,722.0,918.0,480.0,2024-12-08T14:59:57.132607,708.0,59,700.63,5107.86
104,2024-12-09,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,722.1,736.0,692.9,700.0,1880,1317022.0,708.0,918.0,480.0,2024-12-09T14:59:33.56867,700.0,40,700.54,5050.14
103,2024-12-10,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,714.0,770.0,700.0,718.9,7334,5210705.8,700.0,918.0,480.0,2024-12-10T14:59:54.186521,718.9,74,710.48,5186.5
103,2024-12-11,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,731.9,731.9,706.0,722.0,104,74039.0,718.9,918.0,480.0,2024-12-11T14:45:10.696338,722.0,5,711.91,5208.86
96,2024-12-12,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,735.8,735.8,702.2,708.0,1887,1339808.7,722.0,918.0,480.0,2024-12-12T14:59:56.656461,708.0,35,710.02,5107.86
104,2024-12-16,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,700.0,705.0,697.1,705.0,1225,858923.7,708.0,918.0,480.0,2024-12-16T14:59:45.844159,705.0,26,701.16,5086.22
77,2024-12-17,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,718.0,718.0,695.0,707.0,2007,1408906.9,705.0,918.0,480.0,2024-12-17T14:44:43.679351,707.0,19,701.99,5100.65
205,2024-12-18,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,721.1,735.5,698.0,707.9,1032,724806.0,707.0,918.0,480.0,2024-12-18T14:59:48.499991,707.9,31,702.33,5107.14
106,2024-12-19,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,722.0,722.0,686.0,699.7,1414,980506.7,707.9,918.0,480.0,2024-12-19T14:59:55.201258,699.7,33,693.42,5047.98
106,2024-12-22,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,712.9,712.9,672.0,700.0,1307,900166.4,699.7,918.0,480.0,2024-12-22T14:59:58.876669,700.0,28,688.72,5050.14
78,2024-12-23,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,700.0,700.0,686.0,694.5,1151,796133.0,700.0,918.0,480.0,2024-12-23T14:59:45.660351,694.5,20,691.68,5010.46
84,2024-12-24,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,708.3,763.0,681.0,707.8,3446,2409836.5,694.5,918.0,480.0,2024-12-24T14:59:32.456454,707.8,55,699.31,5106.42
81,2024-12-26,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,694.0,700.0,686.6,686.6,395,274121.3,707.8,918.0,480.0,2024-12-26T14:59:33.573742,686.6,10,693.97,4953.47
113,2024-12-29,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,686.6,734.4,680.0,708.5,4585,3292324.6,686.6,918.0,480.0,2024-12-29T14:59:42.420753,708.5,73,718.06,5111.47
