Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
111,2024-11-25,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1538.0,1570.0,1538.0,1541.9,6971,10869894.1,1538.0,1727.0,905.0,2024-11-25T14:59:06.184002,1541.9,77,1559.3,17971.18
116,2024-11-26,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1542.0,1568.3,1542.0,1547.0,3037,4713904.1,1541.9,1727.0,905.0,2024-11-26T14:59:45.299364,1547.0,68,1552.15,18030.62
113,2024-11-27,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1570.0,1639.5,1555.0,1608.0,10641,16830261.0,1547.0,1727.0,905.0,2024-11-27T14:59:56.180175,1608.0,119,1581.64,18741.59
124,2024-11-28,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1590.0,1625.0,1590.0,1605.0,11099,17820532.7,1608.0,1727.0,905.0,2024-11-28T14:59:44.628073,1605.0,115,1605.59,18706.62
77,2024-12-01,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1610.0,1615.0,1575.1,1588.0,4215,6687323.2,1605.0,1727.0,905.0,2024-12-01T14:59:57.844604,1588.0,90,1586.55,18508.49
112,2024-12-02,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1590.0,1613.0,1545.2,1549.0,19988,31353002.7,1588.0,1727.0,905.0,2024-12-02T14:59:58.913326,1549.0,271,1568.59,18053.93
113,2024-12-03,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1382.9,1391.0,1355.0,1359.0,2708,3711236.4,1355.8,1727.0,905.0,2024-12-03T14:56:17.168008,1359.0,87,1370.47,18096.56
113,2024-12-04,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1359.0,1482.0,1359.0,1397.0,23686,32706593.7,1359.0,1727.0,908.5,2024-12-04T14:59:57.377858,1397.0,118,1380.84,18602.57
110,2024-12-05,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1410.0,1420.0,1369.1,1370.0,8594,11996858.6,1397.0,1727.0,908.5,2024-12-05T14:58:38.8465,1370.0,61,1395.95,18243.04
115,2024-12-08,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1370.0,1370.0,1326.0,1330.0,1309,1749292.7,1370.0,1727.0,926.6,2024-12-08T14:59:54.091731,1330.0,39,1336.35,17710.4
111,2024-12-09,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1310.0,1350.0,1306.2,1330.0,4360,5744042.6,1330.0,1727.0,944.9,2024-12-09T14:59:57.60879,1330.0,45,1317.44,17710.4
110,2024-12-10,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1312.1,1356.6,1304.0,1310.0,2182,2893000.9,1330.0,1727.0,970.1,2024-12-10T14:54:02.2931,1310.0,37,1325.84,17444.07
110,2024-12-11,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1310.0,1319.9,1302.0,1305.0,2075,2711121.6,1310.0,1727.0,1004.6,2024-12-11T14:59:51.894275,1305.0,33,1306.56,17377.49
103,2024-12-12,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1331.0,1331.0,1280.4,1281.1,8851,11397228.7,1305.0,1727.0,1004.6,2024-12-12T14:59:55.094376,1281.1,89,1287.67,17059.24
109,2024-12-16,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1259.0,1270.0,1230.4,1237.0,3846,4804534.1,1281.1,1727.0,1027.0,2024-12-16T14:59:32.462724,1237.0,47,1249.22,16472.0
144,2024-12-17,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1230.0,1328.0,1230.0,1261.1,1376,1747086.0,1237.0,1727.0,1027.0,2024-12-17T14:59:10.302719,1261.1,40,1269.68,16792.92
61,2024-12-18,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1255.0,1275.0,1250.0,1255.0,1055,1330089.8,1261.1,1727.0,1027.0,2024-12-18T14:59:14.80499,1255.0,33,1260.74,16711.69
113,2024-12-19,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1255.0,1259.0,1235.2,1256.0,2580,3208843.9,1255.0,1727.0,1027.0,2024-12-19T14:59:55.198798,1256.0,41,1243.73,16725.01
114,2024-12-22,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1250.0,1260.0,1225.0,1235.0,1155,1430302.9,1256.0,1727.0,1027.0,2024-12-22T14:59:53.792397,1235.0,34,1238.35,16445.37
83,2024-12-23,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1259.0,1259.0,1240.1,1255.0,1655,2067638.2,1235.0,1727.0,1027.0,2024-12-23T14:59:38.466854,1255.0,27,1249.32,16711.69
140,2024-12-24,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1280.0,1280.0,1240.2,1241.0,1510,1886101.5,1255.0,1727.0,1027.0,2024-12-24T14:59:28.759399,1241.0,36,1249.07,16525.26
111,2024-12-26,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1260.0,1282.0,1246.0,1246.0,2170,2720136.6,1241.0,1727.0,1027.0,2024-12-26T14:59:11.717943,1246.0,37,1253.51,16591.84
106,2024-12-29,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1270.0,1295.0,1250.1,1265.0,2617,3329708.5,1246.0,1727.0,1027.0,2024-12-29T14:59:02.648051,1265.0,57,1272.33,16844.85
