Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
67,2024-10-15,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,809.7,809.7,788.9,806.0,3326,2669765.6,793.9,988.0,480.0,2024-10-15T14:59:15.389906,806.0,48,802.69,11265.98
68,2024-10-16,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,814.0,817.9,803.1,814.0,6520,5287138.8,806.0,988.0,480.0,2024-10-16T14:58:41.722254,814.0,98,810.91,11377.8
68,2024-10-17,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,805.5,824.0,805.5,807.2,18737,15296993.4,814.0,988.0,480.0,2024-10-17T14:59:05.49981,807.2,155,816.4,11282.75
69,2024-10-20,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,823.3,823.3,775.0,784.0,20385,16098447.6,807.2,988.0,480.0,2024-10-20T14:59:58.106268,784.0,198,789.72,10958.47
70,2024-10-21,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,795.0,795.0,760.0,760.1,11900,9163578.2,784.0,988.0,480.0,2024-10-21T14:59:08.392561,760.1,152,770.04,10624.41
68,2024-10-22,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,760.0,780.3,760.0,780.0,9605,7398796.9,760.1,988.0,480.0,2024-10-22T14:59:12.472779,780.0,119,770.3,10902.56
69,2024-10-23,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,768.0,779.9,760.2,770.0,11958,9169302.3,780.0,988.0,480.0,2024-10-23T14:59:59.530799,770.0,115,766.79,10762.79
68,2024-10-24,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,770.0,770.0,756.0,758.0,11822,8987656.9,770.0,988.0,480.0,2024-10-24T14:59:58.095836,758.0,106,760.24,10595.05
69,2024-10-27,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,758.0,760.1,750.3,750.3,7520,5667833.3,758.0,988.0,480.0,2024-10-27T14:59:25.500893,750.3,90,753.7,10487.43
67,2024-10-28,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,760.0,769.0,755.0,769.0,6102,4647178.6,750.3,988.0,480.0,2024-10-28T14:59:40.118604,769.0,77,761.58,10748.81
67,2024-10-29,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,761.0,789.9,761.0,789.9,9745,7640037.2,769.0,988.0,480.0,2024-10-29T14:59:58.184309,789.9,108,783.99,11040.94
68,2024-10-30,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,782.3,789.7,770.0,772.0,9138,7107435.3,789.9,988.0,480.0,2024-10-30T14:59:43.112377,772.0,94,777.78,10790.74
67,2024-11-05,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,770.0,780.0,766.1,780.0,6593,5104306.3,772.0,988.0,480.0,2024-11-05T14:59:59.369347,780.0,62,774.2,10902.56
68,2024-11-06,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,795.6,795.6,766.1,778.0,6297,4864447.3,780.0,988.0,480.0,2024-11-06T14:59:59.734029,778.0,61,772.5,10874.61
69,2024-11-10,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,773.0,790.0,773.0,787.0,19673,15420442.7,778.0,988.0,480.0,2024-11-10T14:59:59.091416,787.0,165,783.83,11000.41
68,2024-11-11,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,797.0,818.0,791.0,818.0,48255,34462993.3,787.0,988.0,480.0,2024-11-11T14:59:54.899627,818.0,285,714.18,11433.71
68,2024-11-12,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,808.0,825.0,807.0,812.0,16220,13203545.0,818.0,988.0,480.0,2024-11-12T14:59:59.527748,812.0,133,814.02,11349.85
69,2024-11-13,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,828.2,828.2,789.1,795.0,18767,14991514.7,812.0,988.0,480.0,2024-11-13T14:59:59.732015,795.0,140,798.82,11112.23
68,2024-11-14,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,779.1,779.1,750.0,766.3,74964,57499405.8,795.0,988.0,480.0,2024-11-14T14:59:54.065819,766.3,658,767.02,10711.07
67,2024-11-17,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,760.1,780.0,760.0,765.0,30423,23412592.2,766.3,988.0,480.0,2024-11-17T14:59:48.62352,765.0,272,769.56,10692.9
69,2024-11-19,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,765.0,765.0,740.1,745.0,33029,24692972.3,765.0,988.0,480.0,2024-11-19T14:59:58.399127,745.0,323,747.61,10413.34
68,2024-11-20,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,757.0,757.0,736.1,740.0,16239,12023259.9,745.0,988.0,480.0,2024-11-20T14:59:59.535005,740.0,141,740.39,10343.46
69,2024-11-21,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,735.0,742.5,714.0,720.0,44113,31843576.8,740.0,988.0,480.0,2024-11-21T14:59:58.992736,720.0,378,721.86,10063.9
69,2024-11-24,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,728.0,733.0,717.0,717.0,11858,8585928.6,720.0,988.0,480.0,2024-11-24T14:59:55.349326,717.0,134,724.06,10021.97
89,2024-11-25,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,720.0,729.0,717.0,719.0,5533,3994503.4,717.0,988.0,480.0,2024-11-25T14:59:59.401619,719.0,89,721.94,10049.93
59,2024-11-26,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,723.1,725.0,714.0,723.0,12184,8794353.2,719.0,988.0,480.0,2024-11-26T14:59:58.659601,723.0,126,721.79,10105.84
