Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
167,2024-10-15,2898,NRN,NRN Infrastructure and Development Limited,918.0,936.0,918.0,935.0,90981,84113583.3,920.0,1132.0,280.6,2024-10-15T14:59:40.598079,935.0,161,924.51,11437.03
172,2024-10-16,2898,NRN,NRN Infrastructure and Development Limited,940.0,948.3,931.0,931.1,41248,38701128.7,935.0,1132.0,280.6,2024-10-16T14:59:58.658208,931.1,261,938.25,11389.32
174,2024-10-17,2898,NRN,NRN Infrastructure and Development Limited,935.0,943.0,925.0,925.0,63800,59703066.5,931.1,1132.0,280.6,2024-10-17T14:59:53.610577,925.0,305,935.78,11314.71
173,2024-10-20,2898,NRN,NRN Infrastructure and Development Limited,906.5,939.0,906.5,910.1,39538,36414978.9,925.0,1132.0,280.6,2024-10-20T14:59:59.45368,910.1,313,921.01,11132.45
172,2024-10-21,2898,NRN,NRN Infrastructure and Development Limited,907.0,920.0,900.0,901.0,38627,35013801.3,910.1,1132.0,280.6,2024-10-21T14:59:59.264877,901.0,270,906.45,11021.14
172,2024-10-22,2898,NRN,NRN Infrastructure and Development Limited,917.0,918.0,903.4,913.0,33576,30462118.1,901.0,1132.0,280.6,2024-10-22T14:59:54.582398,913.0,210,907.25,11167.92
177,2024-10-23,2898,NRN,NRN Infrastructure and Development Limited,913.0,925.0,901.0,905.0,28072,25486186.5,913.0,1132.0,280.6,2024-10-23T14:59:55.194499,905.0,219,907.88,11070.07
177,2024-10-24,2898,NRN,NRN Infrastructure and Development Limited,900.2,905.0,892.0,898.5,23717,21303100.5,905.0,1132.0,280.6,2024-10-24T14:59:39.151797,898.5,232,898.22,10990.56
171,2024-10-27,2898,NRN,NRN Infrastructure and Development Limited,900.0,914.0,888.0,891.0,28025,25069142.5,898.5,1132.0,280.6,2024-10-27T14:59:59.724291,891.0,229,894.52,10898.82
168,2024-10-28,2898,NRN,NRN Infrastructure and Development Limited,899.9,905.0,885.0,894.9,33650,30116897.4,891.0,1132.0,280.6,2024-10-28T14:59:59.536397,894.9,197,895.0,10946.52
174,2024-10-29,2898,NRN,NRN Infrastructure and Development Limited,899.9,909.8,896.7,908.0,43998,39705651.3,894.9,1132.0,280.6,2024-10-29T14:59:58.998129,908.0,300,902.44,11106.76
170,2024-10-30,2898,NRN,NRN Infrastructure and Development Limited,908.0,910.0,896.0,909.0,28858,26111380.8,908.0,1132.0,280.6,2024-10-30T14:59:45.855456,909.0,166,904.82,11118.99
166,2024-11-05,2898,NRN,NRN Infrastructure and Development Limited,915.0,915.0,895.0,906.9,24853,22457600.6,909.0,1132.0,280.6,2024-11-05T14:59:19.15072,906.9,142,903.61,11093.31
179,2024-11-06,2898,NRN,NRN Infrastructure and Development Limited,907.0,907.0,893.0,905.0,16261,14622416.0,906.9,1132.0,280.6,2024-11-06T14:59:59.941925,905.0,150,899.23,11070.07
178,2024-11-10,2898,NRN,NRN Infrastructure and Development Limited,905.0,928.0,895.0,916.5,46085,42102095.0,905.0,1132.0,280.6,2024-11-10T14:59:56.380723,916.5,367,913.57,11210.74
167,2024-11-11,2898,NRN,NRN Infrastructure and Development Limited,925.0,979.0,921.0,953.0,177380,168823990.2,916.5,1132.0,280.6,2024-11-11T14:58:54.576779,953.0,745,951.76,11657.21
173,2024-11-12,2898,NRN,NRN Infrastructure and Development Limited,960.0,960.0,923.0,936.0,59844,56490398.8,953.0,1132.0,280.6,2024-11-12T14:59:57.139626,936.0,366,943.96,11449.26
171,2024-11-13,2898,NRN,NRN Infrastructure and Development Limited,925.0,940.0,920.0,920.1,36231,33533337.3,936.0,1132.0,280.6,2024-11-13T14:59:52.38644,920.1,274,925.54,11254.77
179,2024-11-14,2898,NRN,NRN Infrastructure and Development Limited,938.5,976.0,935.0,935.0,102827,97340972.8,920.1,1132.0,280.6,2024-11-14T14:59:58.840212,935.0,548,946.64,11437.03
177,2024-11-17,2898,NRN,NRN Infrastructure and Development Limited,940.2,958.2,931.0,933.0,52974,50219293.2,935.0,1132.0,280.6,2024-11-17T14:59:54.2332,933.0,348,947.99,11412.57
177,2024-11-19,2898,NRN,NRN Infrastructure and Development Limited,930.0,941.5,908.0,912.3,76197,70071036.9,933.0,1132.0,280.6,2024-11-19T14:59:58.465042,912.3,384,919.6,11159.36
178,2024-11-20,2898,NRN,NRN Infrastructure and Development Limited,914.0,965.9,910.0,953.0,100123,93968602.6,912.3,1132.0,280.6,2024-11-20T14:59:56.759675,953.0,535,938.53,11657.21
171,2024-11-21,2898,NRN,NRN Infrastructure and Development Limited,957.0,957.0,925.0,937.0,61138,57467290.2,953.0,1132.0,280.6,2024-11-21T14:59:58.855779,937.0,337,939.96,11461.49
178,2024-11-24,2898,NRN,NRN Infrastructure and Development Limited,945.0,1010.5,945.0,998.9,405939,403334525.8,937.0,1132.0,280.6,2024-11-24T14:59:59.764833,998.9,2152,993.58,12218.66
196,2024-11-25,2898,NRN,NRN Infrastructure and Development Limited,980.0,1023.9,980.0,1002.0,154829,156465713.2,998.9,1132.0,280.6,2024-11-25T14:59:56.406864,1002.0,1014,1010.57,12256.58
171,2024-11-26,2898,NRN,NRN Infrastructure and Development Limited,982.0,1069.9,982.0,1057.0,277900,288386571.5,1002.0,1132.0,280.6,2024-11-26T14:59:44.272687,1057.0,1804,1037.73,12929.35
177,2024-11-27,2898,NRN,NRN Infrastructure and Development Limited,1078.0,1086.0,1030.0,1061.0,312795,331639210.6,1057.0,1132.0,280.6,2024-11-27T14:59:56.368749,1061.0,1856,1060.24,12978.28
161,2024-11-28,2898,NRN,NRN Infrastructure and Development Limited,1039.8,1079.1,1039.8,1057.0,190741,201772296.4,1061.0,1132.0,280.6,2024-11-28T14:59:57.97998,1057.0,945,1057.83,12929.35
170,2024-12-01,2898,NRN,NRN Infrastructure and Development Limited,1050.0,1078.0,1016.0,1042.0,274332,289030189.3,1057.0,1132.0,280.6,2024-12-01T14:59:59.158319,1042.0,907,1053.57,12745.87
168,2024-12-02,2898,NRN,NRN Infrastructure and Development Limited,1025.0,1118.0,1025.0,1057.2,230211,242462381.2,1042.0,1132.0,280.6,2024-12-02T14:59:53.638374,1057.2,867,1053.21,12931.79
174,2024-12-03,2898,NRN,NRN Infrastructure and Development Limited,1068.0,1099.0,1056.0,1082.0,221018,238723457.6,1057.2,1132.0,280.6,2024-12-03T14:59:59.009064,1082.0,1031,1080.1,13235.15
177,2024-12-04,2898,NRN,NRN Infrastructure and Development Limited,1060.4,1134.0,1060.4,1123.0,264757,295649955.1,1082.0,1134.0,285.0,2024-12-04T14:59:57.35571,1123.0,1373,1116.68,13736.67
169,2024-12-05,2898,NRN,NRN Infrastructure and Development Limited,1101.0,1139.0,1090.1,1115.0,260140,290383035.5,1123.0,1139.0,299.0,2024-12-05T14:59:59.814487,1115.0,1205,1116.25,13638.81
171,2024-12-08,2898,NRN,NRN Infrastructure and Development Limited,1040.7,1148.5,1040.7,1114.8,296843,326461569.1,1061.9,1148.5,310.0,2024-12-08T14:59:59.102022,1114.8,1191,1099.77,14318.18
172,2024-12-09,2898,NRN,NRN Infrastructure and Development Limited,1114.8,1205.0,1048.6,1182.0,319374,352720449.0,1114.8,1205.0,310.0,2024-12-09T14:59:56.58603,1182.0,1080,1104.41,15181.28
168,2024-12-10,2898,NRN,NRN Infrastructure and Development Limited,1158.4,1158.4,1063.8,1079.9,175487,189620303.4,1182.0,1205.0,315.1,2024-12-10T14:59:59.147399,1079.9,985,1080.53,13869.94
166,2024-12-11,2898,NRN,NRN Infrastructure and Development Limited,1059.0,1070.8,1031.3,1050.0,113222,118147936.5,1079.9,1205.0,330.3,2024-12-11T14:59:59.027064,1050.0,494,1043.5,13485.91
157,2024-12-12,2898,NRN,NRN Infrastructure and Development Limited,1040.0,1070.0,1017.3,1030.0,69967,72519112.5,1050.0,1205.0,330.3,2024-12-12T14:59:59.357242,1030.0,355,1036.47,13229.03
175,2024-12-16,2898,NRN,NRN Infrastructure and Development Limited,1020.0,1020.0,981.0,984.0,266787,264590330.9,1030.0,1205.0,356.0,2024-12-16T14:59:59.41872,984.0,712,991.76,12638.22
134,2024-12-17,2898,NRN,NRN Infrastructure and Development Limited,980.1,1003.0,978.3,981.1,90572,89520870.8,984.0,1205.0,356.0,2024-12-17T14:59:54.824254,981.1,297,988.39,12600.98
119,2024-12-18,2898,NRN,NRN Infrastructure and Development Limited,982.0,998.0,968.2,971.0,118065,116076906.0,981.1,1205.0,370.0,2024-12-18T14:59:50.972418,971.0,279,983.16,12471.26
170,2024-12-19,2898,NRN,NRN Infrastructure and Development Limited,961.0,980.0,941.0,941.4,84400,80626698.6,971.0,1205.0,416.0,2024-12-19T14:59:59.37463,941.4,459,955.29,12091.08
174,2024-12-22,2898,NRN,NRN Infrastructure and Development Limited,941.0,955.8,937.2,948.9,34436,32528855.5,941.4,1205.0,416.0,2024-12-22T14:59:55.093201,948.9,211,944.61,12187.41
201,2024-12-23,2898,NRN,NRN Infrastructure and Development Limited,955.0,955.0,938.0,948.9,46861,44372248.8,948.9,1205.0,422.0,2024-12-23T14:59:47.797381,948.9,240,946.89,12187.41
225,2024-12-24,2898,NRN,NRN Infrastructure and Development Limited,950.1,978.0,943.0,959.0,64795,61886824.8,948.9,1205.0,422.0,2024-12-24T14:59:56.954122,959.0,376,955.11,12317.13
197,2024-12-26,2898,NRN,NRN Infrastructure and Development Limited,950.5,955.0,940.0,945.0,43698,41339551.7,959.0,1205.0,427.9,2024-12-26T14:59:48.771023,945.0,253,946.02,12137.32
156,2024-12-29,2898,NRN,NRN Infrastructure and Development Limited,930.0,1030.0,930.0,999.0,153652,153478594.9,945.0,1205.0,445.9,2024-12-29T14:59:58.174572,999.0,867,998.87,12830.88
