Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
242,2024-10-15,8125,NSIF2,NMB Sulav Investment Fund - 2,10.22,10.25,10.08,10.08,15200,155232.0,10.35,12.47,8.35,2024-10-15T14:59:13.062457,10.08,17,10.21,1230.77
251,2024-10-16,8125,NSIF2,NMB Sulav Investment Fund - 2,10.03,10.84,10.03,10.54,27900,293575.0,10.08,12.47,8.35,2024-10-16T14:59:28.083707,10.54,24,10.52,1286.93
249,2024-10-17,8125,NSIF2,NMB Sulav Investment Fund - 2,10.75,10.75,10.39,10.43,123925,1300235.75,10.54,12.47,8.35,2024-10-17T14:59:04.080634,10.43,18,10.49,1273.5
249,2024-10-20,8125,NSIF2,NMB Sulav Investment Fund - 2,10.5,10.5,10.3,10.3,99170,1028646.5,10.43,12.47,8.35,2024-10-20T14:55:43.67193,10.3,26,10.37,1257.63
253,2024-10-21,8125,NSIF2,NMB Sulav Investment Fund - 2,10.11,10.25,10.05,10.22,16625,169841.75,10.3,12.47,8.35,2024-10-21T14:55:06.578258,10.22,11,10.21,1247.86
248,2024-10-22,8125,NSIF2,NMB Sulav Investment Fund - 2,10.03,10.5,9.84,10.5,41575,429552.25,10.22,12.47,8.35,2024-10-22T14:57:25.35506,10.5,30,10.33,1282.05
258,2024-10-23,8125,NSIF2,NMB Sulav Investment Fund - 2,10.63,10.92,10.36,10.52,1790510,18889194.47,10.5,12.47,8.35,2024-10-23T14:59:45.559858,10.52,66,10.54,1284.49
250,2024-10-24,8125,NSIF2,NMB Sulav Investment Fund - 2,10.73,10.73,10.15,10.26,3325,34593.0,10.52,12.47,8.35,2024-10-24T14:53:34.979394,10.26,21,10.4,1252.75
251,2024-10-27,8125,NSIF2,NMB Sulav Investment Fund - 2,10.08,10.4,10.08,10.4,3225,33015.0,10.26,12.47,8.35,2024-10-27T14:59:39.476455,10.4,14,10.23,1269.84
242,2024-10-28,8125,NSIF2,NMB Sulav Investment Fund - 2,10.2,10.5,10.2,10.27,1075,11130.5,10.4,12.47,8.35,2024-10-28T14:10:19.576771,10.27,9,10.35,1253.97
252,2024-10-29,8125,NSIF2,NMB Sulav Investment Fund - 2,10.21,10.86,10.21,10.75,221509,2386673.24,10.27,12.47,8.35,2024-10-29T14:59:58.049018,10.75,34,10.77,1312.58
241,2024-10-30,8125,NSIF2,NMB Sulav Investment Fund - 2,10.75,10.75,10.51,10.51,179770,1908051.0,10.75,12.47,8.35,2024-10-30T14:45:17.985155,10.51,15,10.61,1283.27
237,2024-11-05,8125,NSIF2,NMB Sulav Investment Fund - 2,10.3,10.45,10.2,10.38,1925,20012.0,10.51,12.47,8.35,2024-11-05T14:35:16.309464,10.38,10,10.39,1267.4
252,2024-11-06,8125,NSIF2,NMB Sulav Investment Fund - 2,10.22,10.7,10.22,10.7,59775,626534.75,10.38,12.47,8.46,2024-11-06T14:59:54.410236,10.7,15,10.48,1306.47
254,2024-11-10,8125,NSIF2,NMB Sulav Investment Fund - 2,10.9,10.9,10.45,10.6,29625,314909.75,10.7,12.47,8.46,2024-11-10T14:55:27.948042,10.6,23,10.62,1294.26
236,2024-11-11,8125,NSIF2,NMB Sulav Investment Fund - 2,10.42,10.76,10.42,10.75,100950,1070096.5,10.6,12.47,8.46,2024-11-11T14:47:56.329104,10.75,9,10.6,1312.58
248,2024-11-12,8125,NSIF2,NMB Sulav Investment Fund - 2,10.54,10.76,10.15,10.6,14025,149144.75,10.75,12.47,8.46,2024-11-12T14:42:00.487197,10.6,13,10.63,1294.26
244,2024-11-13,8125,NSIF2,NMB Sulav Investment Fund - 2,10.5,10.54,10.5,10.54,900,9480.0,10.6,12.47,8.46,2024-11-13T14:14:50.282976,10.54,5,10.53,1286.93
