Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
306,2024-11-25,9233,NWCL,Nepal Warehousing Company Limited ,1020.1,1050.0,1020.1,1048.0,7055,7321163.8,1032.0,1264.0,208.8,2024-11-25T14:59:58.212675,1048.0,145,1037.72,7205.0
310,2024-11-26,9233,NWCL,Nepal Warehousing Company Limited ,1053.0,1065.8,1040.0,1063.0,9346,9823469.6,1048.0,1264.0,208.8,2024-11-26T14:59:49.217884,1063.0,161,1051.08,7308.13
311,2024-11-27,9233,NWCL,Nepal Warehousing Company Limited ,1063.0,1078.7,1051.3,1065.0,9933,10571234.6,1063.0,1264.0,208.8,2024-11-27T15:00:02.645233,1065.0,179,1064.25,7321.88
279,2024-11-28,9233,NWCL,Nepal Warehousing Company Limited ,1069.8,1071.9,1027.0,1039.0,7104,7419106.7,1065.0,1264.0,208.8,2024-11-28T14:59:59.090451,1039.0,170,1044.35,7143.13
314,2024-12-01,9233,NWCL,Nepal Warehousing Company Limited ,1021.0,1041.0,1021.0,1029.0,4709,4854988.5,1039.0,1264.0,208.8,2024-12-01T14:59:33.166451,1029.0,102,1031.0,7074.38
308,2024-12-02,9233,NWCL,Nepal Warehousing Company Limited ,1047.9,1059.9,1029.0,1044.0,5504,5774802.2,1029.0,1264.0,208.8,2024-12-02T14:59:13.896066,1044.0,152,1049.2,7177.5
301,2024-12-03,9233,NWCL,Nepal Warehousing Company Limited ,1042.0,1049.0,1025.0,1040.0,6958,7220328.1,1044.0,1264.0,208.8,2024-12-03T14:59:59.251896,1040.0,144,1037.7,7150.0
314,2024-12-04,9233,NWCL,Nepal Warehousing Company Limited ,1025.0,1080.0,1025.0,1034.0,9194,9631833.5,1040.0,1264.0,208.8,2024-12-04T14:59:57.70454,1034.0,156,1047.62,7108.75
302,2024-12-05,9233,NWCL,Nepal Warehousing Company Limited ,1015.3,1040.0,1015.3,1018.0,9518,9758039.5,1034.0,1264.0,208.8,2024-12-05T14:59:57.334293,1018.0,145,1025.21,6998.75
315,2024-12-08,9233,NWCL,Nepal Warehousing Company Limited ,998.1,1025.0,998.0,1009.0,8750,8814829.1,1018.0,1264.0,208.8,2024-12-08T14:59:45.80517,1009.0,167,1007.4,6936.88
310,2024-12-09,9233,NWCL,Nepal Warehousing Company Limited ,1018.0,1024.0,998.0,1010.0,5636,5675308.5,1009.0,1264.0,208.8,2024-12-09T14:59:58.524089,1010.0,115,1006.97,6943.75
296,2024-12-10,9233,NWCL,Nepal Warehousing Company Limited ,1006.0,1025.0,993.1,1019.0,4016,4054760.0,1010.0,1264.0,208.8,2024-12-10T14:59:57.978114,1019.0,94,1009.65,7005.63
300,2024-12-11,9233,NWCL,Nepal Warehousing Company Limited ,1003.6,1029.5,1003.0,1016.0,2738,2783809.0,1019.0,1264.0,208.8,2024-12-11T14:58:40.867149,1016.0,79,1016.73,6985.0
300,2024-12-12,9233,NWCL,Nepal Warehousing Company Limited ,1005.0,1029.9,995.0,1015.0,7427,7524853.8,1016.0,1264.0,208.8,2024-12-12T14:59:57.97218,1015.0,132,1013.17,6978.13
273,2024-12-16,9233,NWCL,Nepal Warehousing Company Limited ,1030.0,1030.0,970.0,980.0,5761,5671112.7,1015.0,1264.0,208.8,2024-12-16T14:59:59.343501,980.0,148,984.39,6737.5
247,2024-12-17,9233,NWCL,Nepal Warehousing Company Limited ,965.2,989.0,965.2,972.0,4566,4455725.9,980.0,1264.0,208.8,2024-12-17T14:59:41.161972,972.0,106,975.84,6682.5
310,2024-12-18,9233,NWCL,Nepal Warehousing Company Limited ,973.1,990.0,962.0,976.0,4360,4252051.8,972.0,1264.0,208.8,2024-12-18T14:59:58.285033,976.0,97,975.24,6710.0
305,2024-12-19,9233,NWCL,Nepal Warehousing Company Limited ,995.0,995.0,963.5,965.0,1549,1497420.5,976.0,1264.0,208.8,2024-12-19T14:59:20.676547,965.0,60,966.7,6634.38
313,2024-12-22,9233,NWCL,Nepal Warehousing Company Limited ,951.0,983.0,951.0,954.0,3377,3246693.0,965.0,1264.0,234.1,2024-12-22T14:59:34.305865,954.0,82,961.41,6558.75
326,2024-12-23,9233,NWCL,Nepal Warehousing Company Limited ,954.0,991.3,952.5,988.5,3882,3793940.5,954.0,1264.0,252.0,2024-12-23T14:59:26.539893,988.5,86,977.31,6795.94
308,2024-12-24,9233,NWCL,Nepal Warehousing Company Limited ,999.0,1008.0,985.0,991.0,4024,4009154.5,988.5,1264.0,252.0,2024-12-24T14:59:58.960242,991.0,111,996.31,6813.13
291,2024-12-26,9233,NWCL,Nepal Warehousing Company Limited ,991.0,995.0,965.0,975.0,2335,2277885.5,991.0,1264.0,277.7,2024-12-26T14:59:28.349273,975.0,64,975.53,6703.13
312,2024-12-29,9233,NWCL,Nepal Warehousing Company Limited ,957.0,980.0,955.0,957.0,5650,5475866.7,975.0,1264.0,311.5,2024-12-29T14:59:30.249385,957.0,117,969.17,6579.38
