Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
197,2024-11-25,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1078.0,1078.0,1077.5,1077.5,25,26945.0,1079.2,1124.0,962.0,2024-11-25T11:20:18.291306,1077.5,2,1077.8,2155.0
200,2024-11-26,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1079.9,1079.9,1079.8,1079.8,25,26996.5,1077.5,1124.0,962.0,2024-11-26T14:12:10.326688,1079.8,2,1079.86,2159.6
180,2024-11-27,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1091.3,1091.3,1091.3,1079.1,105,114525.5,1079.8,1124.0,962.0,2024-11-27T14:47:41.020183,1079.1,2,1090.71,2158.2
180,2024-12-04,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1090.0,1090.0,1090.0,1090.0,50,54500.0,1079.1,1124.0,962.0,2024-12-04T13:35:33.302684,1090.0,1,1090.0,2180.0
172,2024-12-05,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1100.6,1100.6,1100.6,1100.6,100,110060.0,1090.0,1124.0,962.0,2024-12-05T13:44:21.884133,1100.6,1,1100.6,2201.2
174,2024-12-08,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1079.0,1100.2,1078.7,1100.2,35,37974.0,1100.6,1124.0,962.0,2024-12-08T14:04:51.110904,1100.2,3,1084.97,2200.4
169,2024-12-11,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1100.0,1100.0,1100.0,1100.0,100,110000.0,1100.2,1124.0,962.0,2024-12-11T13:27:20.707541,1100.0,2,1100.0,2200.0
178,2024-12-16,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1080.0,1130.0,1080.0,1130.0,810,892155.0,1100.0,1130.0,962.0,2024-12-16T14:57:48.228747,1130.0,14,1101.42,2260.0
173,2024-12-19,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1125.0,1125.0,1090.0,1111.0,650,720100.0,1130.0,1130.0,962.0,2024-12-19T14:41:36.970084,1111.0,7,1107.84,2222.0
203,2024-12-23,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1114.0,1114.0,1114.0,1114.0,275,306350.0,1111.0,1130.0,962.0,2024-12-23T14:40:48.822673,1114.0,2,1114.0,2228.0
199,2024-12-26,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1100.0,1100.0,1100.0,1100.0,25,27500.0,1114.0,1130.0,962.0,2024-12-26T14:37:37.661555,1100.0,1,1100.0,2200.0
158,2024-12-29,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1095.0,1095.0,1079.4,1090.0,175,190141.0,1100.0,1130.0,962.0,2024-12-29T14:40:43.146407,1090.0,5,1086.52,2180.0
