Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
86,2024-10-20,544,PCBLP,Prime Commercial Bank Promoter Share,113.4,113.4,113.4,113.4,144408,16375867.2,113.4,147.0,113.4,2024-10-20T14:49:29.247714,113.4,1,113.4,45.36
85,2024-10-24,544,PCBLP,Prime Commercial Bank Promoter Share,112.0,112.0,112.0,112.0,421840,47246080.0,113.4,147.0,112.0,2024-10-24T12:00:30.435829,112.0,1,112.0,44.8
85,2024-11-06,544,PCBLP,Prime Commercial Bank Promoter Share,110.0,110.0,110.0,110.0,7942,873620.0,112.0,144.1,110.0,2024-11-06T14:47:53.208611,110.0,2,110.0,44.0
85,2024-11-14,544,PCBLP,Prime Commercial Bank Promoter Share,107.8,107.8,105.7,105.7,83843,8961932.0,110.0,144.1,105.7,2024-11-14T14:24:46.996555,105.7,2,106.88,42.28
84,2024-11-17,544,PCBLP,Prime Commercial Bank Promoter Share,103.6,103.6,103.6,103.6,10660,1104376.0,105.7,144.1,103.6,2024-11-17T12:55:38.963912,103.6,1,103.6,41.44
87,2024-11-19,544,PCBLP,Prime Commercial Bank Promoter Share,103.6,103.6,103.6,103.6,32529,3370004.4,103.6,144.1,103.6,2024-11-19T14:50:03.979122,103.6,3,103.6,41.44
86,2024-12-04,544,PCBLP,Prime Commercial Bank Promoter Share,103.6,103.6,103.6,103.6,26323,2727062.8,103.6,144.1,103.6,2024-12-04T14:36:19.527863,103.6,2,103.6,41.44
85,2024-12-08,544,PCBLP,Prime Commercial Bank Promoter Share,103.6,103.6,103.6,103.6,107837,11171913.2,103.6,144.1,103.6,2024-12-08T13:49:28.088954,103.6,1,103.6,41.44
86,2024-12-19,544,PCBLP,Prime Commercial Bank Promoter Share,103.6,103.6,103.6,103.6,44210,4580156.0,103.6,144.1,103.6,2024-12-19T13:12:37.51123,103.6,1,103.6,41.44
97,2024-12-24,544,PCBLP,Prime Commercial Bank Promoter Share,101.6,101.6,101.6,101.6,21916,2226665.6,103.6,144.1,101.6,2024-12-24T14:39:53.236858,101.6,1,101.6,40.64
103,2024-12-26,544,PCBLP,Prime Commercial Bank Promoter Share,103.6,105.2,103.6,105.2,218260,22960536.0,101.6,144.1,101.6,2024-12-26T13:57:59.716071,105.2,2,105.19,42.08
