Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
46,2024-10-15,236,PFL,Pokhara Finance Ltd.,620.1,649.9,620.1,643.0,20922,13363969.0,620.0,795.0,320.2,2024-10-15T14:59:56.792893,643.0,145,638.75,6960.84
47,2024-10-16,236,PFL,Pokhara Finance Ltd.,653.8,655.5,633.2,645.0,30968,19977555.8,643.0,795.0,320.2,2024-10-16T14:59:58.655532,645.0,204,645.1,6982.49
47,2024-10-17,236,PFL,Pokhara Finance Ltd.,650.0,709.0,632.0,672.2,158193,106234295.0,645.0,795.0,320.2,2024-10-17T14:59:59.186735,672.2,933,671.54,7276.95
47,2024-10-20,236,PFL,Pokhara Finance Ltd.,660.0,683.0,635.0,650.1,77168,51349447.6,672.2,795.0,320.2,2024-10-20T14:59:58.461002,650.1,609,665.42,7037.7
47,2024-10-21,236,PFL,Pokhara Finance Ltd.,650.1,662.0,628.0,630.0,37863,24236583.2,650.1,795.0,320.2,2024-10-21T14:59:53.185782,630.0,318,640.11,6820.11
47,2024-10-22,236,PFL,Pokhara Finance Ltd.,621.8,663.0,621.8,653.0,34719,22447535.4,630.0,795.0,320.2,2024-10-22T14:59:36.451284,653.0,302,646.54,7069.1
47,2024-10-23,236,PFL,Pokhara Finance Ltd.,666.0,670.1,638.0,652.0,58132,38134801.5,653.0,795.0,320.2,2024-10-23T14:59:59.385746,652.0,402,656.0,7058.27
47,2024-10-24,236,PFL,Pokhara Finance Ltd.,657.5,660.0,640.0,643.0,29162,18873291.8,652.0,795.0,320.2,2024-10-24T14:59:57.406379,643.0,228,647.18,6960.84
46,2024-10-27,236,PFL,Pokhara Finance Ltd.,655.0,655.0,634.0,645.8,34753,22488885.4,643.0,795.0,320.2,2024-10-27T14:59:59.906062,645.8,201,647.1,6991.15
46,2024-10-28,236,PFL,Pokhara Finance Ltd.,657.9,670.0,638.0,669.0,53229,35304653.8,645.8,795.0,320.2,2024-10-28T14:59:58.631001,669.0,384,663.25,7242.3
46,2024-10-29,236,PFL,Pokhara Finance Ltd.,681.0,688.0,655.0,669.0,75472,50934190.8,669.0,795.0,320.2,2024-10-29T14:59:58.97324,669.0,486,674.87,7242.3
47,2024-10-30,236,PFL,Pokhara Finance Ltd.,670.0,675.8,645.1,660.0,41926,27542284.5,669.0,795.0,320.2,2024-10-30T14:59:39.97866,660.0,243,656.92,7144.87
46,2024-11-05,236,PFL,Pokhara Finance Ltd.,667.0,672.0,652.1,656.9,12846,8422245.5,660.0,795.0,320.2,2024-11-05T14:59:56.909187,656.9,102,655.63,7111.31
47,2024-11-06,236,PFL,Pokhara Finance Ltd.,668.6,668.6,648.8,655.0,35223,23211057.3,656.9,795.0,320.2,2024-11-06T14:59:55.544114,655.0,209,658.97,7090.75
47,2024-11-10,236,PFL,Pokhara Finance Ltd.,655.0,677.9,652.0,674.0,61153,40993483.2,655.0,795.0,320.2,2024-11-10T14:59:58.809437,674.0,398,670.34,7296.43
47,2024-11-11,236,PFL,Pokhara Finance Ltd.,683.0,688.6,661.1,669.0,69185,46778520.1,674.0,795.0,320.2,2024-11-11T14:59:53.319702,669.0,347,676.13,7242.3
47,2024-11-12,236,PFL,Pokhara Finance Ltd.,669.0,713.9,664.2,692.4,136089,93554380.5,669.0,795.0,320.2,2024-11-12T14:59:59.937698,692.4,745,687.44,7495.62
47,2024-11-13,236,PFL,Pokhara Finance Ltd.,699.0,761.6,699.0,761.6,346450,258944170.3,692.4,795.0,320.2,2024-11-13T14:59:35.851533,761.6,2260,747.42,8244.75
47,2024-11-14,236,PFL,Pokhara Finance Ltd.,761.0,794.0,761.0,765.0,127964,99561441.8,761.6,795.0,320.2,2024-11-14T14:59:59.441948,765.0,1152,778.04,8281.56
46,2024-11-17,236,PFL,Pokhara Finance Ltd.,780.3,780.3,735.0,743.0,214628,160816126.3,765.0,795.0,320.2,2024-11-17T14:59:59.576185,743.0,968,749.27,8043.4
48,2024-11-19,236,PFL,Pokhara Finance Ltd.,745.0,794.9,745.0,773.0,322179,249274171.6,743.0,795.0,320.2,2024-11-19T14:59:58.346407,773.0,1977,773.71,8368.16
46,2024-11-20,236,PFL,Pokhara Finance Ltd.,788.4,788.4,763.0,770.0,94242,72623203.2,773.0,795.0,320.2,2024-11-20T14:59:57.474929,770.0,610,770.6,8335.69
47,2024-11-21,236,PFL,Pokhara Finance Ltd.,770.0,779.0,730.0,736.0,128875,96773307.2,770.0,795.0,325.2,2024-11-21T14:59:59.832314,736.0,692,750.9,7967.62
47,2024-11-24,236,PFL,Pokhara Finance Ltd.,737.0,756.0,722.0,730.0,100896,74625719.8,736.0,795.0,325.2,2024-11-24T14:59:54.994247,730.0,675,739.63,7902.66
51,2024-11-25,236,PFL,Pokhara Finance Ltd.,744.6,750.0,730.0,740.0,138230,102409167.3,730.0,795.0,325.2,2024-11-25T14:59:53.044377,740.0,741,740.86,8010.92
19,2024-11-26,236,PFL,Pokhara Finance Ltd.,740.0,760.0,731.0,744.0,148865,110247342.4,740.0,795.0,325.2,2024-11-26T14:59:58.662276,744.0,756,740.58,8054.22
47,2024-11-27,236,PFL,Pokhara Finance Ltd.,758.8,758.8,730.0,734.0,132211,97313020.3,744.0,795.0,325.2,2024-11-27T14:59:52.536547,734.0,643,736.04,7945.97
27,2024-11-28,236,PFL,Pokhara Finance Ltd.,743.9,743.9,710.1,712.0,130423,93836982.6,734.0,795.0,325.2,2024-11-28T14:59:57.889368,712.0,739,719.48,7707.8
53,2024-12-01,236,PFL,Pokhara Finance Ltd.,710.0,725.0,697.8,716.0,84039,60095490.6,712.0,795.0,325.2,2024-12-01T14:59:53.883394,716.0,509,715.09,7751.11
47,2024-12-02,236,PFL,Pokhara Finance Ltd.,716.0,724.0,691.0,692.0,97882,69280127.9,716.0,795.0,327.0,2024-12-02T14:59:56.922116,692.0,569,707.79,7491.29
47,2024-12-03,236,PFL,Pokhara Finance Ltd.,695.0,727.2,695.0,705.0,71513,50834492.3,692.0,795.0,327.0,2024-12-03T14:59:56.313204,705.0,504,710.84,7632.02
47,2024-12-04,236,PFL,Pokhara Finance Ltd.,719.0,719.0,691.1,695.1,72748,51165263.5,705.0,795.0,327.0,2024-12-04T14:59:42.821577,695.1,400,703.32,7524.85
47,2024-12-05,236,PFL,Pokhara Finance Ltd.,696.0,700.0,662.0,669.0,82112,55542707.7,695.1,795.0,327.0,2024-12-05T14:59:57.727775,669.0,512,676.42,7242.3
47,2024-12-08,236,PFL,Pokhara Finance Ltd.,665.0,678.0,650.0,650.1,55974,36811199.4,669.0,795.0,336.6,2024-12-08T14:59:55.361844,650.1,371,657.64,7037.7
46,2024-12-09,236,PFL,Pokhara Finance Ltd.,645.1,674.0,645.1,674.0,87952,57848158.2,650.1,795.0,340.0,2024-12-09T14:59:58.631098,674.0,355,657.72,7296.43
46,2024-12-10,236,PFL,Pokhara Finance Ltd.,674.0,680.0,661.0,667.9,22240,14833023.1,674.0,795.0,340.0,2024-12-10T14:59:58.326097,667.9,194,666.95,7230.4
46,2024-12-11,236,PFL,Pokhara Finance Ltd.,666.0,690.0,658.0,683.0,56467,38233104.7,667.9,795.0,340.0,2024-12-11T14:59:59.453553,683.0,255,677.08,7393.86
44,2024-12-12,236,PFL,Pokhara Finance Ltd.,670.0,710.0,656.6,657.0,52232,34820162.1,683.0,795.0,340.0,2024-12-12T14:59:54.968113,657.0,355,666.64,7112.4
47,2024-12-16,236,PFL,Pokhara Finance Ltd.,644.0,649.0,618.0,620.0,52833,33131641.2,657.0,795.0,340.0,2024-12-16T14:59:51.197204,620.0,416,627.1,6711.85
88,2024-12-17,236,PFL,Pokhara Finance Ltd.,607.6,633.0,607.6,623.9,73220,45574098.5,620.0,795.0,340.0,2024-12-17T14:59:58.623216,623.9,333,622.42,6754.07
105,2024-12-18,236,PFL,Pokhara Finance Ltd.,635.0,650.0,626.1,649.0,53199,33912245.3,623.9,795.0,340.0,2024-12-18T14:59:59.445031,649.0,328,637.46,7025.79
46,2024-12-19,236,PFL,Pokhara Finance Ltd.,643.0,645.0,624.0,630.0,30540,19325477.3,649.0,795.0,340.0,2024-12-19T14:59:56.368788,630.0,244,632.79,6820.11
47,2024-12-22,236,PFL,Pokhara Finance Ltd.,619.0,629.0,611.0,619.8,23069,14283853.1,630.0,795.0,340.0,2024-12-22T14:57:57.248676,619.8,203,619.17,6709.69
52,2024-12-23,236,PFL,Pokhara Finance Ltd.,629.6,632.1,615.0,623.8,34682,21584736.4,619.8,795.0,340.0,2024-12-23T14:59:20.355065,623.8,224,622.36,6752.99
54,2024-12-24,236,PFL,Pokhara Finance Ltd.,618.0,650.0,618.0,631.0,63461,40252601.9,623.8,795.0,340.0,2024-12-24T14:59:56.113115,631.0,380,634.28,6830.93
23,2024-12-26,236,PFL,Pokhara Finance Ltd.,630.0,630.0,613.0,618.0,41316,25575941.8,631.0,795.0,340.0,2024-12-26T14:59:34.946796,618.0,264,619.03,6690.2
