Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
237,2024-11-25,8133,PHCL,Peoples Hydropower Company Limited,560.8,560.8,542.5,544.9,114319,62788389.7,549.9,670.0,221.3,2024-11-25T14:59:59.625412,544.9,477,549.23,17436.8
274,2024-11-26,8133,PHCL,Peoples Hydropower Company Limited,555.7,560.0,544.0,554.0,101595,55983715.6,544.9,670.0,221.3,2024-11-26T14:59:57.769585,554.0,567,551.04,17728.0
257,2024-11-27,8133,PHCL,Peoples Hydropower Company Limited,565.0,581.4,550.3,579.0,431451,247295785.1,554.0,670.0,221.3,2024-11-27T14:59:58.536121,579.0,1135,573.17,18528.0
253,2024-11-28,8133,PHCL,Peoples Hydropower Company Limited,580.0,589.0,553.0,561.0,134052,75776596.2,579.0,670.0,221.3,2024-11-28T14:59:59.949082,561.0,584,565.27,17952.0
266,2024-12-01,8133,PHCL,Peoples Hydropower Company Limited,550.0,559.0,539.0,546.1,95526,52068849.5,561.0,670.0,221.3,2024-12-01T14:59:59.732541,546.1,536,545.07,17475.2
250,2024-12-02,8133,PHCL,Peoples Hydropower Company Limited,536.0,575.0,536.0,570.1,254142,144022825.6,546.1,670.0,221.3,2024-12-02T14:59:58.159677,570.1,970,566.7,18243.2
246,2024-12-03,8133,PHCL,Peoples Hydropower Company Limited,581.5,594.4,571.0,589.9,211860,124411836.5,570.1,670.0,221.3,2024-12-03T14:59:59.445167,589.9,932,587.23,18876.8
259,2024-12-04,8133,PHCL,Peoples Hydropower Company Limited,601.6,601.6,570.3,573.0,161421,93959257.3,589.9,670.0,221.3,2024-12-04T14:59:58.993508,573.0,638,582.07,18336.0
246,2024-12-05,8133,PHCL,Peoples Hydropower Company Limited,580.0,580.0,559.2,570.0,132577,75023608.7,573.0,670.0,222.5,2024-12-05T14:59:58.533507,570.0,549,565.88,18240.0
257,2024-12-08,8133,PHCL,Peoples Hydropower Company Limited,563.3,574.0,558.3,559.1,74544,42029574.5,570.0,670.0,233.0,2024-12-08T14:59:58.268258,559.1,472,563.82,17891.2
251,2024-12-09,8133,PHCL,Peoples Hydropower Company Limited,553.2,574.0,551.0,553.3,66183,37020468.6,559.1,670.0,233.0,2024-12-09T14:59:58.224832,553.3,393,559.36,17705.6
243,2024-12-10,8133,PHCL,Peoples Hydropower Company Limited,560.0,565.0,547.0,557.0,56239,31204819.8,553.3,670.0,243.0,2024-12-10T14:59:45.526383,557.0,378,554.86,17824.0
245,2024-12-11,8133,PHCL,Peoples Hydropower Company Limited,550.7,566.0,550.7,563.0,21973,12311150.9,557.0,670.0,252.0,2024-12-11T14:59:42.899059,563.0,287,560.28,18016.0
214,2024-12-12,8133,PHCL,Peoples Hydropower Company Limited,553.0,569.9,553.0,553.2,81215,45521319.7,563.0,670.0,252.0,2024-12-12T14:59:51.168076,553.2,340,560.5,17702.4
222,2024-12-16,8133,PHCL,Peoples Hydropower Company Limited,550.0,555.0,535.0,535.0,45520,24774421.0,553.2,670.0,275.1,2024-12-16T14:59:41.027423,535.0,329,544.25,17120.0
227,2024-12-17,8133,PHCL,Peoples Hydropower Company Limited,535.0,544.6,525.4,538.0,28575,15355764.6,535.0,670.0,275.1,2024-12-17T14:59:59.697389,538.0,321,537.38,17216.0
158,2024-12-18,8133,PHCL,Peoples Hydropower Company Limited,545.0,559.0,538.5,540.0,12206,6638404.1,538.0,670.0,275.1,2024-12-18T14:59:40.493354,540.0,253,543.86,17280.0
249,2024-12-19,8133,PHCL,Peoples Hydropower Company Limited,530.1,550.0,513.0,525.0,55781,29510257.6,540.0,670.0,275.1,2024-12-19T14:59:58.156394,525.0,326,529.03,16800.0
253,2024-12-22,8133,PHCL,Peoples Hydropower Company Limited,530.0,541.5,518.8,531.9,36721,19477595.5,525.0,670.0,275.1,2024-12-22T14:59:57.686081,531.9,383,530.42,17020.8
244,2024-12-23,8133,PHCL,Peoples Hydropower Company Limited,525.0,544.0,525.0,540.0,22423,12068138.3,531.9,670.0,275.1,2024-12-23T14:59:41.494471,540.0,319,538.2,17280.0
274,2024-12-24,8133,PHCL,Peoples Hydropower Company Limited,540.0,547.0,535.0,535.0,34356,18488989.2,540.0,670.0,275.1,2024-12-24T14:59:56.501679,535.0,341,538.15,17120.0
237,2024-12-26,8133,PHCL,Peoples Hydropower Company Limited,529.0,539.5,525.1,528.8,19252,10222223.2,535.0,670.0,275.1,2024-12-26T14:59:14.904868,528.8,265,530.96,16921.6
287,2024-12-29,8133,PHCL,Peoples Hydropower Company Limited,518.3,530.0,515.0,515.0,26716,13922456.9,528.8,670.0,275.1,2024-12-29T14:59:49.009582,515.0,310,521.12,16480.0
