Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
175,2024-10-15,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,571.0,571.0,560.0,567.7,3688,2080256.8,569.0,732.2,473.0,2024-10-15T14:59:57.576619,567.7,77,564.06,26827.23
179,2024-10-16,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,565.0,576.0,565.0,572.5,3532,2015694.7,567.7,732.2,473.0,2024-10-16T14:59:52.576585,572.5,118,570.69,27054.06
181,2024-10-17,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,567.5,579.9,567.5,572.6,13127,7527500.6,572.5,732.2,473.0,2024-10-17T14:59:57.682955,572.6,168,573.43,27058.79
180,2024-10-20,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,567.0,570.0,561.0,561.0,20058,11340822.1,572.6,732.2,473.0,2024-10-20T14:59:48.92569,561.0,248,565.4,26510.62
179,2024-10-21,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,561.0,561.0,546.0,557.0,19687,10882493.2,561.0,732.2,473.0,2024-10-21T14:59:57.984766,557.0,216,552.77,26321.59
180,2024-10-22,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,545.9,568.0,545.9,561.0,13901,7685935.6,557.0,732.2,473.0,2024-10-22T14:59:58.638599,561.0,185,552.9,26510.62
185,2024-10-23,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,549.8,562.0,549.8,562.0,12495,6987033.7,561.0,732.2,473.0,2024-10-23T14:59:31.485202,562.0,175,559.18,26557.87
185,2024-10-24,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,551.5,560.0,551.5,555.3,6578,3656067.8,562.0,732.2,473.0,2024-10-24T14:59:57.296727,555.3,134,555.8,26241.26
180,2024-10-27,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,545.0,556.0,545.0,550.1,4682,2583790.4,555.3,732.2,473.0,2024-10-27T14:59:50.697509,550.1,133,551.85,25995.53
177,2024-10-28,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,550.0,560.0,545.1,560.0,3548,1974617.3,550.1,732.2,473.0,2024-10-28T14:58:55.312279,560.0,132,556.54,26463.36
183,2024-10-29,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,555.5,570.8,555.5,570.0,9439,5352797.3,560.0,732.2,473.0,2024-10-29T14:59:58.97067,570.0,156,567.09,26935.92
179,2024-10-30,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,579.9,580.0,560.3,572.0,5710,3259512.1,570.0,732.2,473.0,2024-10-30T14:59:44.106357,572.0,91,570.84,27030.43
174,2024-11-05,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,566.3,577.0,566.0,575.0,12469,7126304.6,572.0,732.2,473.0,2024-11-05T14:59:22.968708,575.0,112,571.52,27172.2
187,2024-11-06,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,567.0,575.0,566.0,572.8,3758,2135512.3,575.0,732.2,473.0,2024-11-06T14:57:51.927679,572.8,106,568.25,27068.24
186,2024-11-10,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,561.5,591.0,561.5,588.0,11691,6805961.3,572.8,732.2,473.0,2024-11-10T14:59:29.218254,588.0,280,582.15,27786.53
174,2024-11-11,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,596.7,600.0,585.0,588.0,22179,13176165.7,588.0,732.2,473.0,2024-11-11T14:59:45.661629,588.0,303,594.08,27786.53
181,2024-11-12,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,580.5,592.1,577.4,584.8,7267,4251547.7,588.0,732.2,473.0,2024-11-12T14:58:23.843575,584.8,201,585.04,27635.31
178,2024-11-13,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,575.0,585.0,575.0,580.0,4525,2612933.8,584.8,732.2,473.0,2024-11-13T14:59:51.641303,580.0,151,577.44,27408.48
187,2024-11-14,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,575.1,586.0,571.0,574.1,12073,6980454.2,580.0,732.2,473.0,2024-11-14T14:59:40.392888,574.1,227,578.18,27129.67
185,2024-11-17,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,585.0,589.0,570.0,570.0,13793,7958247.1,574.1,732.2,473.0,2024-11-17T14:59:53.189837,570.0,298,576.97,26935.92
185,2024-11-19,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,560.4,579.0,560.0,562.0,10027,5688686.4,570.0,732.2,473.0,2024-11-19T14:59:52.351845,562.0,213,567.33,26557.87
186,2024-11-20,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,560.1,567.0,557.3,560.5,8660,4856225.9,562.0,732.2,473.0,2024-11-20T14:58:04.20074,560.5,156,560.76,26486.99
180,2024-11-21,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,560.5,565.4,555.0,555.0,17348,9709401.4,560.5,732.2,473.0,2024-11-21T14:59:50.87072,555.0,231,559.68,26227.08
186,2024-11-24,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,550.4,582.3,550.4,558.0,4802,2681346.2,555.0,732.2,473.0,2024-11-24T14:59:47.879158,558.0,179,558.38,26368.85
200,2024-11-25,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,565.0,568.5,552.2,558.0,3524,1966201.8,558.0,732.2,473.0,2024-11-25T14:59:54.928259,558.0,132,557.94,26368.85
204,2024-11-26,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,553.7,564.0,553.7,560.5,6187,3465127.1,558.0,732.2,473.0,2024-11-26T14:59:55.669824,560.5,174,560.06,26486.99
186,2024-11-27,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,560.0,575.0,558.6,567.9,19211,10893850.8,560.5,732.2,473.0,2024-11-27T14:59:53.320377,567.9,233,567.06,26836.68
164,2024-11-28,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,570.2,572.0,561.2,565.4,8144,4606039.8,567.9,732.2,473.0,2024-11-28T14:59:44.971588,565.4,169,565.57,26718.54
174,2024-12-01,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,555.6,563.8,555.6,556.0,12131,6771043.4,565.4,732.2,473.0,2024-12-01T14:59:48.574973,556.0,158,558.16,26274.34
176,2024-12-02,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,556.0,567.0,556.0,563.0,15501,8717376.2,556.0,732.2,473.0,2024-12-02T14:59:54.657758,563.0,248,562.37,26605.13
181,2024-12-03,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,560.0,569.8,560.0,565.0,9440,5315544.8,563.0,732.2,473.0,2024-12-03T14:59:56.392062,565.0,217,563.08,26699.64
186,2024-12-04,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,555.6,569.0,555.6,564.9,6164,3476174.7,565.0,732.2,473.0,2024-12-04T14:58:56.581276,564.9,189,563.94,26694.91
178,2024-12-05,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,560.0,570.0,556.3,558.0,11861,6655671.7,564.9,732.2,473.0,2024-12-05T14:59:52.672217,558.0,181,561.13,26368.85
179,2024-12-08,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,554.0,559.0,553.3,554.1,13458,7473134.4,558.0,732.2,473.0,2024-12-08T14:58:35.346877,554.1,194,555.29,26184.55
179,2024-12-09,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,552.4,560.0,552.4,555.0,7712,4280026.7,554.1,732.2,473.0,2024-12-09T14:59:50.938831,555.0,128,554.98,26227.08
175,2024-12-10,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,554.0,554.0,549.0,551.0,14483,7996376.9,555.0,732.2,473.0,2024-12-10T14:58:18.240282,551.0,140,552.12,26038.06
174,2024-12-11,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,545.0,556.9,545.0,555.0,7135,3932712.1,551.0,732.2,473.0,2024-12-11T14:59:26.260733,555.0,133,551.18,26227.08
183,2024-12-12,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,554.0,559.0,553.0,554.4,4619,2565184.3,555.0,732.2,473.0,2024-12-12T14:59:36.306442,554.4,119,555.35,26198.73
167,2024-12-16,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,545.8,552.0,544.2,546.3,10396,5692365.3,554.4,732.2,473.0,2024-12-16T14:59:55.098035,546.3,144,547.55,25815.95
211,2024-12-17,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,540.0,545.0,536.0,537.5,7676,4136436.0,546.3,732.2,473.0,2024-12-17T14:58:43.75888,537.5,161,538.87,25400.1
123,2024-12-18,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,531.3,539.0,530.0,530.5,16877,8988132.1,537.5,732.2,473.0,2024-12-18T14:59:53.734468,530.5,211,532.56,25069.31
178,2024-12-19,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,530.0,535.0,519.5,519.5,12007,6291834.1,530.5,732.2,473.0,2024-12-19T14:59:55.865697,519.5,174,524.01,24549.49
182,2024-12-22,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,516.2,519.5,510.0,510.0,9802,5026936.8,519.5,732.2,473.0,2024-12-22T14:59:30.031309,510.0,161,512.84,24100.56
172,2024-12-23,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,512.0,524.3,510.0,518.0,15026,7788203.8,510.0,732.2,473.0,2024-12-23T14:59:55.931899,518.0,295,518.31,24478.61
232,2024-12-24,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,518.0,530.0,518.0,526.0,13774,7232105.7,518.0,732.2,473.0,2024-12-24T14:59:48.620078,526.0,328,525.05,24856.66
171,2024-12-26,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,520.3,535.0,520.3,525.0,7401,3893597.9,526.0,732.2,473.0,2024-12-26T14:59:59.527976,525.0,242,526.09,24809.4
186,2024-12-29,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,525.0,530.0,520.0,522.0,7778,4063058.2,525.0,732.2,473.0,2024-12-29T14:59:51.671244,522.0,249,522.37,24667.63
