Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
156,2024-11-25,2813,PPCL,Panchthar Power Compant Limited,265.0,270.0,265.0,268.6,12149,3239963.6,264.8,367.2,196.0,2024-11-25T14:58:51.177228,268.6,58,266.68,2585.28
158,2024-11-26,2813,PPCL,Panchthar Power Compant Limited,273.9,289.9,265.0,274.7,29392,7980464.9,268.6,367.2,196.0,2024-11-26T14:59:57.389621,274.7,117,271.51,2643.99
147,2024-11-27,2813,PPCL,Panchthar Power Compant Limited,279.8,280.0,271.0,278.6,39149,10834910.6,274.7,367.2,196.0,2024-11-27T14:59:36.903676,278.6,168,276.76,2681.53
148,2024-11-28,2813,PPCL,Panchthar Power Compant Limited,284.1,306.4,282.0,301.8,260428,77887342.7,278.6,367.2,196.0,2024-11-28T14:59:58.161648,301.8,1080,299.07,2904.82
164,2024-12-01,2813,PPCL,Panchthar Power Compant Limited,307.8,324.3,295.0,320.0,158619,48884753.5,301.8,367.2,196.0,2024-12-01T14:59:53.188923,320.0,631,308.18,3080.0
146,2024-12-02,2813,PPCL,Panchthar Power Compant Limited,320.0,327.0,308.0,312.0,124208,39526505.0,320.0,367.2,196.0,2024-12-02T14:59:59.170104,312.0,564,318.22,3003.0
147,2024-12-03,2813,PPCL,Panchthar Power Compant Limited,308.0,321.8,308.0,314.5,102506,32481846.3,312.0,367.2,196.0,2024-12-03T14:59:47.496778,314.5,384,316.87,3027.06
147,2024-12-04,2813,PPCL,Panchthar Power Compant Limited,320.7,320.7,306.0,306.1,74599,23204304.5,314.5,367.2,196.0,2024-12-04T14:59:55.125496,306.1,327,311.05,2946.21
144,2024-12-05,2813,PPCL,Panchthar Power Compant Limited,304.0,319.2,301.5,302.0,88655,27341224.0,306.1,367.2,199.0,2024-12-05T14:59:49.861485,302.0,319,308.4,2906.75
149,2024-12-08,2813,PPCL,Panchthar Power Compant Limited,296.1,308.0,292.0,294.0,39768,11805772.7,302.0,367.2,209.0,2024-12-08T14:59:54.210027,294.0,211,296.86,2829.75
145,2024-12-09,2813,PPCL,Panchthar Power Compant Limited,288.2,307.0,288.2,293.9,48303,14400360.9,294.0,367.2,210.0,2024-12-09T14:59:26.785583,293.9,209,298.12,2828.79
144,2024-12-10,2813,PPCL,Panchthar Power Compant Limited,299.5,303.0,288.0,292.9,38385,11252888.2,293.9,367.2,214.0,2024-12-10T14:59:57.897632,292.9,164,293.15,2819.16
144,2024-12-11,2813,PPCL,Panchthar Power Compant Limited,288.5,298.6,288.5,297.0,25092,7422354.2,292.9,367.2,214.0,2024-12-11T14:59:49.016566,297.0,125,295.8,2858.63
149,2024-12-12,2813,PPCL,Panchthar Power Compant Limited,297.0,301.0,286.0,291.3,44423,13068773.4,297.0,367.2,214.0,2024-12-12T14:59:58.12017,291.3,175,294.18,2803.76
131,2024-12-16,2813,PPCL,Panchthar Power Compant Limited,296.9,296.9,277.5,281.4,37431,10540852.3,291.3,367.2,214.0,2024-12-16T14:59:59.197725,281.4,159,281.6,2708.47
124,2024-12-17,2813,PPCL,Panchthar Power Compant Limited,281.0,290.7,276.3,289.0,33565,9564824.8,281.4,367.2,214.0,2024-12-17T14:59:56.129446,289.0,123,284.96,2781.63
79,2024-12-18,2813,PPCL,Panchthar Power Compant Limited,289.0,301.0,289.0,298.0,66296,19701693.5,289.0,367.2,214.0,2024-12-18T14:59:58.622671,298.0,361,297.17,2868.25
147,2024-12-19,2813,PPCL,Panchthar Power Compant Limited,302.6,303.5,286.1,287.0,35530,10453848.4,298.0,367.2,214.0,2024-12-19T14:59:51.941334,287.0,206,294.22,2762.38
148,2024-12-22,2813,PPCL,Panchthar Power Compant Limited,292.0,292.0,284.0,284.0,42963,12352886.3,287.0,367.2,214.0,2024-12-22T14:59:43.644889,284.0,167,287.52,2733.5
129,2024-12-23,2813,PPCL,Panchthar Power Compant Limited,289.6,294.4,287.1,293.0,25497,7420197.4,284.0,367.2,214.0,2024-12-23T14:59:42.93238,293.0,138,291.02,2820.13
158,2024-12-24,2813,PPCL,Panchthar Power Compant Limited,296.0,296.0,286.0,286.0,28288,8212185.8,293.0,367.2,214.0,2024-12-24T14:59:59.434551,286.0,149,290.3,2752.75
127,2024-12-26,2813,PPCL,Panchthar Power Compant Limited,289.0,294.7,284.0,287.0,24809,7136828.5,286.0,367.2,214.0,2024-12-26T14:59:56.971976,287.0,130,287.67,2762.38
143,2024-12-29,2813,PPCL,Panchthar Power Compant Limited,285.0,290.0,279.0,280.0,25809,7305205.9,287.0,367.2,214.0,2024-12-29T14:59:52.249884,280.0,139,283.04,2695.0
