Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
32,2024-10-15,184,PRIN,Prabhu Insurance Ltd.,970.0,999.8,970.0,995.0,2072,2056958.0,989.0,1113.0,618.0,2024-10-15T14:43:28.99155,995.0,24,992.74,14342.81
32,2024-10-16,184,PRIN,Prabhu Insurance Ltd.,999.0,1000.0,991.1,998.9,7423,7395722.1,995.0,1113.0,618.0,2024-10-16T14:59:32.484854,998.9,87,996.32,14399.02
32,2024-10-17,184,PRIN,Prabhu Insurance Ltd.,1015.0,1015.0,994.7,998.4,8553,8550271.4,998.9,1113.0,618.0,2024-10-17T14:59:58.571322,998.4,64,999.68,14391.82
32,2024-10-20,184,PRIN,Prabhu Insurance Ltd.,980.1,997.0,964.0,974.0,12429,12180100.1,998.4,1113.0,618.0,2024-10-20T14:59:59.026486,974.0,93,979.97,14040.09
32,2024-10-21,184,PRIN,Prabhu Insurance Ltd.,960.1,987.9,960.0,963.0,13818,13340111.2,974.0,1113.0,618.0,2024-10-21T14:59:49.898113,963.0,94,965.41,13881.53
32,2024-10-22,184,PRIN,Prabhu Insurance Ltd.,963.0,967.0,957.0,964.0,10947,10541493.5,963.0,1113.0,618.0,2024-10-22T14:59:39.900993,964.0,99,962.95,13895.95
32,2024-10-23,184,PRIN,Prabhu Insurance Ltd.,945.3,983.0,945.3,968.0,3688,3560360.3,964.0,1113.0,618.0,2024-10-23T14:59:32.698775,968.0,50,965.39,13953.6
32,2024-10-24,184,PRIN,Prabhu Insurance Ltd.,953.1,968.0,950.0,955.0,6633,6329602.4,968.0,1113.0,618.0,2024-10-24T14:59:39.222218,955.0,76,954.25,13766.21
32,2024-10-27,184,PRIN,Prabhu Insurance Ltd.,955.0,968.0,951.5,951.5,13894,13266248.6,955.0,1113.0,618.0,2024-10-27T14:59:23.403237,951.5,67,954.81,13715.76
32,2024-10-28,184,PRIN,Prabhu Insurance Ltd.,955.0,960.0,954.9,959.0,3527,3370879.7,951.5,1113.0,618.0,2024-10-28T14:59:48.299534,959.0,45,955.73,13823.87
