Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
247,2024-11-25,9174,PRSF,Prabhu Smart Fund,10.3,10.3,10.22,10.24,2900,29680.0,10.3,11.3,7.7,2024-11-25T14:21:13.337102,10.24,5,10.23,1024.0
295,2024-11-26,9174,PRSF,Prabhu Smart Fund,10.22,10.35,10.22,10.35,47890,494874.0,10.24,11.3,7.7,2024-11-26T14:57:22.700315,10.35,12,10.33,1035.0
279,2024-11-27,9174,PRSF,Prabhu Smart Fund,10.24,10.4,10.24,10.35,10600,110208.0,10.35,11.3,7.7,2024-11-27T14:46:15.440053,10.35,8,10.39,1035.0
286,2024-11-28,9174,PRSF,Prabhu Smart Fund,10.15,10.35,10.15,10.29,7075,72825.0,10.35,11.3,7.7,2024-11-28T14:59:15.851066,10.29,7,10.29,1029.0
279,2024-12-01,9174,PRSF,Prabhu Smart Fund,10.3,10.45,10.09,10.17,60775,619376.75,10.29,11.3,7.7,2024-12-01T14:42:21.372327,10.17,15,10.19,1017.0
273,2024-12-02,9174,PRSF,Prabhu Smart Fund,10.13,10.33,10.13,10.21,20990,216664.4,10.17,11.3,7.7,2024-12-02T14:26:14.31841,10.21,8,10.32,1021.0
268,2024-12-03,9174,PRSF,Prabhu Smart Fund,10.05,10.3,10.05,10.3,1600,16376.0,10.21,11.3,7.7,2024-12-03T14:46:50.80035,10.3,10,10.23,1030.0
281,2024-12-04,9174,PRSF,Prabhu Smart Fund,10.15,10.29,10.15,10.28,200825,2064607.0,10.3,11.3,7.7,2024-12-04T14:55:01.326613,10.28,9,10.28,1028.0
268,2024-12-05,9174,PRSF,Prabhu Smart Fund,10.09,10.34,10.09,10.34,71500,735465.0,10.28,11.3,7.75,2024-12-05T14:03:24.713921,10.34,14,10.28,1034.0
279,2024-12-08,9174,PRSF,Prabhu Smart Fund,10.14,10.25,10.14,10.17,9060,92204.2,10.34,11.3,7.85,2024-12-08T14:30:52.739267,10.17,7,10.17,1017.0
273,2024-12-09,9174,PRSF,Prabhu Smart Fund,10.34,10.34,10.15,10.15,200,2049.0,10.17,11.3,7.85,2024-12-09T14:24:14.191181,10.15,2,10.24,1015.0
267,2024-12-11,9174,PRSF,Prabhu Smart Fund,10.01,10.2,10.01,10.07,8100,82042.0,10.15,11.3,7.95,2024-12-11T14:55:44.881128,10.07,10,10.12,1007.0
223,2024-12-12,9174,PRSF,Prabhu Smart Fund,10.0,10.15,9.97,10.02,5600,56763.0,10.07,11.3,7.95,2024-12-12T13:45:20.224321,10.02,7,10.13,1002.0
282,2024-12-16,9174,PRSF,Prabhu Smart Fund,9.9,9.9,9.9,9.9,100,990.0,10.02,11.3,8.17,2024-12-16T12:26:58.895582,9.9,1,9.9,990.0
297,2024-12-17,9174,PRSF,Prabhu Smart Fund,9.81,9.88,9.81,9.87,1400,13803.0,9.9,11.3,8.17,2024-12-17T14:57:12.243298,9.87,5,9.85,987.0
293,2024-12-18,9174,PRSF,Prabhu Smart Fund,10.0,10.02,10.0,10.02,400,4006.0,9.87,11.3,8.17,2024-12-18T13:46:21.954597,10.02,2,10.01,1002.0
272,2024-12-19,9174,PRSF,Prabhu Smart Fund,9.85,10.06,9.85,10.06,700,7002.0,10.02,11.3,8.17,2024-12-19T12:56:35.025966,10.06,4,10.0,1006.0
278,2024-12-22,9174,PRSF,Prabhu Smart Fund,10.2,10.2,9.87,10.06,6750,67875.5,10.06,11.3,8.17,2024-12-22T14:54:15.950942,10.06,8,10.05,1006.0
304,2024-12-23,9174,PRSF,Prabhu Smart Fund,9.88,9.89,9.88,9.88,500,4941.0,10.06,11.3,8.17,2024-12-23T12:43:08.424006,9.88,4,9.88,988.0
291,2024-12-24,9174,PRSF,Prabhu Smart Fund,10.0,10.21,10.0,10.1,138000,1407101.0,9.88,11.3,8.17,2024-12-24T14:56:55.429211,10.1,12,10.19,1010.0
276,2024-12-26,9174,PRSF,Prabhu Smart Fund,10.3,10.3,9.91,9.91,30100,307991.0,10.1,11.3,8.17,2024-12-26T13:36:51.931285,9.91,5,10.23,991.0
293,2024-12-29,9174,PRSF,Prabhu Smart Fund,9.73,10.19,9.73,10.19,242698,2472696.12,9.91,11.3,8.17,2024-12-29T14:58:58.374353,10.19,11,10.18,1019.0
