Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
149,2024-11-25,2776,RADHI,Radhi Bidyut Company Ltd,382.0,392.0,381.0,389.0,43279,16709114.1,379.9,477.0,204.0,2024-11-25T14:59:56.48004,389.0,253,386.07,6829.24
125,2024-11-26,2776,RADHI,Radhi Bidyut Company Ltd,396.7,396.7,389.0,393.0,32144,12630235.1,389.0,477.0,204.0,2024-11-26T14:59:54.284339,393.0,167,392.92,6899.46
130,2024-11-27,2776,RADHI,Radhi Bidyut Company Ltd,400.0,403.0,392.1,396.0,47299,18761261.1,393.0,477.0,204.0,2024-11-27T14:59:45.889576,396.0,209,396.65,6952.13
110,2024-11-28,2776,RADHI,Radhi Bidyut Company Ltd,403.9,403.9,385.0,388.9,61490,24039613.5,396.0,477.0,204.0,2024-11-28T14:59:53.260131,388.9,296,390.95,6827.49
158,2024-12-01,2776,RADHI,Radhi Bidyut Company Ltd,381.2,390.0,376.2,386.0,54687,21037541.6,388.9,477.0,204.0,2024-12-01T14:59:38.890843,386.0,168,384.68,6776.57
129,2024-12-02,2776,RADHI,Radhi Bidyut Company Ltd,393.7,401.6,388.5,390.0,100237,39608015.6,386.0,477.0,204.0,2024-12-02T14:59:57.665211,390.0,301,395.14,6846.8
130,2024-12-03,2776,RADHI,Radhi Bidyut Company Ltd,382.5,405.0,382.5,397.9,113609,45170034.0,390.0,477.0,204.0,2024-12-03T14:59:57.848724,397.9,360,397.59,6985.49
130,2024-12-04,2776,RADHI,Radhi Bidyut Company Ltd,390.1,410.8,390.1,407.0,124750,50238624.5,397.9,477.0,204.0,2024-12-04T14:59:58.484305,407.0,462,402.71,7145.25
127,2024-12-05,2776,RADHI,Radhi Bidyut Company Ltd,399.0,415.0,396.0,400.0,85306,34195921.5,407.0,477.0,204.0,2024-12-05T14:59:58.66114,400.0,306,400.86,7022.36
132,2024-12-08,2776,RADHI,Radhi Bidyut Company Ltd,402.0,404.0,385.0,390.5,83599,32835130.3,400.0,477.0,210.8,2024-12-08T14:59:49.145945,390.5,253,392.76,6855.58
128,2024-12-09,2776,RADHI,Radhi Bidyut Company Ltd,383.1,403.0,383.1,386.3,47616,18516424.8,390.5,477.0,211.2,2024-12-09T14:59:21.821604,386.3,168,388.86,6781.84
127,2024-12-10,2776,RADHI,Radhi Bidyut Company Ltd,381.0,394.0,381.0,387.0,30001,11567635.8,386.3,477.0,215.3,2024-12-10T14:59:58.579627,387.0,155,385.57,6794.13
127,2024-12-11,2776,RADHI,Radhi Bidyut Company Ltd,380.1,399.0,380.1,399.0,48541,19035313.6,387.0,477.0,215.3,2024-12-11T14:59:56.929213,399.0,198,392.14,7004.8
130,2024-12-12,2776,RADHI,Radhi Bidyut Company Ltd,406.9,413.0,393.0,394.0,172593,69225688.2,399.0,477.0,215.3,2024-12-12T14:59:48.753958,394.0,701,401.09,6917.02
145,2024-12-16,2776,RADHI,Radhi Bidyut Company Ltd,401.8,401.8,380.1,385.6,37888,14674712.3,394.0,477.0,216.0,2024-12-16T14:59:55.029175,385.6,197,387.31,6769.55
155,2024-12-17,2776,RADHI,Radhi Bidyut Company Ltd,393.3,393.3,382.0,383.6,33672,12941169.3,385.6,477.0,216.0,2024-12-17T14:59:54.90783,383.6,195,384.33,6734.44
218,2024-12-18,2776,RADHI,Radhi Bidyut Company Ltd,391.2,391.2,377.0,382.2,92677,35604549.5,383.6,477.0,216.0,2024-12-18T14:59:59.085691,382.2,364,384.17,6709.86
130,2024-12-19,2776,RADHI,Radhi Bidyut Company Ltd,358.0,370.9,358.0,359.0,36611,13230859.1,364.87,477.0,216.0,2024-12-19T14:59:58.853006,359.0,195,361.39,6601.94
131,2024-12-22,2776,RADHI,Radhi Bidyut Company Ltd,352.2,364.8,348.0,350.0,32904,11570641.3,359.0,477.0,216.0,2024-12-22T14:59:30.981006,350.0,143,351.64,6436.43
150,2024-12-23,2776,RADHI,Radhi Bidyut Company Ltd,348.0,356.0,348.0,354.0,24319,8557352.1,350.0,477.0,216.0,2024-12-23T14:59:54.583139,354.0,131,351.87,6509.99
118,2024-12-24,2776,RADHI,Radhi Bidyut Company Ltd,350.0,361.0,350.0,357.4,34851,12374788.9,354.0,477.0,216.0,2024-12-24T14:59:42.00124,357.4,145,355.07,6572.51
119,2024-12-26,2776,RADHI,Radhi Bidyut Company Ltd,351.1,362.9,351.1,354.0,21233,7496615.8,357.4,477.0,216.0,2024-12-26T14:59:53.902905,354.0,117,353.06,6509.99
141,2024-12-29,2776,RADHI,Radhi Bidyut Company Ltd,350.0,360.0,345.0,348.0,25520,8879204.8,354.0,477.0,216.0,2024-12-29T14:59:55.323741,348.0,110,347.93,6399.65
