Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
279,2024-11-25,9181,RAWA,Rawa Energy Development Limited,771.4,810.0,756.1,792.3,36594,28700034.6,787.1,950.6,360.6,2024-11-25T14:59:58.590886,792.3,167,784.28,2218.44
247,2024-11-26,9181,RAWA,Rawa Energy Development Limited,777.0,813.0,777.0,801.0,18593,14890498.8,792.3,950.6,360.6,2024-11-26T14:59:59.169302,801.0,123,800.86,2242.8
284,2024-11-27,9181,RAWA,Rawa Energy Development Limited,785.0,816.9,785.0,814.9,7379,5952975.6,801.0,950.6,360.6,2024-11-27T15:00:02.647986,814.9,105,806.74,2281.72
288,2024-11-28,9181,RAWA,Rawa Energy Development Limited,818.0,818.0,785.1,785.5,15176,12175226.9,814.9,950.6,360.6,2024-11-28T14:59:58.041964,785.5,109,802.26,2199.4
281,2024-12-01,9181,RAWA,Rawa Energy Development Limited,801.0,809.0,785.2,797.0,11651,9280926.0,785.5,950.6,360.6,2024-12-01T14:58:04.384719,797.0,76,796.57,2231.6
278,2024-12-02,9181,RAWA,Rawa Energy Development Limited,812.9,817.0,790.1,798.6,8021,6409796.0,797.0,950.6,361.5,2024-12-02T14:59:57.898511,798.6,126,799.12,2236.08
274,2024-12-03,9181,RAWA,Rawa Energy Development Limited,814.5,820.0,791.1,809.8,10934,8786447.8,798.6,950.6,364.1,2024-12-03T14:59:55.326538,809.8,122,803.58,2267.44
286,2024-12-04,9181,RAWA,Rawa Energy Development Limited,811.0,890.0,785.0,843.5,56288,46401608.0,809.8,950.6,364.1,2024-12-04T14:59:59.217199,843.5,322,824.36,2361.8
274,2024-12-05,9181,RAWA,Rawa Energy Development Limited,827.0,896.0,811.0,854.0,26567,22412174.5,843.5,950.6,364.8,2024-12-05T14:59:59.101615,854.0,248,843.6,2391.2
285,2024-12-08,9181,RAWA,Rawa Energy Development Limited,857.0,869.0,807.0,820.0,18585,15319238.5,854.0,950.6,367.3,2024-12-08T14:59:59.20748,820.0,156,824.27,2296.0
280,2024-12-09,9181,RAWA,Rawa Energy Development Limited,804.0,869.0,804.0,805.2,19055,15503819.0,820.0,950.6,367.3,2024-12-09T14:59:59.951001,805.2,99,813.63,2254.56
269,2024-12-10,9181,RAWA,Rawa Energy Development Limited,821.0,821.0,791.0,793.0,8678,6916184.9,805.2,950.6,367.3,2024-12-10T14:59:58.596486,793.0,81,796.97,2220.4
272,2024-12-11,9181,RAWA,Rawa Energy Development Limited,808.8,808.8,778.0,795.0,4548,3588272.0,793.0,950.6,375.0,2024-12-11T14:59:59.187283,795.0,76,788.97,2226.0
284,2024-12-12,9181,RAWA,Rawa Energy Development Limited,810.0,816.9,751.7,808.0,15162,12193283.3,795.0,950.6,376.3,2024-12-12T14:59:59.108312,808.0,121,804.2,2262.4
284,2024-12-16,9181,RAWA,Rawa Energy Development Limited,822.0,822.0,780.6,789.9,8987,7089397.0,808.0,950.6,399.9,2024-12-16T14:59:35.109194,789.9,89,788.85,2211.72
238,2024-12-17,9181,RAWA,Rawa Energy Development Limited,805.6,805.6,750.0,794.0,13257,10418360.4,789.9,950.6,399.9,2024-12-17T14:58:22.431824,794.0,71,785.87,2223.2
295,2024-12-18,9181,RAWA,Rawa Energy Development Limited,809.8,809.8,762.4,785.0,14611,11385383.1,794.0,950.6,399.9,2024-12-18T14:59:59.48282,785.0,80,779.23,2198.0
278,2024-12-19,9181,RAWA,Rawa Energy Development Limited,800.7,800.7,755.0,760.0,6835,5225068.0,785.0,950.6,399.9,2024-12-19T14:59:59.716591,760.0,87,764.45,2128.0
284,2024-12-22,9181,RAWA,Rawa Energy Development Limited,775.2,775.2,717.0,765.0,10369,7857900.3,760.0,950.6,399.9,2024-12-22T14:59:58.152606,765.0,109,757.82,2142.0
284,2024-12-23,9181,RAWA,Rawa Energy Development Limited,749.7,799.0,734.8,797.0,12271,9469414.5,765.0,950.6,399.9,2024-12-23T14:59:57.501861,797.0,110,771.69,2231.6
213,2024-12-24,9181,RAWA,Rawa Energy Development Limited,796.0,815.0,795.0,805.9,15326,12348091.3,797.0,950.6,399.9,2024-12-24T14:59:51.712616,805.9,150,805.69,2256.52
251,2024-12-26,9181,RAWA,Rawa Energy Development Limited,790.0,865.0,790.0,805.0,4665,3761543.4,805.9,950.6,399.9,2024-12-26T14:59:52.820694,805.0,87,806.33,2254.0
236,2024-12-29,9181,RAWA,Rawa Energy Development Limited,790.0,805.7,766.5,783.9,4944,3848519.6,805.0,950.6,399.9,2024-12-29T14:59:59.915657,783.9,74,778.42,2194.92
