Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
232,2024-11-25,8108,RHGCL,Rapti Hydro And General Construction Limited,450.0,453.0,442.0,448.9,11815,5284410.5,447.9,492.6,191.7,2024-11-25T14:59:05.440034,448.9,150,447.26,2750.83
265,2024-11-26,8108,RHGCL,Rapti Hydro And General Construction Limited,455.0,474.0,451.1,472.0,28001,12979780.1,448.9,492.6,191.7,2024-11-26T14:59:57.851449,472.0,257,463.54,2892.39
244,2024-11-27,8108,RHGCL,Rapti Hydro And General Construction Limited,481.4,484.5,465.4,473.9,33976,16144025.5,472.0,492.6,191.7,2024-11-27T15:00:02.62783,473.9,274,475.15,2904.03
242,2024-11-28,8108,RHGCL,Rapti Hydro And General Construction Limited,470.0,482.0,463.4,466.8,17018,7942954.7,473.9,492.6,191.7,2024-11-28T14:59:58.171621,466.8,126,466.73,2860.52
234,2024-12-01,8108,RHGCL,Rapti Hydro And General Construction Limited,458.0,469.0,450.0,462.8,22685,10464105.0,466.8,492.6,191.7,2024-12-01T14:59:59.95499,462.8,183,461.27,2836.01
239,2024-12-02,8108,RHGCL,Rapti Hydro And General Construction Limited,465.0,492.0,462.8,485.0,107746,51918169.7,462.8,492.6,191.7,2024-12-02T14:59:59.201236,485.0,605,481.85,2972.05
235,2024-12-03,8108,RHGCL,Rapti Hydro And General Construction Limited,493.0,512.0,490.0,506.0,68043,34330706.7,485.0,512.0,191.7,2024-12-03T14:59:59.934888,506.0,531,504.54,3100.74
247,2024-12-04,8108,RHGCL,Rapti Hydro And General Construction Limited,510.0,520.2,502.0,502.0,55830,28671675.5,506.0,520.2,191.7,2024-12-04T14:59:55.239611,502.0,475,513.55,3076.22
235,2024-12-05,8108,RHGCL,Rapti Hydro And General Construction Limited,500.0,522.0,488.1,511.0,54007,27238415.6,502.0,522.0,194.2,2024-12-05T14:59:59.033258,511.0,392,504.34,3131.38
244,2024-12-08,8108,RHGCL,Rapti Hydro And General Construction Limited,501.2,508.0,496.0,500.0,38822,19530492.4,511.0,522.0,204.0,2024-12-08T14:59:57.6221,500.0,281,503.07,3063.97
240,2024-12-09,8108,RHGCL,Rapti Hydro And General Construction Limited,497.0,506.0,489.0,489.0,32714,16193476.9,500.0,522.0,205.1,2024-12-09T14:59:30.669141,489.0,218,495.0,2996.56
231,2024-12-10,8108,RHGCL,Rapti Hydro And General Construction Limited,490.0,495.0,485.1,489.0,20402,9955261.8,489.0,522.0,213.1,2024-12-10T14:59:55.784226,489.0,160,487.95,2996.56
233,2024-12-11,8108,RHGCL,Rapti Hydro And General Construction Limited,497.0,527.0,486.7,524.0,42888,21856799.0,489.0,527.0,220.0,2024-12-11T14:59:53.424041,524.0,441,509.62,3211.04
244,2024-12-12,8108,RHGCL,Rapti Hydro And General Construction Limited,531.0,534.4,515.0,519.9,51632,27040127.9,524.0,534.4,220.1,2024-12-12T14:59:59.601372,519.9,365,523.7,3185.91
241,2024-12-16,8108,RHGCL,Rapti Hydro And General Construction Limited,511.1,512.0,492.1,499.0,29778,14887230.0,519.9,534.4,242.1,2024-12-16T14:59:51.231725,499.0,226,499.94,3057.84
193,2024-12-17,8108,RHGCL,Rapti Hydro And General Construction Limited,493.0,502.9,490.0,500.0,12525,6200486.0,499.0,534.4,242.1,2024-12-17T14:57:45.367695,500.0,166,495.04,3063.97
270,2024-12-18,8108,RHGCL,Rapti Hydro And General Construction Limited,491.3,507.0,491.3,500.0,19212,9599431.1,500.0,534.4,242.9,2024-12-18T14:59:58.42567,500.0,186,499.65,3063.97
236,2024-12-19,8108,RHGCL,Rapti Hydro And General Construction Limited,493.1,499.5,473.4,477.0,33341,16185420.8,500.0,534.4,242.9,2024-12-19T14:59:58.620514,477.0,222,485.45,2923.03
240,2024-12-22,8108,RHGCL,Rapti Hydro And General Construction Limited,475.0,492.0,471.2,487.0,44427,21427919.9,477.0,534.4,242.9,2024-12-22T14:59:59.015994,487.0,277,482.31,2984.31
235,2024-12-23,8108,RHGCL,Rapti Hydro And General Construction Limited,478.1,504.9,478.1,504.8,20665,10287489.7,487.0,534.4,245.0,2024-12-23T14:59:58.510356,504.8,219,497.82,3093.38
199,2024-12-24,8108,RHGCL,Rapti Hydro And General Construction Limited,495.0,549.9,495.0,532.0,106943,56508239.7,504.8,549.9,245.0,2024-12-24T14:59:57.956246,532.0,790,528.39,3260.06
258,2024-12-26,8108,RHGCL,Rapti Hydro And General Construction Limited,522.0,559.9,522.0,546.9,86371,47086116.9,532.0,559.9,245.0,2024-12-26T14:59:57.914086,546.9,630,545.16,3351.37
211,2024-12-29,8108,RHGCL,Rapti Hydro And General Construction Limited,557.0,557.0,520.0,521.1,70007,37158815.0,546.9,559.9,245.0,2024-12-29T14:59:58.936746,521.1,541,530.78,3193.27
