Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
79,2024-11-25,610,RIDI,Ridi Power Company Limited,237.0,239.0,230.0,236.0,76072,17875043.3,234.0,320.0,154.5,2024-11-25T14:59:56.282064,236.0,240,234.97,5483.11
70,2024-11-26,610,RIDI,Ridi Power Company Limited,239.0,246.0,237.0,246.0,91782,22274527.7,236.0,320.0,154.5,2024-11-26T14:59:58.625492,246.0,314,242.68,5715.45
95,2024-11-27,610,RIDI,Ridi Power Company Limited,246.0,250.0,246.0,248.0,94513,23452877.0,246.0,320.0,154.5,2024-11-27T14:59:42.109154,248.0,342,248.14,5761.91
96,2024-11-28,610,RIDI,Ridi Power Company Limited,248.1,248.1,240.0,240.1,71770,17408495.6,248.0,320.0,154.5,2024-11-28T14:59:58.795685,240.1,295,242.55,5578.37
105,2024-12-01,610,RIDI,Ridi Power Company Limited,240.0,243.0,234.0,240.0,96716,23040814.4,240.1,320.0,154.5,2024-12-01T14:59:55.165246,240.0,306,238.23,5576.04
94,2024-12-02,610,RIDI,Ridi Power Company Limited,243.0,249.0,240.0,246.0,147385,36231593.1,240.0,320.0,154.5,2024-12-02T14:59:49.642198,246.0,397,245.82,5715.45
95,2024-12-03,610,RIDI,Ridi Power Company Limited,250.0,253.0,245.0,246.0,139872,34642552.4,246.0,320.0,154.5,2024-12-03T14:59:33.03951,246.0,383,247.67,5715.45
96,2024-12-04,610,RIDI,Ridi Power Company Limited,250.9,252.0,245.0,245.5,144473,35882717.0,246.0,320.0,154.5,2024-12-04T14:59:48.736736,245.5,482,248.36,5703.83
93,2024-12-05,610,RIDI,Ridi Power Company Limited,245.0,247.5,240.0,242.0,114892,27840865.9,245.5,320.0,154.5,2024-12-05T14:59:50.385564,242.0,385,242.32,5622.51
95,2024-12-08,610,RIDI,Ridi Power Company Limited,239.2,243.2,235.2,238.0,92242,21950469.0,242.0,320.0,154.5,2024-12-08T14:59:58.668007,238.0,309,237.96,5529.58
94,2024-12-09,610,RIDI,Ridi Power Company Limited,239.0,241.0,234.6,236.0,70087,16568316.4,238.0,320.0,154.5,2024-12-09T14:59:53.716626,236.0,238,236.39,5483.11
93,2024-12-10,610,RIDI,Ridi Power Company Limited,234.2,243.5,234.2,235.0,60635,14328658.8,236.0,320.0,154.5,2024-12-10T14:59:46.060504,235.0,233,236.31,5459.88
93,2024-12-11,610,RIDI,Ridi Power Company Limited,238.5,242.0,233.9,240.9,78002,18599229.3,235.0,320.0,154.5,2024-12-11T14:59:55.12366,240.9,225,238.44,5596.95
114,2024-12-12,610,RIDI,Ridi Power Company Limited,245.0,245.0,234.5,234.7,52814,12512972.3,240.9,320.0,154.5,2024-12-12T14:59:50.732866,234.7,190,236.92,5452.91
98,2024-12-16,610,RIDI,Ridi Power Company Limited,232.9,233.0,226.0,227.2,136659,31279480.8,234.7,320.0,154.5,2024-12-16T14:59:58.806921,227.2,422,228.88,5278.66
69,2024-12-17,610,RIDI,Ridi Power Company Limited,229.7,229.7,225.6,227.9,44034,10023191.0,227.2,320.0,154.5,2024-12-17T14:59:19.681398,227.9,209,227.62,5294.92
52,2024-12-18,610,RIDI,Ridi Power Company Limited,230.0,230.0,225.0,225.3,38904,8811983.2,227.9,320.0,154.5,2024-12-18T14:59:05.743995,225.3,150,226.5,5234.51
96,2024-12-19,610,RIDI,Ridi Power Company Limited,225.3,226.0,220.0,220.0,71851,15944962.2,225.3,320.0,154.5,2024-12-19T14:59:58.376406,220.0,289,221.91,5111.37
94,2024-12-22,610,RIDI,Ridi Power Company Limited,222.5,227.0,215.7,218.0,58811,12888050.4,220.0,320.0,154.5,2024-12-22T14:59:59.38671,218.0,240,219.14,5064.91
106,2024-12-23,610,RIDI,Ridi Power Company Limited,216.3,227.0,216.3,226.0,58160,12995951.2,218.0,320.0,154.5,2024-12-23T14:59:44.578601,226.0,222,223.45,5250.78
101,2024-12-24,610,RIDI,Ridi Power Company Limited,225.1,230.0,220.5,223.2,64758,14561186.6,226.0,320.0,154.5,2024-12-24T14:59:17.757647,223.2,262,224.85,5185.72
105,2024-12-26,610,RIDI,Ridi Power Company Limited,225.0,225.4,220.5,221.0,40666,9038348.2,223.2,320.0,154.5,2024-12-26T14:59:54.936906,221.0,201,222.25,5134.61
78,2024-12-29,610,RIDI,Ridi Power Company Limited,220.0,224.5,219.0,219.8,36801,8135278.9,221.0,320.0,154.5,2024-12-29T14:59:57.124791,219.8,194,221.06,5106.73
