Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
272,2024-10-15,9178,RMF2,RBB Mutual Fund 2,8.7,8.75,8.7,8.75,900,7835.0,8.8,10.73,7.23,2024-10-15T14:05:42.192607,8.75,2,8.7,740.35
283,2024-10-16,9178,RMF2,RBB Mutual Fund 2,8.92,9.27,8.92,9.27,9250,84841.0,8.75,10.73,7.23,2024-10-16T14:50:32.858082,9.27,5,9.17,784.35
278,2024-10-17,9178,RMF2,RBB Mutual Fund 2,9.27,9.63,9.27,9.63,2100,19937.0,9.27,10.73,7.23,2024-10-17T14:49:27.116292,9.63,6,9.49,814.81
278,2024-10-20,9178,RMF2,RBB Mutual Fund 2,9.5,9.63,9.45,9.51,6450,61470.5,9.63,10.73,7.23,2024-10-20T13:46:35.301934,9.51,7,9.53,804.66
282,2024-10-21,9178,RMF2,RBB Mutual Fund 2,9.51,9.7,9.51,9.51,3600,34280.0,9.51,10.73,7.23,2024-10-21T14:11:11.803519,9.51,10,9.52,804.66
277,2024-10-22,9178,RMF2,RBB Mutual Fund 2,9.32,9.34,9.14,9.34,1600,14710.0,9.51,10.73,7.23,2024-10-22T14:43:50.597588,9.34,7,9.19,790.28
289,2024-10-23,9178,RMF2,RBB Mutual Fund 2,9.21,9.21,9.21,9.21,100,921.0,9.34,10.73,7.23,2024-10-23T12:35:57.333478,9.21,1,9.21,779.28
279,2024-10-24,9178,RMF2,RBB Mutual Fund 2,9.39,9.39,9.39,9.39,100,939.0,9.21,10.73,7.23,2024-10-24T14:37:51.884018,9.39,1,9.39,794.51
279,2024-10-27,9178,RMF2,RBB Mutual Fund 2,9.3,9.3,9.23,9.25,300,2778.0,9.39,10.73,7.23,2024-10-27T14:23:49.481999,9.25,3,9.26,782.66
271,2024-10-28,9178,RMF2,RBB Mutual Fund 2,9.1,9.25,9.1,9.25,2100,19297.0,9.25,10.73,7.23,2024-10-28T14:58:14.439837,9.25,6,9.18,782.66
283,2024-10-29,9178,RMF2,RBB Mutual Fund 2,9.43,9.8,9.42,9.8,10200,99249.0,9.25,10.73,7.23,2024-10-29T14:59:20.722454,9.8,4,9.73,829.2
269,2024-10-30,9178,RMF2,RBB Mutual Fund 2,9.61,9.61,9.61,9.61,100,961.0,9.8,10.73,7.23,2024-10-30T12:47:37.453008,9.61,1,9.61,813.12
266,2024-11-05,9178,RMF2,RBB Mutual Fund 2,9.5,9.61,9.5,9.61,300,2861.0,9.61,10.73,7.23,2024-11-05T14:16:48.101495,9.61,2,9.53,813.12
282,2024-11-06,9178,RMF2,RBB Mutual Fund 2,9.7,9.7,9.57,9.57,9400,90095.0,9.61,10.73,7.23,2024-11-06T14:56:36.411607,9.57,4,9.58,809.74
288,2024-11-10,9178,RMF2,RBB Mutual Fund 2,9.38,9.76,9.38,9.6,2850,27369.5,9.57,10.73,7.23,2024-11-10T14:16:41.897318,9.6,6,9.6,812.27
265,2024-11-11,9178,RMF2,RBB Mutual Fund 2,9.5,9.98,9.5,9.8,70450,689880.5,9.6,10.73,7.23,2024-11-11T14:47:16.880532,9.8,9,9.79,829.2
278,2024-11-12,9178,RMF2,RBB Mutual Fund 2,9.99,10.0,9.67,9.67,1300,12924.0,9.8,10.73,7.23,2024-11-12T12:19:44.589269,9.67,4,9.94,818.2
286,2024-11-14,9178,RMF2,RBB Mutual Fund 2,9.67,9.86,9.67,9.86,200,1953.0,9.67,10.73,7.23,2024-11-14T14:12:17.930655,9.86,2,9.76,834.27
289,2024-11-17,9178,RMF2,RBB Mutual Fund 2,9.67,9.8,9.61,9.61,1600,15473.0,9.86,10.73,7.23,2024-11-17T14:53:19.937467,9.61,7,9.67,813.12
