Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
114,2024-11-25,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,752.0,760.0,742.5,760.0,5198,3914132.0,752.0,890.0,482.3,2024-11-25T14:59:39.190607,760.0,43,753.0,7177.07
83,2024-11-26,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,760.0,764.0,740.0,755.0,15055,11222496.9,760.0,890.0,482.3,2024-11-26T14:59:41.928847,755.0,103,745.43,7129.85
114,2024-11-27,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,765.0,770.0,750.0,759.0,11121,8407159.1,755.0,890.0,482.3,2024-11-27T14:59:58.489824,759.0,107,755.97,7167.62
102,2024-11-28,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,748.0,762.9,748.0,751.3,8626,6513210.7,759.0,890.0,482.3,2024-11-28T14:59:52.745733,751.3,89,755.06,7094.91
151,2024-12-01,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,750.0,760.0,740.1,751.0,9412,7020808.6,751.3,890.0,482.3,2024-12-01T14:59:37.150012,751.0,79,745.94,7092.08
113,2024-12-02,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,762.2,762.2,747.2,753.0,11456,8617082.1,751.0,890.0,482.3,2024-12-02T14:59:37.781261,753.0,79,752.18,7110.96
114,2024-12-03,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,764.0,764.0,739.0,739.0,9205,6839101.3,753.0,890.0,482.3,2024-12-03T14:59:55.090144,739.0,99,742.97,6978.75
114,2024-12-04,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,741.0,745.0,730.0,730.0,18531,13698149.7,739.0,890.0,482.3,2024-12-04T14:59:48.289987,730.0,128,739.2,6893.76
111,2024-12-05,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,730.0,741.0,725.0,735.0,10136,7381476.8,730.0,890.0,490.1,2024-12-05T14:59:53.99526,735.0,77,728.24,6940.98
116,2024-12-08,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,730.1,744.0,719.1,723.0,14671,10648253.5,735.0,890.0,503.0,2024-12-08T14:59:58.426145,723.0,111,725.8,6827.66
112,2024-12-09,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,733.9,733.9,720.0,723.3,5204,3768211.4,723.0,890.0,503.0,2024-12-09T14:59:57.991536,723.3,52,724.09,6830.49
111,2024-12-10,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,725.0,730.0,715.0,730.0,5986,4327308.2,723.3,890.0,503.0,2024-12-10T14:59:35.092058,730.0,75,722.9,6893.76
111,2024-12-11,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,741.0,741.0,718.0,730.0,6472,4713537.8,730.0,890.0,503.0,2024-12-11T14:59:20.696104,730.0,72,728.29,6893.76
104,2024-12-12,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,736.9,744.0,726.2,733.5,7704,5659074.7,730.0,890.0,503.0,2024-12-12T14:59:33.717976,733.5,63,734.56,6926.82
110,2024-12-16,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,723.1,726.0,713.1,721.0,6890,4952899.2,733.5,890.0,503.0,2024-12-16T14:59:13.230172,721.0,66,718.85,6808.77
81,2024-12-17,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,709.0,732.0,706.6,712.0,7011,5004845.8,721.0,890.0,503.0,2024-12-17T14:59:26.180729,712.0,66,713.85,6723.78
62,2024-12-18,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,713.0,725.9,710.1,718.0,9212,6608698.6,712.0,890.0,503.0,2024-12-18T14:59:58.290308,718.0,77,717.4,6780.44
114,2024-12-19,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,718.0,720.0,703.0,703.2,8598,6108202.0,718.0,890.0,503.0,2024-12-19T14:59:57.716301,703.2,80,710.42,6640.68
115,2024-12-22,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,711.0,725.2,707.6,712.5,6374,4547260.6,703.2,890.0,503.0,2024-12-22T14:59:44.983545,712.5,74,713.4,6728.5
84,2024-12-23,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,709.0,724.0,709.0,720.0,8341,5994539.9,712.5,890.0,503.0,2024-12-23T14:59:36.969048,720.0,86,718.68,6799.33
141,2024-12-24,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,727.0,738.8,727.0,737.0,18073,13271247.7,720.0,890.0,503.0,2024-12-24T14:59:21.160293,737.0,175,734.31,6959.87
141,2024-12-26,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,675.0,685.0,671.5,674.0,6133,4161713.4,673.06,890.0,503.0,2024-12-26T14:59:37.499633,674.0,114,678.57,6969.59
117,2024-12-29,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,674.0,685.0,662.5,675.0,11478,7749315.4,674.0,890.0,503.0,2024-12-29T14:59:38.01739,675.0,87,675.14,6979.94
