Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
78,2024-10-15,472,SADBL,Shangrila Development Bank Ltd.,431.2,431.2,421.0,426.9,20481,8735395.6,422.8,497.0,266.0,2024-10-15T14:58:41.396238,426.9,91,426.51,14646.82
79,2024-10-16,472,SADBL,Shangrila Development Bank Ltd.,428.1,442.0,428.1,436.0,40391,17643292.8,426.9,497.0,266.0,2024-10-16T14:59:54.403785,436.0,168,436.81,14959.04
79,2024-10-17,472,SADBL,Shangrila Development Bank Ltd.,438.9,442.0,432.0,436.0,38703,16965356.3,436.0,497.0,266.0,2024-10-17T14:59:45.906949,436.0,161,438.34,14959.04
80,2024-10-20,472,SADBL,Shangrila Development Bank Ltd.,431.0,436.0,425.0,425.3,42209,18097836.3,436.0,497.0,266.0,2024-10-20T14:59:42.851906,425.3,184,428.76,14591.92
81,2024-10-21,472,SADBL,Shangrila Development Bank Ltd.,419.5,428.0,414.0,415.0,42681,17875535.1,425.3,497.0,266.0,2024-10-21T14:59:30.701488,415.0,156,418.81,14238.53
79,2024-10-22,472,SADBL,Shangrila Development Bank Ltd.,421.9,421.9,413.0,420.0,22389,9339201.3,415.0,497.0,266.0,2024-10-22T14:59:19.364487,420.0,100,417.13,14410.08
80,2024-10-23,472,SADBL,Shangrila Development Bank Ltd.,418.0,423.2,416.0,417.0,35463,14849556.8,420.0,497.0,266.0,2024-10-23T14:59:59.064427,417.0,116,418.73,14307.15
79,2024-10-24,472,SADBL,Shangrila Development Bank Ltd.,417.0,418.0,406.0,409.0,29244,11986839.4,417.0,497.0,266.0,2024-10-24T14:59:46.080123,409.0,160,409.89,14032.67
80,2024-10-27,472,SADBL,Shangrila Development Bank Ltd.,409.0,417.1,405.0,412.0,15814,6508432.4,409.0,497.0,266.0,2024-10-27T14:58:38.809068,412.0,123,411.56,14135.6
78,2024-10-28,472,SADBL,Shangrila Development Bank Ltd.,409.0,422.0,409.0,420.0,32082,13400023.3,412.0,497.0,266.0,2024-10-28T14:59:39.785873,420.0,143,417.68,14410.08
78,2024-10-29,472,SADBL,Shangrila Development Bank Ltd.,420.1,430.0,420.0,429.0,23177,9914079.9,420.0,497.0,266.0,2024-10-29T14:59:48.630807,429.0,136,427.75,14718.87
79,2024-10-30,472,SADBL,Shangrila Development Bank Ltd.,432.9,432.9,422.2,427.0,16656,7094116.5,429.0,497.0,266.0,2024-10-30T14:59:59.496711,427.0,87,425.91,14650.25
77,2024-11-05,472,SADBL,Shangrila Development Bank Ltd.,426.9,427.0,418.6,422.9,8064,3398876.4,427.0,497.0,266.0,2024-11-05T14:59:45.736488,422.9,53,421.48,14509.58
79,2024-11-06,472,SADBL,Shangrila Development Bank Ltd.,420.0,430.0,418.1,423.0,20005,8463346.3,422.9,497.0,266.0,2024-11-06T14:59:37.756135,423.0,79,423.06,14513.01
80,2024-11-10,472,SADBL,Shangrila Development Bank Ltd.,420.6,442.0,420.5,440.0,45966,20006386.2,423.0,497.0,266.0,2024-11-10T14:59:53.591434,440.0,208,435.24,15096.27
79,2024-11-11,472,SADBL,Shangrila Development Bank Ltd.,444.0,446.0,433.0,440.0,75513,33306395.8,440.0,497.0,266.0,2024-11-11T14:59:57.868955,440.0,232,441.06,15096.27
79,2024-11-12,472,SADBL,Shangrila Development Bank Ltd.,440.0,447.0,435.0,442.0,58511,25776976.0,440.0,497.0,266.0,2024-11-12T14:59:58.310526,442.0,154,440.54,15164.89
80,2024-11-13,472,SADBL,Shangrila Development Bank Ltd.,435.3,448.0,435.0,446.8,86214,38054677.2,442.0,497.0,266.0,2024-11-13T14:59:56.118224,446.8,275,441.39,15329.58
79,2024-11-14,472,SADBL,Shangrila Development Bank Ltd.,450.0,462.0,447.0,454.8,145371,66517218.6,446.8,497.0,266.0,2024-11-14T14:59:59.188646,454.8,626,457.56,15604.06
78,2024-11-17,472,SADBL,Shangrila Development Bank Ltd.,463.8,470.0,456.0,456.0,188940,87496852.5,454.8,497.0,266.0,2024-11-17T14:59:39.057062,456.0,448,463.09,15645.23
80,2024-11-19,472,SADBL,Shangrila Development Bank Ltd.,461.0,467.0,443.0,444.0,111237,50666978.8,456.0,497.0,266.0,2024-11-19T14:59:13.459948,444.0,375,455.48,15233.51
79,2024-11-20,472,SADBL,Shangrila Development Bank Ltd.,445.0,468.0,443.0,460.0,141881,64889981.5,444.0,497.0,266.0,2024-11-20T14:59:45.873646,460.0,498,457.35,15782.47
80,2024-11-21,472,SADBL,Shangrila Development Bank Ltd.,467.0,477.0,458.1,461.0,289692,134949495.8,460.0,497.0,266.0,2024-11-21T14:59:50.459358,461.0,719,465.83,15816.78
80,2024-11-24,472,SADBL,Shangrila Development Bank Ltd.,468.0,468.1,450.0,450.0,99604,45850019.5,461.0,497.0,266.0,2024-11-24T14:59:53.527245,450.0,271,460.32,15439.37
70,2024-11-25,472,SADBL,Shangrila Development Bank Ltd.,456.0,459.0,448.8,448.9,81281,36839127.5,450.0,497.0,266.0,2024-11-25T14:59:58.829449,448.9,237,453.23,15401.63
98,2024-11-26,472,SADBL,Shangrila Development Bank Ltd.,457.8,457.9,448.0,453.0,78209,35312905.0,448.9,497.0,266.0,2024-11-26T14:59:47.888328,453.0,216,451.51,15542.3
79,2024-11-27,472,SADBL,Shangrila Development Bank Ltd.,455.0,464.0,452.0,461.0,162868,74796300.6,453.0,497.0,266.0,2024-11-27T14:59:52.970875,461.0,387,459.24,15816.78
72,2024-11-28,472,SADBL,Shangrila Development Bank Ltd.,467.0,485.0,460.7,469.0,404868,192342442.8,461.0,497.0,266.0,2024-11-28T14:59:55.558139,469.0,1258,475.07,16091.26
