Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
249,2024-10-15,9139,SAGF,Sanima Growth Fund,9.39,9.58,9.39,9.58,1300,12398.0,9.58,10.93,7.61,2024-10-15T14:56:10.574638,9.58,4,9.53,644.29
259,2024-10-16,9139,SAGF,Sanima Growth Fund,9.55,9.77,9.55,9.62,27800,266712.0,9.58,10.93,7.61,2024-10-16T14:55:17.812524,9.62,11,9.59,646.98
256,2024-10-17,9139,SAGF,Sanima Growth Fund,9.43,9.65,9.43,9.59,10900,105117.0,9.62,10.93,7.61,2024-10-17T14:52:06.929607,9.59,5,9.64,644.96
257,2024-10-20,9139,SAGF,Sanima Growth Fund,9.44,9.62,9.44,9.6,6990,67090.0,9.59,10.93,7.61,2024-10-20T13:47:40.011987,9.6,6,9.59,645.63
260,2024-10-21,9139,SAGF,Sanima Growth Fund,9.42,9.42,9.24,9.3,2908,27049.0,9.6,10.93,7.61,2024-10-21T14:33:33.057601,9.3,10,9.3,625.46
255,2024-10-22,9139,SAGF,Sanima Growth Fund,9.3,9.31,9.3,9.3,1300,12092.0,9.3,10.93,7.61,2024-10-22T12:39:24.981137,9.3,4,9.3,625.46
266,2024-10-23,9139,SAGF,Sanima Growth Fund,9.3,9.31,9.3,9.31,2010,18694.0,9.3,10.93,7.61,2024-10-23T14:37:43.135264,9.31,4,9.3,626.13
257,2024-10-24,9139,SAGF,Sanima Growth Fund,9.3,9.3,9.13,9.21,1400,12852.0,9.31,10.93,7.61,2024-10-24T14:54:22.424299,9.21,7,9.18,619.4
258,2024-10-27,9139,SAGF,Sanima Growth Fund,9.1,9.18,9.1,9.18,1400,12834.0,9.21,10.93,7.61,2024-10-27T13:56:37.854325,9.18,8,9.16,617.38
249,2024-10-28,9139,SAGF,Sanima Growth Fund,9.35,9.54,9.35,9.35,650,6126.0,9.18,10.93,7.61,2024-10-28T14:52:36.14216,9.35,5,9.42,628.82
260,2024-10-29,9139,SAGF,Sanima Growth Fund,9.53,9.53,9.25,9.27,3800,35732.0,9.35,10.93,7.61,2024-10-29T13:51:47.094448,9.27,6,9.4,623.44
248,2024-10-30,9139,SAGF,Sanima Growth Fund,9.45,9.45,9.26,9.26,3900,36199.0,9.27,10.93,7.61,2024-10-30T14:36:56.689183,9.26,6,9.28,622.77
244,2024-11-05,9139,SAGF,Sanima Growth Fund,9.26,9.65,9.13,9.65,9800,91624.0,9.26,10.93,7.61,2024-11-05T14:32:58.064181,9.65,6,9.34,648.99
260,2024-11-06,9139,SAGF,Sanima Growth Fund,9.46,10.2,9.46,10.2,866013,8796756.0,9.65,10.93,7.61,2024-11-06T14:42:52.393746,10.2,28,10.15,685.98
264,2024-11-10,9139,SAGF,Sanima Growth Fund,10.0,10.19,9.45,9.51,13300,127978.0,10.2,10.93,7.61,2024-11-10T14:47:44.446216,9.51,15,9.62,639.58
