Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
195,2024-10-15,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3019.0,3081.9,3001.5,3050.0,434,1314283.0,3050.0,3544.5,86.2,2024-10-15T14:53:55.130667,3050.0,20,3028.3,696.92
202,2024-10-16,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,2999.9,3099.8,2999.9,3087.0,587,1788532.0,3050.0,3544.5,86.2,2024-10-16T14:59:51.601369,3087.0,38,3046.9,705.38
201,2024-10-17,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3130.0,3275.0,3067.4,3245.0,2411,7567452.0,3087.0,3544.5,86.2,2024-10-17T14:59:58.659052,3245.0,78,3138.71,741.48
198,2024-10-20,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3180.1,3413.4,3124.0,3260.0,1354,4436849.9,3245.0,3544.5,86.2,2024-10-20T14:59:23.835609,3260.0,61,3276.84,744.91
201,2024-10-21,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3260.0,3430.0,3260.0,3320.0,1318,4398952.0,3260.0,3544.5,86.2,2024-10-21T14:59:40.13866,3320.0,56,3337.59,758.62
199,2024-10-22,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3350.0,3370.0,3215.1,3320.0,717,2356296.0,3320.0,3544.5,86.2,2024-10-22T14:59:50.634102,3320.0,30,3286.32,758.62
207,2024-10-23,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3380.0,3400.0,3313.0,3321.1,1336,4456905.0,3320.0,3544.5,86.2,2024-10-23T14:59:49.597524,3321.1,46,3336.0,758.87
202,2024-10-24,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3290.0,3290.0,3212.0,3221.0,1080,3512181.0,3321.1,3544.5,86.2,2024-10-24T14:59:59.752416,3221.0,27,3252.01,736.0
201,2024-10-27,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3249.9,3314.0,3185.0,3259.0,2310,7444092.2,3221.0,3544.5,86.2,2024-10-27T14:59:58.852135,3259.0,46,3222.55,744.68
196,2024-10-28,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,3206.0,3324.0,3206.0,3324.0,1061,3462475.0,3259.0,3544.5,87.9,2024-10-28T14:59:47.367045,3324.0,26,3263.4,759.53
