Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
38,2024-11-25,171,SANIMA,Sanima Bank Limited,308.0,316.0,308.0,315.4,120089,37730688.7,313.9,382.0,228.0,2024-11-25T14:57:41.982688,315.4,217,314.18,42836.13
44,2024-11-26,171,SANIMA,Sanima Bank Limited,315.4,318.9,314.2,318.0,99030,31274737.8,315.4,382.0,228.0,2024-11-26T14:59:50.911818,318.0,237,315.81,43189.25
23,2024-11-27,171,SANIMA,Sanima Bank Limited,321.9,321.9,318.0,320.0,100603,32196128.1,318.0,382.0,228.0,2024-11-27T15:00:02.6211,320.0,272,320.03,43460.88
36,2024-11-28,171,SANIMA,Sanima Bank Limited,320.0,324.0,318.1,323.0,101408,32600040.2,320.0,382.0,228.0,2024-11-28T14:59:43.685514,323.0,297,321.47,43868.33
13,2024-12-01,171,SANIMA,Sanima Bank Limited,329.4,329.4,316.7,319.2,164678,52503613.3,323.0,382.0,228.0,2024-12-01T14:59:35.574513,319.2,247,318.82,43352.23
23,2024-12-02,171,SANIMA,Sanima Bank Limited,325.5,325.5,318.1,318.6,116626,37203587.9,319.2,382.0,228.0,2024-12-02T14:59:50.323997,318.6,242,318.99,43270.74
23,2024-12-03,171,SANIMA,Sanima Bank Limited,324.9,324.9,314.6,317.0,85541,27158547.0,318.6,382.0,228.0,2024-12-03T14:59:25.17129,317.0,204,317.49,43053.44
23,2024-12-04,171,SANIMA,Sanima Bank Limited,323.3,323.3,314.3,316.5,68254,21676813.5,317.0,382.0,228.0,2024-12-04T14:59:33.748617,316.5,171,317.59,42985.53
23,2024-12-05,171,SANIMA,Sanima Bank Limited,310.2,317.0,310.2,313.8,99424,31365803.0,316.5,382.0,228.0,2024-12-05T14:59:54.302606,313.8,235,315.47,42618.83
23,2024-12-08,171,SANIMA,Sanima Bank Limited,313.8,314.0,308.2,310.0,68129,21156903.6,313.8,382.0,228.0,2024-12-08T14:59:45.956583,310.0,291,310.54,42102.73
23,2024-12-09,171,SANIMA,Sanima Bank Limited,310.0,313.0,304.0,307.0,65636,20129670.3,310.0,382.0,228.0,2024-12-09T14:59:35.563934,307.0,274,306.68,41695.28
23,2024-12-10,171,SANIMA,Sanima Bank Limited,310.0,310.0,306.9,307.5,55930,17245873.7,307.0,382.0,228.0,2024-12-10T14:59:44.366256,307.5,166,308.34,41763.19
23,2024-12-11,171,SANIMA,Sanima Bank Limited,313.6,316.0,305.0,316.0,50740,15765133.7,307.5,382.0,228.0,2024-12-11T14:59:58.460761,316.0,211,310.7,42917.62
14,2024-12-12,171,SANIMA,Sanima Bank Limited,322.3,322.3,309.3,310.9,32942,10307418.9,316.0,382.0,228.0,2024-12-12T14:59:55.013825,310.9,178,312.89,42224.96
15,2024-12-16,171,SANIMA,Sanima Bank Limited,315.0,315.0,304.0,308.6,59124,18143350.0,310.9,382.0,228.0,2024-12-16T14:59:59.128766,308.6,240,306.86,41912.59
47,2024-12-17,171,SANIMA,Sanima Bank Limited,305.0,310.0,303.6,304.1,45154,13802203.7,308.6,382.0,228.0,2024-12-17T14:59:35.050849,304.1,213,305.66,41301.42
99,2024-12-18,171,SANIMA,Sanima Bank Limited,304.5,310.0,301.0,306.0,57468,17469023.4,304.1,382.0,228.0,2024-12-18T14:59:57.664816,306.0,197,303.97,41559.47
23,2024-12-19,171,SANIMA,Sanima Bank Limited,306.0,309.0,300.0,300.1,108839,32823415.0,306.0,382.0,228.0,2024-12-19T14:59:49.023348,300.1,210,301.57,40758.16
23,2024-12-22,171,SANIMA,Sanima Bank Limited,294.1,303.9,294.1,299.0,43436,12953470.0,300.1,382.0,228.0,2024-12-22T14:59:56.787204,299.0,211,298.21,40608.76
38,2024-12-23,171,SANIMA,Sanima Bank Limited,299.0,302.9,293.5,302.9,71110,21073105.8,299.0,382.0,228.0,2024-12-23T14:59:43.528111,302.9,258,296.34,41138.44
12,2024-12-24,171,SANIMA,Sanima Bank Limited,305.0,306.0,297.0,301.0,36105,10943733.1,302.9,382.0,228.0,2024-12-24T14:59:50.634972,301.0,184,303.1,40880.39
12,2024-12-26,171,SANIMA,Sanima Bank Limited,300.0,315.0,296.6,307.0,70976,21762116.3,301.0,382.0,228.0,2024-12-26T14:59:55.81025,307.0,271,306.61,41695.28
9,2024-12-29,171,SANIMA,Sanima Bank Limited,309.0,309.0,302.0,302.1,49463,15071068.3,307.0,382.0,228.0,2024-12-29T14:59:58.583233,302.1,179,304.69,41029.79
