Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
308,2024-11-25,9242,SARBTM,Sarbottam Cement Limited,760.0,760.0,745.0,757.0,32603,24584720.8,752.0,1083.0,556.0,2024-11-25T14:59:58.238806,757.0,215,754.06,35200.5
290,2024-11-26,9242,SARBTM,Sarbottam Cement Limited,772.1,772.1,755.0,765.9,33065,25139217.1,757.0,1083.0,556.0,2024-11-26T14:59:57.844724,765.9,250,760.29,35614.35
315,2024-11-27,9242,SARBTM,Sarbottam Cement Limited,759.3,778.9,759.3,773.0,28434,21902165.7,765.9,1083.0,556.0,2024-11-27T15:00:02.638879,773.0,247,770.28,35944.5
305,2024-11-28,9242,SARBTM,Sarbottam Cement Limited,775.0,775.0,760.0,762.0,42600,32671979.3,773.0,1083.0,556.0,2024-11-28T14:59:53.906621,762.0,266,766.94,35433.0
299,2024-12-01,9242,SARBTM,Sarbottam Cement Limited,752.8,775.0,752.8,775.0,62184,47150303.9,762.0,1083.0,556.0,2024-12-01T14:59:59.689887,775.0,319,758.23,36037.5
312,2024-12-02,9242,SARBTM,Sarbottam Cement Limited,790.5,790.5,754.0,774.0,74683,57112460.2,775.0,1083.0,556.0,2024-12-02T14:59:57.139405,774.0,414,764.73,35991.0
306,2024-12-03,9242,SARBTM,Sarbottam Cement Limited,773.9,774.0,761.1,765.1,24172,18490403.6,774.0,1083.0,556.0,2024-12-03T14:59:55.089347,765.1,181,764.95,35577.15
319,2024-12-04,9242,SARBTM,Sarbottam Cement Limited,780.4,780.4,760.0,773.0,38114,29219677.9,765.1,1083.0,556.0,2024-12-04T14:59:58.879881,773.0,245,766.63,35944.5
306,2024-12-05,9242,SARBTM,Sarbottam Cement Limited,788.0,788.0,750.9,750.9,39248,29916386.4,773.0,1083.0,556.0,2024-12-05T14:59:58.245497,750.9,238,762.23,34916.85
320,2024-12-08,9242,SARBTM,Sarbottam Cement Limited,765.9,765.9,745.0,754.8,34111,25650489.9,750.9,1083.0,556.0,2024-12-08T14:59:57.747768,754.8,274,751.97,35098.2
315,2024-12-09,9242,SARBTM,Sarbottam Cement Limited,769.0,769.0,749.0,749.0,35525,26751877.3,754.8,1083.0,556.0,2024-12-09T14:59:57.384276,749.0,212,753.04,34828.5
301,2024-12-10,9242,SARBTM,Sarbottam Cement Limited,750.2,754.0,743.0,753.0,31610,23648206.1,749.0,1083.0,556.0,2024-12-10T14:59:58.892562,753.0,237,748.12,35014.5
306,2024-12-11,9242,SARBTM,Sarbottam Cement Limited,750.0,758.9,747.0,758.9,31999,24074270.9,753.0,1083.0,556.0,2024-12-11T14:59:49.482173,758.9,170,752.34,35288.85
302,2024-12-12,9242,SARBTM,Sarbottam Cement Limited,774.0,799.9,750.0,780.0,277635,215222974.8,758.9,1083.0,556.0,2024-12-12T14:59:59.999434,780.0,1172,775.2,36270.0
303,2024-12-16,9242,SARBTM,Sarbottam Cement Limited,785.0,790.0,760.0,760.0,33788,26038994.2,780.0,1083.0,556.0,2024-12-16T14:59:58.135874,760.0,323,770.65,35340.0
318,2024-12-17,9242,SARBTM,Sarbottam Cement Limited,755.0,766.8,755.0,759.0,30069,22878049.6,760.0,1083.0,556.0,2024-12-17T14:59:52.780654,759.0,241,760.85,35293.5
186,2024-12-18,9242,SARBTM,Sarbottam Cement Limited,769.0,769.0,753.0,759.8,22413,16993379.0,759.0,1083.0,556.0,2024-12-18T14:59:19.750505,759.8,243,758.19,35330.7
309,2024-12-19,9242,SARBTM,Sarbottam Cement Limited,764.9,767.0,746.0,749.0,29928,22615792.8,759.8,1083.0,556.0,2024-12-19T14:59:53.539569,749.0,338,755.67,34828.5
318,2024-12-22,9242,SARBTM,Sarbottam Cement Limited,749.1,775.2,743.0,770.0,74803,56368803.5,749.0,1083.0,556.0,2024-12-22T14:59:47.32949,770.0,406,753.56,35805.0
299,2024-12-23,9242,SARBTM,Sarbottam Cement Limited,772.0,788.0,765.0,782.0,62486,48684468.8,770.0,1083.0,556.0,2024-12-23T14:59:59.923506,782.0,421,779.12,36363.0
312,2024-12-24,9242,SARBTM,Sarbottam Cement Limited,796.0,796.0,765.0,765.0,28857,22367246.3,782.0,1083.0,556.0,2024-12-24T14:59:57.551551,765.0,258,775.1,35572.5
309,2024-12-26,9242,SARBTM,Sarbottam Cement Limited,751.0,769.9,751.0,764.7,36809,28153116.9,765.0,1083.0,556.0,2024-12-26T14:59:58.668853,764.7,421,764.84,35558.55
308,2024-12-29,9242,SARBTM,Sarbottam Cement Limited,727.8,733.0,715.1,717.0,39782,28735110.7,714.67,1083.0,556.0,2024-12-29T14:59:56.716614,717.0,382,722.31,35674.33
