Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
4,2024-11-25,135,SBI,Nepal SBI Bank Limited,468.1,468.1,459.1,461.0,25670,11864385.9,459.0,549.0,268.6,2024-11-25T14:59:45.057368,461.0,135,462.18,48405.7
32,2024-11-26,135,SBI,Nepal SBI Bank Limited,470.2,470.2,462.2,468.9,28878,13424561.4,461.0,549.0,268.6,2024-11-26T14:59:57.990438,468.9,154,464.87,49235.21
5,2024-11-27,135,SBI,Nepal SBI Bank Limited,478.2,481.3,469.0,478.5,110367,52628139.8,468.9,549.0,268.6,2024-11-27T15:00:02.635794,478.5,328,476.84,50243.23
4,2024-11-28,135,SBI,Nepal SBI Bank Limited,488.0,488.0,470.1,471.0,62219,29498019.0,478.5,549.0,268.6,2024-11-28T14:59:58.733138,471.0,209,474.09,49455.72
5,2024-12-01,135,SBI,Nepal SBI Bank Limited,480.4,480.4,460.0,462.0,48979,22672721.1,471.0,549.0,268.6,2024-12-01T14:59:44.370986,462.0,238,462.9,48510.7
5,2024-12-02,135,SBI,Nepal SBI Bank Limited,465.0,471.0,462.1,462.5,31158,14430723.4,462.0,549.0,268.6,2024-12-02T14:59:48.067287,462.5,167,463.14,48563.2
5,2024-12-03,135,SBI,Nepal SBI Bank Limited,469.0,470.0,460.0,463.0,33049,15307927.7,462.5,549.0,268.6,2024-12-03T14:59:59.553741,463.0,148,463.18,48615.71
5,2024-12-04,135,SBI,Nepal SBI Bank Limited,463.0,470.0,455.2,463.0,65757,30512371.5,463.0,549.0,268.6,2024-12-04T14:59:58.145247,463.0,275,464.01,48615.71
5,2024-12-05,135,SBI,Nepal SBI Bank Limited,470.9,470.9,458.7,460.5,42783,19683487.8,463.0,549.0,268.6,2024-12-05T14:59:43.467335,460.5,159,460.07,48353.2
5,2024-12-08,135,SBI,Nepal SBI Bank Limited,455.1,462.1,452.0,454.0,41786,18957049.8,460.5,549.0,268.6,2024-12-08T14:59:39.18674,454.0,161,453.66,47670.69
5,2024-12-09,135,SBI,Nepal SBI Bank Limited,453.0,454.9,448.0,454.9,46103,20749241.3,454.0,549.0,268.6,2024-12-09T14:59:36.678503,454.9,180,450.06,47765.19
5,2024-12-10,135,SBI,Nepal SBI Bank Limited,463.9,463.9,446.6,454.0,238798,107889373.5,454.9,549.0,268.6,2024-12-10T14:59:57.182543,454.0,98,451.8,47670.69
5,2024-12-11,135,SBI,Nepal SBI Bank Limited,461.5,461.5,450.0,460.0,27672,12649718.3,454.0,549.0,268.6,2024-12-11T14:59:46.599143,460.0,152,457.13,48300.7
30,2024-12-12,135,SBI,Nepal SBI Bank Limited,469.2,469.2,455.4,458.0,53037,24312678.9,460.0,549.0,268.6,2024-12-12T14:59:58.045328,458.0,134,458.4,48090.7
4,2024-12-16,135,SBI,Nepal SBI Bank Limited,452.0,455.0,446.0,447.0,24824,11136252.4,458.0,549.0,268.6,2024-12-16T14:59:32.198138,447.0,144,448.6,46935.68
33,2024-12-17,135,SBI,Nepal SBI Bank Limited,444.2,453.0,444.0,453.0,39647,17770422.4,447.0,549.0,268.6,2024-12-17T14:59:36.724676,453.0,151,448.21,47565.69
88,2024-12-18,135,SBI,Nepal SBI Bank Limited,450.1,455.0,448.6,450.7,33545,15099258.5,453.0,549.0,268.6,2024-12-18T14:59:59.031428,450.7,134,450.11,47324.19
5,2024-12-19,135,SBI,Nepal SBI Bank Limited,450.7,452.0,442.0,442.0,47695,21301095.0,450.7,549.0,268.6,2024-12-19T14:59:44.937703,442.0,275,446.61,46410.67
5,2024-12-22,135,SBI,Nepal SBI Bank Limited,430.0,430.0,422.1,426.0,44183,18821718.5,425.82,549.0,268.6,2024-12-22T14:59:44.980711,426.0,187,425.99,46430.41
5,2024-12-23,135,SBI,Nepal SBI Bank Limited,430.0,430.0,422.0,427.8,51356,21830951.2,426.0,549.0,268.6,2024-12-23T14:59:52.674818,427.8,142,425.09,46626.6
3,2024-12-24,135,SBI,Nepal SBI Bank Limited,422.1,453.0,422.1,425.0,19353,8289472.6,427.8,549.0,268.6,2024-12-24T14:57:55.036013,425.0,104,428.33,46321.42
29,2024-12-26,135,SBI,Nepal SBI Bank Limited,421.0,439.6,421.0,435.0,47253,20458992.4,425.0,549.0,268.6,2024-12-26T14:59:53.953034,435.0,169,432.96,47411.34
31,2024-12-29,135,SBI,Nepal SBI Bank Limited,442.0,442.0,428.0,430.0,40950,17717867.8,435.0,549.0,268.6,2024-12-29T14:59:57.331344,430.0,135,432.67,46866.38
