Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
3,2024-11-25,133,SCB,Standard Chartered Bank Limited,764.0,765.0,760.1,764.0,65432,49944079.5,762.0,790.0,497.4,2024-11-25T14:59:51.349745,764.0,450,763.29,72041.03
1,2024-11-26,133,SCB,Standard Chartered Bank Limited,779.2,779.2,756.0,760.0,164621,125668932.5,764.0,790.0,497.4,2024-11-26T14:59:58.584483,760.0,954,763.38,71663.85
3,2024-11-27,133,SCB,Standard Chartered Bank Limited,713.6,715.0,692.0,696.0,70585,49155801.3,713.62,790.0,497.4,2024-11-27T15:00:02.636094,696.0,551,696.4,69894.88
2,2024-11-28,133,SCB,Standard Chartered Bank Limited,685.0,696.0,681.0,682.0,68389,46995353.5,696.0,790.0,497.4,2024-11-28T14:59:44.084886,682.0,390,687.17,68488.95
3,2024-12-01,133,SCB,Standard Chartered Bank Limited,675.0,679.0,666.3,669.0,48082,32268609.0,682.0,790.0,497.4,2024-12-01T14:59:59.799273,669.0,319,671.11,67183.44
3,2024-12-02,133,SCB,Standard Chartered Bank Limited,670.0,675.0,663.0,664.0,21131,14111860.3,669.0,790.0,497.4,2024-12-02T14:59:54.553609,664.0,233,667.82,66681.33
3,2024-12-03,133,SCB,Standard Chartered Bank Limited,677.0,677.0,660.0,662.0,24288,16106974.6,664.0,790.0,497.4,2024-12-03T14:59:27.374536,662.0,204,663.16,66480.48
3,2024-12-04,133,SCB,Standard Chartered Bank Limited,675.2,675.2,657.0,660.0,38999,25794658.9,662.0,790.0,497.4,2024-12-04T14:59:56.083052,660.0,234,661.41,66279.63
3,2024-12-05,133,SCB,Standard Chartered Bank Limited,654.0,658.9,650.0,650.5,34860,22763651.8,660.0,790.0,497.4,2024-12-05T14:59:30.92336,650.5,222,653.0,65325.61
3,2024-12-08,133,SCB,Standard Chartered Bank Limited,662.0,662.0,638.0,641.0,25890,16668895.6,650.5,790.0,497.4,2024-12-08T14:59:49.804498,641.0,219,643.83,64371.58
3,2024-12-09,133,SCB,Standard Chartered Bank Limited,649.8,649.8,630.1,644.0,26921,17260422.3,641.0,790.0,497.4,2024-12-09T14:59:49.619638,644.0,234,641.15,64672.85
3,2024-12-10,133,SCB,Standard Chartered Bank Limited,655.0,669.0,650.0,662.0,34954,22934609.2,644.0,790.0,497.4,2024-12-10T14:59:54.331625,662.0,237,656.13,66480.48
3,2024-12-11,133,SCB,Standard Chartered Bank Limited,661.0,692.0,653.0,692.0,44286,29676021.8,662.0,790.0,497.4,2024-12-11T14:59:59.138441,692.0,282,670.09,69493.19
2,2024-12-12,133,SCB,Standard Chartered Bank Limited,705.8,705.8,672.0,674.0,40840,27908858.2,692.0,790.0,497.4,2024-12-12T14:59:46.545875,674.0,270,683.37,67685.56
2,2024-12-16,133,SCB,Standard Chartered Bank Limited,680.0,680.0,665.0,675.0,25953,17386605.4,674.0,790.0,497.4,2024-12-16T14:59:59.099255,675.0,171,669.92,67785.99
31,2024-12-17,133,SCB,Standard Chartered Bank Limited,668.0,680.0,666.0,672.0,28147,18886798.4,675.0,790.0,497.4,2024-12-17T14:59:29.661092,672.0,151,671.0,67484.72
1,2024-12-18,133,SCB,Standard Chartered Bank Limited,679.9,679.9,665.0,668.5,28791,19281332.0,672.0,790.0,497.4,2024-12-18T14:59:36.557391,668.5,125,669.69,67133.23
3,2024-12-19,133,SCB,Standard Chartered Bank Limited,666.0,673.0,662.0,667.0,27177,18121153.0,668.5,790.0,497.4,2024-12-19T14:59:53.382708,667.0,161,666.78,66982.6
3,2024-12-22,133,SCB,Standard Chartered Bank Limited,680.0,680.0,665.0,665.0,62141,41765421.6,667.0,790.0,497.4,2024-12-22T14:59:55.603342,665.0,336,672.1,66781.75
3,2024-12-23,133,SCB,Standard Chartered Bank Limited,678.3,678.3,659.3,668.0,49499,32782506.5,665.0,790.0,497.4,2024-12-23T14:59:34.862432,668.0,257,662.28,67083.02
29,2024-12-24,133,SCB,Standard Chartered Bank Limited,665.0,675.0,660.0,666.0,11079,7388990.8,668.0,790.0,497.4,2024-12-24T14:59:53.462478,666.0,128,666.93,66882.17
3,2024-12-26,133,SCB,Standard Chartered Bank Limited,666.0,680.0,662.0,673.9,23840,16061844.6,666.0,790.0,497.4,2024-12-26T14:59:53.999405,673.9,155,673.73,67675.52
2,2024-12-29,133,SCB,Standard Chartered Bank Limited,675.0,675.0,670.0,672.0,10541,7072343.7,673.9,790.0,497.4,2024-12-29T14:59:57.244858,672.0,122,670.93,67484.72
