Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
123,2024-10-15,2770,SEF,Siddhartha Equity Fund,9.25,9.25,9.23,9.23,15420,142446.6,9.41,10.49,7.16,2024-10-15T14:31:08.738232,9.23,8,9.23,1384.5
125,2024-10-16,2770,SEF,Siddhartha Equity Fund,9.15,9.41,9.15,9.41,5600,52532.0,9.23,10.49,7.16,2024-10-16T14:57:43.774555,9.41,7,9.38,1411.5
125,2024-10-17,2770,SEF,Siddhartha Equity Fund,9.59,9.77,9.55,9.77,1800,17253.0,9.41,10.49,7.16,2024-10-17T14:36:49.625579,9.77,6,9.58,1465.5
126,2024-10-20,2770,SEF,Siddhartha Equity Fund,9.61,9.61,9.42,9.42,35127,332459.77,9.77,10.49,7.16,2024-10-20T14:58:19.846372,9.42,18,9.46,1413.0
126,2024-10-21,2770,SEF,Siddhartha Equity Fund,9.6,9.71,9.42,9.71,9366,89564.6,9.42,10.49,7.16,2024-10-21T14:29:53.353409,9.71,8,9.56,1456.5
125,2024-10-22,2770,SEF,Siddhartha Equity Fund,9.7,9.9,9.49,9.75,287832,2807586.2,9.71,10.49,7.16,2024-10-22T14:34:04.662756,9.75,35,9.75,1462.5
126,2024-10-23,2770,SEF,Siddhartha Equity Fund,9.88,9.9,9.51,9.51,5200,50643.0,9.75,10.49,7.16,2024-10-23T13:15:27.636441,9.51,7,9.73,1426.5
126,2024-10-24,2770,SEF,Siddhartha Equity Fund,9.7,9.7,9.35,9.63,17600,167427.0,9.51,10.49,7.16,2024-10-24T13:49:53.153585,9.63,14,9.51,1444.5
127,2024-10-27,2770,SEF,Siddhartha Equity Fund,9.79,9.79,9.55,9.55,31331,301506.9,9.63,10.49,7.16,2024-10-27T14:58:56.196982,9.55,17,9.62,1432.5
123,2024-10-28,2770,SEF,Siddhartha Equity Fund,9.7,9.89,9.63,9.76,16801,163105.7,9.55,10.49,7.16,2024-10-28T14:49:15.725014,9.76,23,9.7,1464.0
124,2024-10-29,2770,SEF,Siddhartha Equity Fund,9.94,9.94,9.62,9.8,31000,299399.0,9.76,10.49,7.16,2024-10-29T13:58:55.543138,9.8,8,9.65,1470.0
124,2024-10-30,2770,SEF,Siddhartha Equity Fund,9.8,9.8,9.61,9.61,200,1941.0,9.8,10.49,7.16,2024-10-30T14:58:21.496394,9.61,2,9.7,1441.5
123,2024-11-05,2770,SEF,Siddhartha Equity Fund,9.54,9.54,9.46,9.46,504938,4797375.0,9.61,10.49,7.16,2024-11-05T14:39:41.783169,9.46,17,9.5,1419.0
126,2024-11-06,2770,SEF,Siddhartha Equity Fund,9.64,9.84,9.6,9.79,90000,867042.0,9.46,10.49,7.16,2024-11-06T13:20:17.497746,9.79,15,9.63,1468.5
126,2024-11-10,2770,SEF,Siddhartha Equity Fund,9.98,10.09,9.88,10.06,496942,4992896.3,9.79,10.49,7.26,2024-11-10T14:58:34.610946,10.06,36,10.04,1509.0
126,2024-11-11,2770,SEF,Siddhartha Equity Fund,10.26,10.3,9.93,9.93,125000,1281898.0,10.06,10.49,7.26,2024-11-11T14:42:05.454214,9.93,18,10.25,1489.5
