Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
52,2024-10-15,256,SFCL,Samriddhi Finance Company Limited,641.5,678.0,635.0,672.0,49368,32719715.0,629.0,812.0,246.2,2024-10-15T14:59:27.707294,672.0,398,662.77,5503.08
53,2024-10-16,256,SFCL,Samriddhi Finance Company Limited,678.1,698.0,661.5,671.0,56837,38780813.0,672.0,812.0,246.2,2024-10-16T14:59:58.500229,671.0,494,682.31,5494.9
53,2024-10-17,256,SFCL,Samriddhi Finance Company Limited,661.0,690.0,661.0,670.0,63178,42887361.8,671.0,812.0,246.2,2024-10-17T14:59:57.798746,670.0,444,678.83,5486.71
53,2024-10-20,256,SFCL,Samriddhi Finance Company Limited,670.0,679.0,644.0,645.0,92512,60843708.0,670.0,812.0,246.2,2024-10-20T14:59:53.663135,645.0,628,657.68,5281.98
53,2024-10-21,256,SFCL,Samriddhi Finance Company Limited,634.0,650.0,611.0,615.0,85497,53604143.5,645.0,812.0,246.2,2024-10-21T14:59:58.176416,615.0,687,626.97,5036.31
53,2024-10-22,256,SFCL,Samriddhi Finance Company Limited,627.0,649.9,615.1,640.5,67426,42844229.1,615.0,812.0,246.2,2024-10-22T14:59:55.570378,640.5,461,635.42,5245.13
53,2024-10-23,256,SFCL,Samriddhi Finance Company Limited,650.0,704.55,636.1,704.1,358553,248458890.4,640.5,812.0,246.2,2024-10-23T14:59:56.748878,704.1,1638,692.94,5765.96
53,2024-10-24,256,SFCL,Samriddhi Finance Company Limited,718.1,747.6,695.0,747.6,264167,190756102.55,704.1,812.0,246.2,2024-10-24T14:59:57.155549,747.6,1694,722.1,6122.18
52,2024-10-27,256,SFCL,Samriddhi Finance Company Limited,732.7,822.3,704.0,822.3,247102,181240330.2,747.6,822.3,246.2,2024-10-27T14:59:57.606083,822.3,1153,733.46,6733.91
52,2024-10-28,256,SFCL,Samriddhi Finance Company Limited,805.9,812.0,745.0,789.7,320198,247676917.2,822.3,822.3,246.2,2024-10-28T14:59:55.656932,789.7,1628,773.51,6466.94
52,2024-10-29,256,SFCL,Samriddhi Finance Company Limited,774.0,867.0,773.0,798.5,308631,247159363.2,789.7,867.0,246.2,2024-10-29T14:59:59.511837,798.5,1422,800.82,6539.01
53,2024-10-30,256,SFCL,Samriddhi Finance Company Limited,782.6,814.0,776.0,779.9,172136,135509516.9,798.5,867.0,246.2,2024-10-30T14:59:59.755044,779.9,792,787.22,6386.69
52,2024-11-05,256,SFCL,Samriddhi Finance Company Limited,774.0,857.8,759.5,780.3,148599,116061098.3,779.9,867.0,250.1,2024-11-05T14:59:59.993317,780.3,760,781.03,6389.97
53,2024-11-06,256,SFCL,Samriddhi Finance Company Limited,780.0,858.0,780.0,848.9,286899,237514148.9,780.3,867.0,250.1,2024-11-06T14:59:56.771727,848.9,1635,827.86,6951.74
53,2024-11-10,256,SFCL,Samriddhi Finance Company Limited,848.5,933.7,833.0,933.7,396556,341987836.7,848.9,933.7,250.1,2024-11-10T14:59:59.585933,933.7,1502,862.39,7646.18
53,2024-11-11,256,SFCL,Samriddhi Finance Company Limited,915.1,915.1,841.0,843.0,253289,217849043.4,933.7,933.7,250.1,2024-11-11T14:59:58.986512,843.0,1622,860.08,6903.42
53,2024-11-12,256,SFCL,Samriddhi Finance Company Limited,826.2,924.2,818.0,924.0,186793,158414117.1,843.0,933.7,250.1,2024-11-12T14:59:59.455264,924.0,959,848.07,7566.74
53,2024-11-13,256,SFCL,Samriddhi Finance Company Limited,905.6,1016.4,838.0,1016.3,237009,211309435.3,924.0,1016.4,250.1,2024-11-13T14:59:59.939788,1016.3,990,891.56,8322.6
53,2024-11-14,256,SFCL,Samriddhi Finance Company Limited,996.0,1117.9,915.0,972.0,284068,275800175.0,1016.3,1117.9,250.1,2024-11-14T14:59:59.490784,972.0,1404,970.89,7959.82
52,2024-11-17,256,SFCL,Samriddhi Finance Company Limited,952.6,952.6,874.8,874.8,464447,418287007.4,972.0,1117.9,250.1,2024-11-17T14:59:55.431097,874.8,2512,900.61,7163.84
54,2024-11-19,256,SFCL,Samriddhi Finance Company Limited,858.0,877.2,799.0,800.0,348475,290862061.6,874.8,1117.9,250.1,2024-11-19T14:59:54.27318,800.0,2225,834.67,6551.29
52,2024-11-20,256,SFCL,Samriddhi Finance Company Limited,800.0,848.0,787.0,835.0,115665,95497832.9,800.0,1117.9,255.0,2024-11-20T14:59:58.172818,835.0,889,825.64,6837.91
53,2024-11-21,256,SFCL,Samriddhi Finance Company Limited,835.0,846.6,785.0,800.0,156166,126827552.8,835.0,1117.9,261.0,2024-11-21T14:59:58.668921,800.0,1089,812.13,6551.29
