Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
160,2024-10-15,2877,SFMF,Sunrise First Mutual Fund,10.05,10.1,10.05,10.1,60450,610045.0,10.1,11.99,8.8,2024-10-15T14:59:24.718973,10.1,7,10.09,868.6
166,2024-10-16,2877,SFMF,Sunrise First Mutual Fund,9.9,9.9,9.8,9.8,2000,19700.0,10.1,11.99,8.8,2024-10-16T13:58:26.410483,9.8,2,9.85,842.8
165,2024-10-17,2877,SFMF,Sunrise First Mutual Fund,9.92,10.0,9.92,10.0,15300,152676.0,9.8,11.99,8.8,2024-10-17T14:12:59.709719,10.0,5,9.97,860.0
167,2024-10-20,2877,SFMF,Sunrise First Mutual Fund,10.19,10.5,10.16,10.27,379553,3950957.96,10.0,11.99,8.8,2024-10-20T14:59:59.408632,10.27,17,10.4,883.22
165,2024-10-21,2877,SFMF,Sunrise First Mutual Fund,10.47,10.47,10.27,10.27,12100,126667.0,10.27,11.99,8.8,2024-10-21T12:39:01.242809,10.27,3,10.46,883.22
165,2024-10-22,2877,SFMF,Sunrise First Mutual Fund,10.27,10.4,10.27,10.4,493400,5106333.6,10.27,11.99,8.8,2024-10-22T14:55:02.094008,10.4,18,10.34,894.4
168,2024-10-23,2877,SFMF,Sunrise First Mutual Fund,10.21,10.21,10.2,10.2,19030,194110.0,10.4,11.99,8.8,2024-10-23T14:30:39.246532,10.2,3,10.2,877.2
171,2024-10-24,2877,SFMF,Sunrise First Mutual Fund,10.3,10.4,10.3,10.4,3750,38778.4,10.2,11.99,8.8,2024-10-24T14:23:43.156115,10.4,4,10.34,894.4
166,2024-10-27,2877,SFMF,Sunrise First Mutual Fund,10.48,10.48,10.28,10.28,1600,16468.0,10.4,11.99,8.8,2024-10-27T14:37:44.52237,10.28,4,10.29,884.08
161,2024-10-28,2877,SFMF,Sunrise First Mutual Fund,10.12,10.33,10.12,10.12,3600,36464.0,10.28,11.99,8.8,2024-10-28T13:41:48.307241,10.12,5,10.12,870.32
166,2024-10-29,2877,SFMF,Sunrise First Mutual Fund,10.0,10.19,9.99,10.18,11616,118259.88,10.12,11.99,8.8,2024-10-29T14:59:59.743631,10.18,10,10.18,875.48
159,2024-11-05,2877,SFMF,Sunrise First Mutual Fund,9.98,9.98,9.8,9.8,5000,49086.0,10.18,11.99,8.8,2024-11-05T11:47:37.579436,9.8,3,9.81,842.8
169,2024-11-06,2877,SFMF,Sunrise First Mutual Fund,9.65,9.84,9.65,9.84,500,4901.0,9.8,11.99,8.93,2024-11-06T14:44:45.842202,9.84,3,9.8,846.24
168,2024-11-10,2877,SFMF,Sunrise First Mutual Fund,10.0,10.09,9.9,10.09,5422,54238.98,9.84,11.99,8.93,2024-11-10T13:53:12.048232,10.09,3,10.0,867.74
162,2024-11-11,2877,SFMF,Sunrise First Mutual Fund,10.29,10.29,10.11,10.25,2428,24958.12,10.09,11.99,8.93,2024-11-11T14:45:09.911059,10.25,3,10.27,881.5
166,2024-11-12,2877,SFMF,Sunrise First Mutual Fund,10.45,10.45,10.25,10.25,15700,161785.0,10.25,11.99,8.93,2024-11-12T14:54:11.680532,10.25,9,10.3,881.5
165,2024-11-13,2877,SFMF,Sunrise First Mutual Fund,10.11,10.3,10.11,10.3,11680,120029.8,10.25,11.99,8.93,2024-11-13T14:59:06.449032,10.3,5,10.27,885.8
169,2024-11-14,2877,SFMF,Sunrise First Mutual Fund,10.45,10.6,10.4,10.55,313452,3283540.8,10.3,11.99,8.93,2024-11-14T14:47:40.770399,10.55,28,10.47,907.3
166,2024-11-17,2877,SFMF,Sunrise First Mutual Fund,10.36,10.64,10.36,10.64,2872,30246.08,10.55,11.99,8.93,2024-11-17T14:48:43.389598,10.64,4,10.53,915.04
167,2024-11-19,2877,SFMF,Sunrise First Mutual Fund,10.65,10.7,10.4,10.4,19000,201990.0,10.64,11.99,8.93,2024-11-19T14:39:52.008998,10.4,5,10.63,894.4
166,2024-11-20,2877,SFMF,Sunrise First Mutual Fund,10.6,10.61,10.59,10.6,230082,2438564.0,10.4,11.99,8.93,2024-11-20T14:58:50.86469,10.6,18,10.59,911.6
164,2024-11-21,2877,SFMF,Sunrise First Mutual Fund,10.4,10.45,10.39,10.39,124585,1294530.15,10.6,11.99,8.93,2024-11-21T14:18:29.248868,10.39,15,10.39,893.54
167,2024-11-24,2877,SFMF,Sunrise First Mutual Fund,10.39,10.5,10.32,10.32,13000,135255.0,10.39,11.99,8.93,2024-11-24T14:34:53.250259,10.32,4,10.4,887.52
139,2024-11-25,2877,SFMF,Sunrise First Mutual Fund,10.5,10.5,10.32,10.32,26800,277087.42,10.32,11.99,8.93,2024-11-25T14:57:16.398055,10.32,13,10.33,887.52
167,2024-11-26,2877,SFMF,Sunrise First Mutual Fund,10.3,10.52,10.3,10.52,8657,90349.64,10.32,11.99,8.93,2024-11-26T14:54:59.422835,10.52,11,10.43,904.72
167,2024-11-27,2877,SFMF,Sunrise First Mutual Fund,10.6,10.6,10.41,10.41,8687,91991.0,10.52,11.99,8.93,2024-11-27T14:41:35.094098,10.41,7,10.58,895.26
176,2024-11-28,2877,SFMF,Sunrise First Mutual Fund,10.5,10.78,10.5,10.78,239831,2565595.68,10.41,11.99,8.93,2024-11-28T14:35:21.965746,10.78,24,10.69,927.08
138,2024-12-01,2877,SFMF,Sunrise First Mutual Fund,10.67,10.67,10.58,10.6,3430,36423.0,10.78,11.99,8.93,2024-12-01T14:42:53.25852,10.6,7,10.61,911.6
160,2024-12-02,2877,SFMF,Sunrise First Mutual Fund,10.6,10.72,10.51,10.72,19150,203415.5,10.6,11.99,8.93,2024-12-02T14:53:33.347661,10.72,8,10.62,921.92
166,2024-12-03,2877,SFMF,Sunrise First Mutual Fund,10.74,10.74,10.55,10.55,12815,136626.25,10.72,11.99,8.93,2024-12-03T14:08:38.66104,10.55,5,10.66,907.3
168,2024-12-04,2877,SFMF,Sunrise First Mutual Fund,10.5,10.54,10.4,10.54,30000,313320.0,10.55,11.99,8.93,2024-12-04T14:59:32.706243,10.54,16,10.44,906.44
