Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
231,2024-10-15,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,385.3,399.8,380.0,394.0,3790,1466236.0,393.1,535.5,205.1,2024-10-15T14:59:58.887794,394.0,63,386.86,6276.42
239,2024-10-16,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,400.9,414.0,394.0,412.0,11527,4689323.6,394.0,535.5,205.1,2024-10-16T14:59:56.125248,412.0,166,406.81,6563.16
237,2024-10-17,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,416.0,423.0,407.0,412.0,9725,4046058.0,412.0,535.5,205.1,2024-10-17T14:59:58.596336,412.0,138,416.04,6563.16
236,2024-10-20,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,403.8,409.0,390.0,398.0,13910,5586595.5,412.0,535.5,205.1,2024-10-20T14:59:57.666553,398.0,134,401.62,6340.14
241,2024-10-21,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,391.1,395.0,384.1,395.0,8945,3485546.5,398.0,535.5,205.1,2024-10-21T14:59:58.513384,395.0,100,389.66,6292.35
236,2024-10-22,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,388.1,394.0,383.0,393.5,8505,3297151.2,395.0,535.5,205.1,2024-10-22T14:59:59.624836,393.5,101,387.67,6268.45
245,2024-10-23,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,386.1,395.0,379.0,393.6,8953,3447420.1,393.5,535.5,205.1,2024-10-23T14:59:58.897556,393.6,120,385.05,6270.05
237,2024-10-24,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,385.8,399.9,378.2,390.0,9263,3574952.4,393.6,535.5,205.1,2024-10-24T14:59:58.54264,390.0,97,385.93,6212.7
240,2024-10-27,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,390.0,400.0,382.4,398.0,11861,4667535.6,390.0,535.5,205.1,2024-10-27T14:59:59.866441,398.0,113,393.51,6340.14
231,2024-10-28,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,395.0,411.9,393.2,406.0,16145,6533478.1,398.0,535.5,205.1,2024-10-28T14:59:42.43378,406.0,151,404.67,6467.58
240,2024-10-29,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,414.0,419.9,402.0,419.2,13899,5769529.5,406.0,535.5,205.1,2024-10-29T14:59:22.401268,419.2,165,415.1,6677.86
229,2024-10-30,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,413.0,421.0,405.0,405.0,10853,4496192.9,419.2,535.5,205.1,2024-10-30T14:59:46.450492,405.0,98,414.28,6451.65
227,2024-11-05,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,398.0,414.3,398.0,414.3,3282,1339669.4,405.0,535.5,206.1,2024-11-05T14:59:59.380245,414.3,115,408.18,6599.8
240,2024-11-06,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,411.0,419.2,411.0,418.9,7100,2955777.8,414.3,535.5,206.1,2024-11-06T14:57:26.486717,418.9,82,416.3,6673.08
241,2024-11-10,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,420.0,446.0,420.0,444.5,53125,23390057.5,418.9,535.5,206.1,2024-11-10T14:59:56.061814,444.5,408,440.28,7080.89
225,2024-11-11,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,450.0,451.0,422.9,430.0,24421,10561856.1,444.5,535.5,206.1,2024-11-11T14:59:58.983986,430.0,189,432.49,6849.9
235,2024-11-12,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,425.0,440.0,425.0,434.0,16397,7080119.2,430.0,535.5,206.1,2024-11-12T14:59:57.262609,434.0,172,431.79,6913.62
232,2024-11-13,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,430.0,450.0,429.0,440.0,16813,7313951.2,434.0,535.5,206.1,2024-11-13T14:59:12.555134,440.0,161,435.01,7009.2
244,2024-11-14,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,448.0,458.9,435.0,449.4,57834,26013267.2,440.0,535.5,206.1,2024-11-14T14:59:41.195819,449.4,399,449.79,7158.94
248,2024-11-17,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,440.5,470.0,440.5,464.5,75865,35054252.2,449.4,535.5,206.1,2024-11-17T14:59:58.477929,464.5,435,462.06,7399.48
234,2024-11-19,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,471.0,471.0,438.0,440.0,68417,30918060.3,464.5,535.5,208.0,2024-11-19T14:59:51.710157,440.0,338,451.9,7009.2
244,2024-11-20,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,448.0,453.9,430.0,453.0,26332,11675507.4,440.0,535.5,208.0,2024-11-20T14:59:58.998682,453.0,202,443.39,7216.29
238,2024-11-21,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,460.9,460.9,441.0,446.0,21545,9638089.2,453.0,535.5,208.0,2024-11-21T14:59:49.959337,446.0,170,447.34,7104.78
245,2024-11-24,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,454.0,454.0,435.0,435.0,9836,4355456.2,446.0,535.5,208.0,2024-11-24T14:57:39.863644,435.0,138,442.8,6929.55
230,2024-11-25,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,428.0,447.0,428.0,440.0,10885,4792519.0,435.0,535.5,212.1,2024-11-25T14:59:39.194309,440.0,135,440.28,7009.2
261,2024-11-26,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,431.4,453.5,431.4,450.0,16276,7268878.9,440.0,535.5,212.1,2024-11-26T14:59:53.678373,450.0,174,446.6,7168.5
240,2024-11-27,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,458.8,468.1,445.0,456.9,42861,19505914.8,450.0,535.5,212.1,2024-11-27T15:00:02.648321,456.9,264,455.09,7278.42
215,2024-11-28,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,463.0,463.0,447.3,448.0,39200,17726687.5,456.9,535.5,212.1,2024-11-28T14:59:55.027049,448.0,192,452.21,7136.64
231,2024-12-01,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,444.9,455.7,439.0,447.0,21588,9611278.3,448.0,535.5,212.1,2024-12-01T14:59:46.448398,447.0,196,445.21,7120.71
235,2024-12-02,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,441.0,465.0,441.0,460.3,87529,40208785.4,447.0,535.5,214.2,2024-12-02T14:59:58.219248,460.3,429,459.37,7332.58
231,2024-12-03,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,460.4,479.0,460.4,469.0,73933,34941601.9,460.3,535.5,214.2,2024-12-03T14:59:48.647821,469.0,438,472.61,7471.17
243,2024-12-04,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,468.0,491.9,466.0,475.0,79901,38616386.8,469.0,535.5,214.2,2024-12-04T14:59:53.483683,475.0,474,483.3,7566.75
231,2024-12-05,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,477.0,477.0,462.2,465.0,52924,24851192.5,475.0,535.5,217.5,2024-12-05T14:59:57.337527,465.0,301,469.56,7407.45
240,2024-12-08,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,465.0,480.0,456.0,463.0,54970,25513527.0,465.0,535.5,230.8,2024-12-08T14:59:15.338329,463.0,290,464.13,7375.59
236,2024-12-09,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,463.0,472.2,454.1,463.0,22079,10204315.0,463.0,535.5,231.0,2024-12-09T14:59:57.813109,463.0,171,462.17,7375.59
227,2024-12-10,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,457.2,464.0,454.0,460.0,22879,10455105.4,463.0,535.5,231.0,2024-12-10T14:59:59.982479,460.0,134,456.97,7327.8
229,2024-12-11,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,460.0,484.0,451.1,477.0,33848,15869367.3,460.0,535.5,252.0,2024-12-11T14:59:41.494795,477.0,246,468.84,7598.61
240,2024-12-12,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,482.0,492.0,474.0,481.8,54843,26517825.2,477.0,535.5,252.0,2024-12-12T14:59:59.29157,481.8,360,483.52,7675.07
238,2024-12-16,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,489.0,489.0,461.2,464.0,31951,14989562.9,481.8,535.5,261.8,2024-12-16T14:59:58.312149,464.0,242,469.14,7391.52
192,2024-12-17,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,460.1,470.9,460.1,468.9,13829,6445569.3,464.0,535.5,261.8,2024-12-17T14:59:59.162919,468.9,152,466.09,7469.58
267,2024-12-18,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,470.0,473.0,460.1,464.0,23554,10965321.9,468.9,535.5,261.8,2024-12-18T14:59:35.770242,464.0,180,465.53,7391.52
232,2024-12-19,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,455.1,464.1,447.1,447.1,32101,14558906.0,464.0,535.5,261.8,2024-12-19T14:59:40.580515,447.1,221,453.53,7122.3
236,2024-12-22,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,440.2,478.0,440.2,466.0,28285,13032783.2,447.1,535.5,261.8,2024-12-22T14:59:59.017121,466.0,222,460.76,7423.38
263,2024-12-23,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,469.0,473.1,460.0,469.0,13811,6459725.7,466.0,535.5,261.8,2024-12-23T14:59:58.705279,469.0,211,467.72,7471.17
267,2024-12-24,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,465.0,482.0,465.0,472.0,43486,20710452.1,469.0,535.5,261.8,2024-12-24T14:59:58.815838,472.0,354,476.25,7518.96
228,2024-12-26,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,471.9,483.0,460.0,468.0,39512,18643336.5,472.0,535.5,261.8,2024-12-26T14:59:58.995694,468.0,286,471.83,7455.24
