Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
184,2024-10-15,2934,SHEL,Singati Hydro Energy Limited,243.0,251.9,241.0,250.0,250360,61601747.0,240.0,334.4,143.1,2024-10-15T14:59:57.569505,250.0,528,246.05,7250.0
189,2024-10-16,2934,SHEL,Singati Hydro Energy Limited,255.0,260.5,250.0,257.0,232678,59603634.7,250.0,334.4,143.1,2024-10-16T14:59:58.588147,257.0,789,256.16,7453.0
190,2024-10-17,2934,SHEL,Singati Hydro Energy Limited,259.8,265.0,254.0,255.0,241457,62975700.5,257.0,334.4,143.1,2024-10-17T14:59:57.650788,255.0,775,260.81,7395.0
188,2024-10-20,2934,SHEL,Singati Hydro Energy Limited,254.0,263.8,245.0,249.0,343945,86919021.0,255.0,334.4,143.1,2024-10-20T14:59:59.683981,249.0,767,252.71,7221.0
188,2024-10-21,2934,SHEL,Singati Hydro Energy Limited,246.0,251.9,241.7,242.5,141555,34630580.5,249.0,334.4,143.1,2024-10-21T14:59:58.887429,242.5,497,244.64,7032.5
189,2024-10-22,2934,SHEL,Singati Hydro Energy Limited,246.0,250.0,241.2,247.6,126831,31163045.6,242.5,334.4,143.1,2024-10-22T14:59:58.553796,247.6,395,245.7,7180.4
195,2024-10-23,2934,SHEL,Singati Hydro Energy Limited,250.0,250.5,240.0,242.8,178585,43542535.9,247.6,334.4,143.1,2024-10-23T14:59:58.887689,242.8,493,243.81,7041.2
193,2024-10-24,2934,SHEL,Singati Hydro Energy Limited,245.0,245.2,240.0,245.0,108198,26181602.0,242.8,334.4,143.1,2024-10-24T14:59:50.689038,245.0,349,241.97,7105.0
188,2024-10-27,2934,SHEL,Singati Hydro Energy Limited,242.1,248.0,240.0,242.0,98188,23824159.9,245.0,334.4,143.1,2024-10-27T14:59:57.546598,242.0,325,242.63,7018.0
187,2024-10-28,2934,SHEL,Singati Hydro Energy Limited,245.0,249.0,243.5,248.0,93698,23150316.1,242.0,334.4,143.1,2024-10-28T14:59:59.714141,248.0,327,247.07,7192.0
193,2024-10-29,2934,SHEL,Singati Hydro Energy Limited,251.0,255.0,245.0,253.0,186397,46880489.9,248.0,334.4,143.1,2024-10-29T14:59:48.909404,253.0,565,251.5,7337.0
