Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
32,2024-11-25,147,SHL,Soaltee Hotel Limited,566.0,566.7,550.1,561.0,77555,43564838.9,555.6,636.5,411.0,2024-11-25T14:59:50.205604,561.0,261,561.72,52114.3
3,2024-11-26,147,SHL,Soaltee Hotel Limited,570.0,570.0,555.0,562.0,89930,50701412.7,561.0,636.5,411.0,2024-11-26T14:59:56.206914,562.0,281,563.78,52207.2
12,2024-11-27,147,SHL,Soaltee Hotel Limited,570.0,572.0,555.0,570.0,266148,151056530.1,562.0,636.5,415.0,2024-11-27T14:59:56.652893,570.0,864,567.56,52950.36
9,2024-11-28,147,SHL,Soaltee Hotel Limited,518.2,530.0,518.2,520.0,100778,52765234.3,518.18,636.5,415.0,2024-11-28T14:59:54.285228,520.0,391,523.57,53136.15
10,2024-12-01,147,SHL,Soaltee Hotel Limited,530.4,530.4,504.7,515.0,56228,28950263.1,520.0,636.5,415.0,2024-12-01T14:59:46.456044,515.0,216,514.87,52625.23
12,2024-12-02,147,SHL,Soaltee Hotel Limited,505.0,546.0,505.0,530.2,173941,92715323.5,515.0,636.5,415.0,2024-12-02T14:59:47.200584,530.2,640,533.02,54178.44
12,2024-12-03,147,SHL,Soaltee Hotel Limited,535.0,540.0,519.4,521.0,42731,22588120.8,530.2,636.5,415.0,2024-12-03T14:59:59.419537,521.0,219,528.61,53238.34
12,2024-12-04,147,SHL,Soaltee Hotel Limited,519.0,531.4,519.0,522.3,37988,19856956.3,521.0,636.5,415.0,2024-12-04T14:59:38.575147,522.3,118,522.71,53371.18
12,2024-12-05,147,SHL,Soaltee Hotel Limited,516.0,520.9,494.9,505.1,68151,34775743.7,522.3,636.5,415.0,2024-12-05T14:59:45.198567,505.1,266,510.27,51613.6
12,2024-12-08,147,SHL,Soaltee Hotel Limited,511.0,511.0,491.0,493.1,57539,28841028.0,505.1,636.5,416.5,2024-12-08T14:59:01.914459,493.1,222,501.24,50387.38
12,2024-12-09,147,SHL,Soaltee Hotel Limited,502.0,503.0,486.6,487.3,51779,25460618.0,493.1,636.5,416.5,2024-12-09T14:59:47.479561,487.3,200,491.71,49794.71
12,2024-12-10,147,SHL,Soaltee Hotel Limited,488.9,495.0,485.2,487.9,24239,11895306.8,487.3,636.5,416.5,2024-12-10T14:59:58.989719,487.9,96,490.75,49856.02
12,2024-12-11,147,SHL,Soaltee Hotel Limited,484.1,493.0,484.0,493.0,20593,10046267.7,487.9,636.5,416.5,2024-12-11T14:59:55.199681,493.0,106,487.84,50377.16
35,2024-12-12,147,SHL,Soaltee Hotel Limited,493.0,494.9,481.2,485.0,30616,14954349.8,493.0,636.5,416.5,2024-12-12T14:59:45.836251,485.0,130,488.44,49559.68
9,2024-12-16,147,SHL,Soaltee Hotel Limited,484.0,487.5,470.0,473.4,46458,22225816.5,485.0,636.5,416.5,2024-12-16T14:59:28.290807,473.4,201,478.4,48374.33
37,2024-12-17,147,SHL,Soaltee Hotel Limited,481.0,481.0,470.0,477.0,25235,12023980.4,473.4,636.5,416.5,2024-12-17T14:59:51.500329,477.0,111,476.48,48742.2
92,2024-12-18,147,SHL,Soaltee Hotel Limited,486.0,486.0,475.0,475.0,32056,15297539.7,477.0,636.5,416.5,2024-12-18T14:59:52.985951,475.0,107,477.21,48537.83
12,2024-12-19,147,SHL,Soaltee Hotel Limited,480.0,483.0,470.0,470.0,28383,13413983.5,475.0,636.5,416.5,2024-12-19T14:59:56.209336,470.0,139,472.6,48026.91
12,2024-12-22,147,SHL,Soaltee Hotel Limited,472.5,473.0,455.0,465.8,26896,12563427.9,470.0,636.5,416.5,2024-12-22T14:59:38.613179,465.8,114,467.11,47597.73
9,2024-12-23,147,SHL,Soaltee Hotel Limited,472.0,472.0,458.1,466.0,34051,15831222.0,465.8,636.5,416.5,2024-12-23T14:59:25.58532,466.0,145,464.92,47618.17
6,2024-12-24,147,SHL,Soaltee Hotel Limited,470.0,475.3,467.0,472.9,29507,13898222.4,466.0,636.5,416.5,2024-12-24T14:59:45.950301,472.9,105,471.01,48323.24
34,2024-12-26,147,SHL,Soaltee Hotel Limited,470.0,471.9,460.6,469.0,20942,9815438.8,472.9,636.5,416.5,2024-12-26T14:59:41.030721,469.0,81,468.69,47924.72
4,2024-12-29,147,SHL,Soaltee Hotel Limited,465.1,471.2,462.0,464.0,23710,11009002.8,469.0,636.5,416.5,2024-12-29T14:59:47.541234,464.0,104,464.31,47413.8
