Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
48,2024-10-15,244,SIFC,Shree Investment Finance Co. Ltd.,622.0,644.9,612.0,638.1,32716,20687597.8,610.0,795.0,300.1,2024-10-15T14:59:59.674915,638.1,209,632.33,6264.12
49,2024-10-16,244,SIFC,Shree Investment Finance Co. Ltd.,649.0,655.0,628.0,638.0,32353,20880017.7,638.1,795.0,300.1,2024-10-16T14:59:52.598042,638.0,229,645.38,6263.14
49,2024-10-17,244,SIFC,Shree Investment Finance Co. Ltd.,630.0,649.0,629.1,639.8,32099,20495003.6,638.0,795.0,300.1,2024-10-17T14:59:58.839723,639.8,217,638.49,6280.81
49,2024-10-20,244,SIFC,Shree Investment Finance Co. Ltd.,627.1,646.0,602.7,619.0,60779,38139872.4,639.8,795.0,300.1,2024-10-20T14:59:51.543056,619.0,335,627.51,6076.62
49,2024-10-21,244,SIFC,Shree Investment Finance Co. Ltd.,613.0,625.2,597.0,599.0,44641,27196107.1,619.0,795.0,300.1,2024-10-21T14:59:46.169281,599.0,290,609.21,5880.28
49,2024-10-22,244,SIFC,Shree Investment Finance Co. Ltd.,600.5,624.0,600.5,618.0,27918,17135708.1,599.0,795.0,300.1,2024-10-22T14:59:53.894516,618.0,184,613.78,6066.8
49,2024-10-23,244,SIFC,Shree Investment Finance Co. Ltd.,615.0,642.0,610.0,620.0,69268,43472270.9,618.0,795.0,300.1,2024-10-23T14:59:58.862315,620.0,386,627.59,6086.44
49,2024-10-24,244,SIFC,Shree Investment Finance Co. Ltd.,620.1,638.0,615.0,619.0,40628,25357827.1,620.0,795.0,300.1,2024-10-24T14:59:56.530304,619.0,225,624.14,6076.62
48,2024-10-27,244,SIFC,Shree Investment Finance Co. Ltd.,621.0,628.0,615.0,620.0,27533,17129931.6,619.0,795.0,300.1,2024-10-27T14:59:59.631442,620.0,165,622.16,6086.44
48,2024-10-28,244,SIFC,Shree Investment Finance Co. Ltd.,632.0,647.0,626.0,645.3,65523,41948806.7,620.0,795.0,300.1,2024-10-28T14:59:51.265506,645.3,359,640.21,6334.8
48,2024-10-29,244,SIFC,Shree Investment Finance Co. Ltd.,655.8,672.0,647.0,653.0,71068,47004372.7,645.3,795.0,300.1,2024-10-29T14:59:54.075927,653.0,459,661.39,6410.39
49,2024-10-30,244,SIFC,Shree Investment Finance Co. Ltd.,665.0,665.0,640.2,644.9,18944,12237202.0,653.0,795.0,300.1,2024-10-30T14:59:59.581504,644.9,143,645.96,6330.87
48,2024-11-05,244,SIFC,Shree Investment Finance Co. Ltd.,657.0,657.0,641.0,649.9,19518,12579545.2,644.9,795.0,303.0,2024-11-05T14:59:58.529307,649.9,100,644.5,6379.96
49,2024-11-06,244,SIFC,Shree Investment Finance Co. Ltd.,660.0,663.0,645.6,655.7,38564,25260821.3,649.9,795.0,303.0,2024-11-06T14:59:51.732393,655.7,226,655.03,6436.9
49,2024-11-10,244,SIFC,Shree Investment Finance Co. Ltd.,662.0,680.0,658.0,675.9,56628,38028605.2,655.7,795.0,308.7,2024-11-10T14:59:59.320288,675.9,373,671.55,6635.2
49,2024-11-11,244,SIFC,Shree Investment Finance Co. Ltd.,689.4,692.0,655.0,666.0,58704,39304686.7,675.9,795.0,308.7,2024-11-11T14:59:47.843044,666.0,330,669.54,6538.01
49,2024-11-12,244,SIFC,Shree Investment Finance Co. Ltd.,679.0,684.0,662.0,677.9,61435,41428053.9,666.0,795.0,308.7,2024-11-12T14:59:28.076989,677.9,377,674.33,6654.83
49,2024-11-13,244,SIFC,Shree Investment Finance Co. Ltd.,687.9,715.0,681.0,713.9,150045,105329621.1,677.9,795.0,308.7,2024-11-13T14:59:59.544047,713.9,867,701.98,7008.24
49,2024-11-14,244,SIFC,Shree Investment Finance Co. Ltd.,728.1,728.1,710.0,710.0,96801,69594832.1,713.9,795.0,308.7,2024-11-14T14:59:59.857836,710.0,600,718.94,6969.95
48,2024-11-17,244,SIFC,Shree Investment Finance Co. Ltd.,696.0,725.0,687.3,690.0,60322,42426856.3,710.0,795.0,308.7,2024-11-17T14:59:58.118965,690.0,457,703.33,6773.61
50,2024-11-19,244,SIFC,Shree Investment Finance Co. Ltd.,690.0,706.0,672.0,676.0,58473,40283890.4,690.0,795.0,308.7,2024-11-19T14:59:53.186181,676.0,436,688.93,6636.18
48,2024-11-20,244,SIFC,Shree Investment Finance Co. Ltd.,665.5,690.0,662.5,689.0,53519,36463538.4,676.0,795.0,310.0,2024-11-20T14:59:44.408938,689.0,322,681.31,6763.8
49,2024-11-21,244,SIFC,Shree Investment Finance Co. Ltd.,700.0,701.0,670.0,675.0,42152,28718838.7,689.0,795.0,310.2,2024-11-21T14:59:45.222274,675.0,281,681.31,6626.36
49,2024-11-24,244,SIFC,Shree Investment Finance Co. Ltd.,675.0,688.0,661.6,661.6,25373,17066335.9,675.0,795.0,310.2,2024-11-24T14:59:51.894891,661.6,218,672.61,6494.82
53,2024-11-25,244,SIFC,Shree Investment Finance Co. Ltd.,666.0,685.0,664.0,673.0,35234,23808257.4,661.6,795.0,310.2,2024-11-25T14:59:55.192388,673.0,231,675.71,6606.73
85,2024-11-26,244,SIFC,Shree Investment Finance Co. Ltd.,685.0,694.8,671.0,690.0,42909,29387121.3,673.0,795.0,310.2,2024-11-26T14:59:57.540596,690.0,251,684.87,6773.61
49,2024-11-27,244,SIFC,Shree Investment Finance Co. Ltd.,703.8,705.0,689.0,696.0,58886,40994795.2,690.0,795.0,310.2,2024-11-27T14:59:58.764713,696.0,347,696.17,6832.52
49,2024-11-28,244,SIFC,Shree Investment Finance Co. Ltd.,708.0,708.0,683.1,690.0,30808,21222604.7,696.0,795.0,310.2,2024-11-28T14:59:12.60935,690.0,194,688.86,6773.61
54,2024-12-01,244,SIFC,Shree Investment Finance Co. Ltd.,676.2,688.0,672.0,673.0,30059,20324954.2,690.0,795.0,310.2,2024-12-01T14:59:52.559316,673.0,195,676.16,6606.73
49,2024-12-02,244,SIFC,Shree Investment Finance Co. Ltd.,683.0,683.0,660.0,666.9,32326,21696619.0,673.0,795.0,312.1,2024-12-02T14:59:54.860582,666.9,191,671.18,6546.85
49,2024-12-03,244,SIFC,Shree Investment Finance Co. Ltd.,675.0,691.5,668.5,682.0,39753,27180221.9,666.9,795.0,312.1,2024-12-03T14:59:36.981245,682.0,248,683.72,6695.08
49,2024-12-04,244,SIFC,Shree Investment Finance Co. Ltd.,670.0,690.0,666.0,666.3,40788,27528806.2,682.0,795.0,312.1,2024-12-04T14:59:54.425247,666.3,216,674.92,6540.96
49,2024-12-05,244,SIFC,Shree Investment Finance Co. Ltd.,660.0,671.0,650.1,651.0,48652,32006072.1,666.3,795.0,312.1,2024-12-05T14:59:50.159389,651.0,252,657.85,6390.76
49,2024-12-08,244,SIFC,Shree Investment Finance Co. Ltd.,651.0,652.9,635.0,640.0,53284,34205683.2,651.0,795.0,326.9,2024-12-08T14:59:52.407412,640.0,226,641.95,6282.77
48,2024-12-09,244,SIFC,Shree Investment Finance Co. Ltd.,640.0,651.0,629.0,639.0,32479,20809610.9,640.0,795.0,332.0,2024-12-09T14:59:58.648659,639.0,163,640.7,6272.96
48,2024-12-10,244,SIFC,Shree Investment Finance Co. Ltd.,645.0,656.9,630.0,637.0,15322,9780975.2,639.0,795.0,336.2,2024-12-10T14:59:58.930799,637.0,83,638.36,6253.32
