Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
292,2024-11-25,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.72,10.09,9.72,10.09,112500,1111073.6,9.91,10.81,7.86,2024-11-25T14:44:42.959045,10.09,13,9.87,813.05
248,2024-11-26,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.89,10.08,9.89,10.08,15400,153987.0,10.09,10.81,7.86,2024-11-26T14:59:36.002322,10.08,6,9.99,812.25
285,2024-11-27,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.9,10.09,9.9,10.09,15400,154050.0,10.08,10.81,7.86,2024-11-27T14:58:50.070604,10.09,8,10.0,813.05
265,2024-11-28,9182,SIGS3,Siddhartha Investment Growth Scheme 3,10.09,10.18,10.0,10.16,145360,1460076.9,10.09,10.81,7.86,2024-11-28T14:55:19.401571,10.16,25,10.04,818.69
301,2024-12-01,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.97,10.16,9.94,9.95,15600,156146.0,10.16,10.81,7.86,2024-12-01T14:58:00.031638,9.95,14,10.0,801.77
279,2024-12-02,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.8,10.05,9.8,10.05,100300,1007972.0,9.95,10.81,7.86,2024-12-02T14:24:39.668489,10.05,13,10.04,809.83
275,2024-12-03,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.87,10.0,9.87,9.99,5300,52927.0,10.05,10.81,7.86,2024-12-03T14:53:59.135288,9.99,9,9.98,804.99
287,2024-12-04,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.99,10.15,9.8,9.8,172060,1692806.6,9.99,10.81,7.86,2024-12-04T14:57:02.105965,9.8,14,9.83,789.68
275,2024-12-05,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.71,10.07,9.71,10.04,66500,660706.0,9.8,10.81,7.86,2024-12-05T14:55:31.204611,10.04,11,9.93,809.02
286,2024-12-08,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.98,10.1,9.86,9.86,87389,865471.1,10.04,10.81,7.86,2024-12-08T14:32:59.656662,9.86,18,9.9,794.52
281,2024-12-09,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.81,9.9,9.81,9.9,200,1971.0,9.86,10.81,7.86,2024-12-09T13:44:42.082355,9.9,2,9.85,797.74
270,2024-12-10,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.85,9.98,9.85,9.98,16270,161052.5,9.9,10.81,7.86,2024-12-10T14:48:28.062387,9.98,7,9.89,804.19
273,2024-12-11,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.79,9.97,9.78,9.85,3510,34632.5,9.98,10.81,7.86,2024-12-11T14:51:53.6622,9.85,10,9.86,793.71
285,2024-12-12,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.68,9.81,9.68,9.81,500,4866.0,9.85,10.81,7.86,2024-12-12T14:12:24.55751,9.81,5,9.73,790.49
264,2024-12-16,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.63,9.85,9.63,9.79,9169,90092.89,9.81,10.81,7.86,2024-12-16T14:32:56.681548,9.79,7,9.82,788.88
239,2024-12-17,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.7,9.75,9.7,9.7,950,9225.0,9.79,10.81,7.86,2024-12-17T13:43:20.397599,9.7,6,9.71,781.63
296,2024-12-18,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.51,9.7,9.51,9.7,1400,13557.0,9.7,10.81,7.86,2024-12-18T14:46:26.957649,9.7,6,9.68,781.63
279,2024-12-19,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.51,9.7,9.5,9.7,800,7717.0,9.7,10.81,7.86,2024-12-19T14:08:56.138844,9.7,4,9.64,781.63
285,2024-12-22,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.51,9.54,9.51,9.54,800,7621.0,9.7,10.81,7.86,2024-12-22T14:53:20.223558,9.54,7,9.52,768.73
309,2024-12-23,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.46,9.52,9.46,9.51,600,5702.0,9.54,10.81,7.86,2024-12-23T12:37:16.104066,9.51,3,9.5,766.32
214,2024-12-24,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.7,9.7,9.61,9.61,24100,233671.0,9.51,10.81,7.86,2024-12-24T14:43:32.899692,9.61,5,9.69,774.37
252,2024-12-26,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.6,9.8,9.6,9.68,950,9217.0,9.61,10.81,7.86,2024-12-26T14:58:32.592342,9.68,4,9.7,780.01
237,2024-12-29,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.55,9.82,9.55,9.82,15800,155063.0,9.68,10.81,7.86,2024-12-29T13:57:42.522511,9.82,6,9.81,791.3
