Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
243,2024-10-15,8126,SIKLES,Sikles Hydropower Limited,686.0,714.1,672.3,714.1,8044,5609456.4,699.9,972.0,327.0,2024-10-15T14:59:59.537324,714.1,95,697.34,6069.85
252,2024-10-16,8126,SIKLES,Sikles Hydropower Limited,699.9,725.0,686.0,725.0,10308,7332478.5,714.1,972.0,327.0,2024-10-16T14:59:57.515563,725.0,123,711.33,6162.5
250,2024-10-17,8126,SIKLES,Sikles Hydropower Limited,737.0,737.0,695.1,730.0,5821,4127614.8,725.0,972.0,327.0,2024-10-17T14:59:59.803814,730.0,91,709.09,6205.0
250,2024-10-20,8126,SIKLES,Sikles Hydropower Limited,715.4,743.0,685.0,743.0,13280,9354486.5,730.0,972.0,327.0,2024-10-20T14:59:55.046403,743.0,160,704.4,6315.5
254,2024-10-21,8126,SIKLES,Sikles Hydropower Limited,728.2,728.2,688.0,728.2,9494,6705361.3,743.0,972.0,327.0,2024-10-21T14:59:56.255748,728.2,135,706.27,6189.7
249,2024-10-22,8126,SIKLES,Sikles Hydropower Limited,713.7,721.4,699.5,710.0,2886,2040915.5,728.2,972.0,327.0,2024-10-22T14:58:53.479011,710.0,64,707.17,6035.0
259,2024-10-23,8126,SIKLES,Sikles Hydropower Limited,720.0,734.0,690.0,707.0,7168,5053039.4,710.0,972.0,327.0,2024-10-23T14:59:59.066682,707.0,104,704.94,6009.5
251,2024-10-24,8126,SIKLES,Sikles Hydropower Limited,692.9,706.0,692.9,700.0,2570,1795866.0,707.0,972.0,327.0,2024-10-24T14:52:36.12726,700.0,45,698.78,5950.0
252,2024-10-27,8126,SIKLES,Sikles Hydropower Limited,714.0,714.0,686.0,694.9,920,638845.0,700.0,972.0,327.0,2024-10-27T14:59:35.077105,694.9,46,694.39,5906.65
243,2024-10-28,8126,SIKLES,Sikles Hydropower Limited,685.0,708.0,685.0,690.0,4601,3207536.0,694.9,972.0,327.0,2024-10-28T14:59:52.056128,690.0,61,697.13,5865.0
253,2024-10-29,8126,SIKLES,Sikles Hydropower Limited,700.0,709.5,692.0,704.8,3336,2344801.2,690.0,972.0,327.0,2024-10-29T14:59:57.583258,704.8,60,702.87,5990.8
242,2024-10-30,8126,SIKLES,Sikles Hydropower Limited,703.0,704.0,694.0,701.0,1484,1034072.0,704.8,972.0,327.0,2024-10-30T14:59:50.772516,701.0,45,696.81,5958.5
238,2024-11-05,8126,SIKLES,Sikles Hydropower Limited,714.9,714.9,696.0,709.0,1344,946305.0,701.0,972.0,327.4,2024-11-05T14:58:58.496082,709.0,36,704.09,6026.5
253,2024-11-06,8126,SIKLES,Sikles Hydropower Limited,698.0,705.0,698.0,702.0,4160,2914783.9,709.0,972.0,332.6,2024-11-06T14:55:20.300206,702.0,62,700.66,5967.0
255,2024-11-10,8126,SIKLES,Sikles Hydropower Limited,714.0,730.0,710.5,724.0,9998,7201436.2,702.0,972.0,339.0,2024-11-10T14:58:36.457563,724.0,166,720.28,6154.0
237,2024-11-11,8126,SIKLES,Sikles Hydropower Limited,734.0,738.0,711.3,718.0,8258,6006262.3,724.0,972.0,339.0,2024-11-11T14:59:59.408138,718.0,119,727.32,6103.0
249,2024-11-12,8126,SIKLES,Sikles Hydropower Limited,716.0,738.0,716.0,725.0,10569,7666306.5,718.0,972.0,339.0,2024-11-12T14:59:48.004064,725.0,115,725.35,6162.5
245,2024-11-13,8126,SIKLES,Sikles Hydropower Limited,722.0,743.5,722.0,742.0,15814,11595741.8,725.0,972.0,339.0,2024-11-13T14:59:58.206723,742.0,195,733.25,6307.0
256,2024-11-14,8126,SIKLES,Sikles Hydropower Limited,744.0,784.0,739.0,770.0,32531,24863560.5,742.0,972.0,339.0,2024-11-14T14:59:58.709978,770.0,371,764.3,6545.0
260,2024-11-17,8126,SIKLES,Sikles Hydropower Limited,785.4,847.0,785.1,803.0,33604,27415551.4,770.0,972.0,339.0,2024-11-17T14:59:59.879257,803.0,272,815.84,6825.5
248,2024-11-19,8126,SIKLES,Sikles Hydropower Limited,800.0,800.0,757.1,768.0,19912,15477007.3,803.0,972.0,339.0,2024-11-19T14:59:57.218953,768.0,223,777.27,6528.0
258,2024-11-20,8126,SIKLES,Sikles Hydropower Limited,753.3,768.1,749.0,763.0,10720,8128371.0,768.0,972.0,339.0,2024-11-20T14:59:39.786058,763.0,83,758.24,6485.5
251,2024-11-21,8126,SIKLES,Sikles Hydropower Limited,775.0,792.9,766.0,766.0,15918,12340478.5,763.0,972.0,346.8,2024-11-21T14:59:53.842147,766.0,175,775.25,6511.0
258,2024-11-24,8126,SIKLES,Sikles Hydropower Limited,767.0,778.6,750.0,750.0,9955,7580820.7,766.0,972.0,371.6,2024-11-24T14:59:55.352569,750.0,132,761.5,6375.0
235,2024-11-25,8126,SIKLES,Sikles Hydropower Limited,765.0,778.0,738.2,767.0,13660,10418183.5,750.0,972.0,371.6,2024-11-25T14:59:58.514339,767.0,121,762.67,6519.5
271,2024-11-26,8126,SIKLES,Sikles Hydropower Limited,782.0,796.8,757.1,778.4,11109,8557488.0,767.0,972.0,371.6,2024-11-26T14:59:59.198559,778.4,101,770.32,6616.4
253,2024-11-27,8126,SIKLES,Sikles Hydropower Limited,762.9,804.0,762.9,801.0,23028,18271050.2,778.4,972.0,371.6,2024-11-27T15:00:02.626052,801.0,200,793.42,6808.5
222,2024-11-28,8126,SIKLES,Sikles Hydropower Limited,810.0,824.0,800.6,805.0,43013,34887387.1,801.0,972.0,371.6,2024-11-28T14:59:54.089469,805.0,260,811.08,6842.5
264,2024-12-01,8126,SIKLES,Sikles Hydropower Limited,805.0,805.0,774.0,785.0,7273,5735539.0,805.0,972.0,371.6,2024-12-01T14:59:40.023225,785.0,92,788.6,6672.5
247,2024-12-02,8126,SIKLES,Sikles Hydropower Limited,775.0,804.0,775.0,795.0,8906,7086304.0,785.0,972.0,371.6,2024-12-02T14:59:54.914947,795.0,112,795.67,6757.5
243,2024-12-03,8126,SIKLES,Sikles Hydropower Limited,785.5,810.0,785.3,810.0,14646,11725458.0,795.0,972.0,371.6,2024-12-03T14:59:59.938258,810.0,171,800.59,6885.0
256,2024-12-04,8126,SIKLES,Sikles Hydropower Limited,800.0,831.0,794.0,816.0,22566,18426246.9,810.0,972.0,371.6,2024-12-04T14:59:59.325458,816.0,197,816.54,6936.0
242,2024-12-05,8126,SIKLES,Sikles Hydropower Limited,815.0,815.0,785.0,798.9,16336,13026746.3,816.0,972.0,380.1,2024-12-05T14:59:58.912849,798.9,141,797.42,6790.65
253,2024-12-08,8126,SIKLES,Sikles Hydropower Limited,784.1,810.0,773.2,779.0,7560,5936403.5,798.9,972.0,388.1,2024-12-08T14:59:48.782077,779.0,82,785.23,6621.5
248,2024-12-09,8126,SIKLES,Sikles Hydropower Limited,779.0,810.0,778.0,794.0,12835,10152934.1,779.0,972.0,388.1,2024-12-09T14:59:56.776009,794.0,108,791.03,6749.0
240,2024-12-10,8126,SIKLES,Sikles Hydropower Limited,800.0,800.0,779.0,783.1,15925,12494237.0,794.0,972.0,388.1,2024-12-10T14:59:56.023245,783.1,72,784.56,6656.35
242,2024-12-11,8126,SIKLES,Sikles Hydropower Limited,769.2,810.0,769.2,808.0,12725,10144601.6,783.1,972.0,407.7,2024-12-11T14:59:58.532704,808.0,116,797.21,6868.0
213,2024-12-12,8126,SIKLES,Sikles Hydropower Limited,810.0,820.0,794.0,796.0,15565,12557952.5,808.0,972.0,408.7,2024-12-12T14:59:48.795593,796.0,144,806.8,6766.0
220,2024-12-16,8126,SIKLES,Sikles Hydropower Limited,805.0,810.0,782.3,788.9,10375,8218695.2,796.0,972.0,419.0,2024-12-16T14:59:48.363548,788.9,91,792.16,6705.65
278,2024-12-17,8126,SIKLES,Sikles Hydropower Limited,780.0,800.1,775.0,800.1,17757,14141547.6,788.9,972.0,419.0,2024-12-17T14:59:59.257416,800.1,111,796.39,6800.85
276,2024-12-18,8126,SIKLES,Sikles Hydropower Limited,816.0,865.0,803.8,865.0,95904,80960659.2,800.1,972.0,419.0,2024-12-18T14:59:41.920094,865.0,750,844.18,7352.5
246,2024-12-19,8126,SIKLES,Sikles Hydropower Limited,864.1,881.0,850.1,855.0,23214,20009017.4,865.0,972.0,419.0,2024-12-19T14:59:59.723592,855.0,216,861.93,7267.5
250,2024-12-22,8126,SIKLES,Sikles Hydropower Limited,841.0,860.0,833.3,854.9,19977,16903560.5,855.0,972.0,421.3,2024-12-22T14:59:54.557201,854.9,206,846.15,7266.65
