Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
98,2024-11-25,561,SINDU,Sindhu Bikash Bank Ltd,829.9,884.0,817.1,842.4,56465,47585097.8,822.0,884.0,241.0,2024-11-25T14:59:57.335423,842.4,248,842.73,4696.01
68,2024-11-26,561,SINDU,Sindhu Bikash Bank Ltd,843.0,875.9,812.0,828.0,36941,30882248.7,842.4,884.0,241.0,2024-11-26T14:59:55.384454,828.0,217,835.98,4615.74
87,2024-11-27,561,SINDU,Sindhu Bikash Bank Ltd,820.1,910.8,817.0,910.8,138269,122056764.9,828.0,910.8,241.0,2024-11-27T14:59:12.391877,910.8,551,882.74,5077.31
78,2024-11-28,561,SINDU,Sindhu Bikash Bank Ltd,929.0,987.0,911.0,937.0,83767,79044803.2,910.8,987.0,241.0,2024-11-28T14:59:58.763974,937.0,624,943.62,5223.36
102,2024-12-01,561,SINDU,Sindhu Bikash Bank Ltd,918.3,1030.7,883.0,1030.7,136384,134195685.7,937.0,1030.7,241.0,2024-12-01T14:59:59.836481,1030.7,729,983.95,5745.7
87,2024-12-02,561,SINDU,Sindhu Bikash Bank Ltd,1051.3,1114.7,1010.1,1020.0,100356,105409701.0,1030.7,1114.7,242.0,2024-12-02T14:59:59.708141,1020.0,725,1050.35,5686.05
87,2024-12-03,561,SINDU,Sindhu Bikash Bank Ltd,1040.0,1040.0,965.5,1000.0,61783,61184564.2,1020.0,1114.7,242.0,2024-12-03T14:59:59.902532,1000.0,475,990.31,5574.56
89,2024-12-04,561,SINDU,Sindhu Bikash Bank Ltd,999.6,1019.5,970.0,980.0,35417,34982836.5,1000.0,1114.7,242.0,2024-12-04T14:59:58.443047,980.0,284,987.74,5463.07
86,2024-12-05,561,SINDU,Sindhu Bikash Bank Ltd,966.0,995.0,965.0,970.0,37559,36738089.4,980.0,1114.7,251.4,2024-12-05T14:59:57.572706,970.0,282,978.14,5407.32
88,2024-12-08,561,SINDU,Sindhu Bikash Bank Ltd,989.4,1050.0,954.7,999.0,73759,74443650.8,970.0,1114.7,256.4,2024-12-08T14:59:59.640533,999.0,499,1009.28,5568.99
87,2024-12-09,561,SINDU,Sindhu Bikash Bank Ltd,1004.0,1020.0,982.0,1010.0,28166,28226480.1,999.0,1114.7,259.0,2024-12-09T14:59:59.31083,1010.0,214,1002.14,5630.31
86,2024-12-10,561,SINDU,Sindhu Bikash Bank Ltd,1030.2,1030.2,982.0,994.0,21970,21976621.3,1010.0,1114.7,259.0,2024-12-10T14:59:56.881554,994.0,146,1000.3,5541.11
86,2024-12-11,561,SINDU,Sindhu Bikash Bank Ltd,1013.8,1013.8,975.0,989.0,15738,15506014.6,994.0,1114.7,265.0,2024-12-11T14:59:47.880595,989.0,108,985.25,5513.24
84,2024-12-12,561,SINDU,Sindhu Bikash Bank Ltd,988.0,1008.0,940.0,955.0,29766,29028469.8,989.0,1114.7,265.0,2024-12-12T14:59:58.218252,955.0,240,975.22,5323.71
93,2024-12-16,561,SINDU,Sindhu Bikash Bank Ltd,974.1,974.1,901.0,909.0,35831,33197734.2,955.0,1114.7,265.1,2024-12-16T14:59:55.035819,909.0,232,926.5,5067.28
106,2024-12-17,561,SINDU,Sindhu Bikash Bank Ltd,907.0,925.1,875.0,889.7,43022,38521608.4,909.0,1114.7,265.1,2024-12-17T14:59:56.915072,889.7,256,895.39,4959.69
196,2024-12-18,561,SINDU,Sindhu Bikash Bank Ltd,900.0,942.0,882.0,919.9,41147,37833260.2,889.7,1114.7,265.1,2024-12-18T14:59:57.829936,919.9,276,919.46,5128.04
89,2024-12-19,561,SINDU,Sindhu Bikash Bank Ltd,937.0,937.0,901.6,901.6,52649,48484189.2,919.9,1114.7,265.1,2024-12-19T14:59:59.893301,901.6,163,920.89,5026.02
87,2024-12-22,561,SINDU,Sindhu Bikash Bank Ltd,886.0,919.6,866.4,872.0,25855,22809280.3,901.6,1114.7,265.1,2024-12-22T14:59:56.688244,872.0,184,882.19,4861.02
69,2024-12-23,561,SINDU,Sindhu Bikash Bank Ltd,854.6,906.3,854.6,892.9,22595,19905087.4,872.0,1114.7,265.1,2024-12-23T14:59:48.811641,892.9,149,880.95,4977.53
74,2024-12-24,561,SINDU,Sindhu Bikash Bank Ltd,895.2,978.0,892.5,940.0,44403,41666582.5,892.9,1114.7,265.1,2024-12-24T14:59:59.551036,940.0,310,938.37,5240.09
67,2024-12-26,561,SINDU,Sindhu Bikash Bank Ltd,921.2,921.2,846.0,846.0,106539,90659046.6,940.0,1114.7,265.1,2024-12-26T14:59:17.546545,846.0,684,850.94,4716.08
74,2024-12-29,561,SINDU,Sindhu Bikash Bank Ltd,862.0,862.0,761.4,761.4,88981,69047338.8,846.0,1114.7,265.1,2024-12-29T14:59:05.377805,761.4,536,775.97,4244.47
