Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
161,2024-11-25,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,383.5,383.5,367.0,370.0,51054,19025691.6,376.0,442.0,242.0,2024-11-25T14:59:54.926184,370.0,321,372.65,12154.5
161,2024-11-26,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,377.4,384.0,370.1,377.1,48332,18160256.4,370.0,442.0,242.0,2024-11-26T14:59:59.735744,377.1,296,375.73,12387.74
157,2024-11-27,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,384.5,393.7,372.6,390.0,181671,70620371.8,377.1,442.0,242.0,2024-11-27T14:59:39.452565,390.0,871,388.72,12811.5
153,2024-11-28,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,385.0,392.9,376.0,376.0,72833,27920867.6,390.0,442.0,242.0,2024-11-28T14:59:57.187503,376.0,349,383.35,12351.6
133,2024-12-01,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,371.0,380.0,365.1,375.0,60815,22646279.0,376.0,442.0,242.0,2024-12-01T14:59:46.999171,375.0,284,372.37,12318.75
155,2024-12-02,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,368.1,382.9,368.1,371.2,34633,13083970.8,375.0,442.0,242.0,2024-12-02T14:59:55.045642,371.2,268,377.78,12193.92
158,2024-12-03,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,378.0,380.0,370.1,374.5,40399,15119331.0,371.2,442.0,242.0,2024-12-03T14:59:51.569688,374.5,236,374.25,12302.33
157,2024-12-04,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,380.0,387.6,374.5,377.0,89375,34137345.5,374.5,442.0,242.0,2024-12-04T14:59:59.510573,377.0,413,381.95,12384.45
153,2024-12-05,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,369.6,380.3,369.6,377.5,53276,19980711.4,377.0,442.0,242.0,2024-12-05T14:59:59.344066,377.5,291,375.04,12400.88
158,2024-12-08,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,372.0,377.9,363.1,371.2,51066,18896390.0,377.5,442.0,250.1,2024-12-08T14:59:58.19066,371.2,263,370.03,12193.92
155,2024-12-09,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,365.3,372.0,364.0,364.1,24789,9105102.9,371.2,442.0,250.1,2024-12-09T14:59:59.764972,364.1,152,367.3,11960.68
154,2024-12-10,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,360.1,378.9,360.1,370.2,19587,7173453.0,364.1,442.0,256.0,2024-12-10T14:59:40.124008,370.2,183,366.23,12161.07
153,2024-12-11,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,363.0,372.0,363.0,372.0,13038,4787637.5,370.2,442.0,256.0,2024-12-11T14:59:55.221522,372.0,125,367.2,12220.2
153,2024-12-12,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,372.0,374.0,366.0,368.0,28245,10402358.9,372.0,442.0,256.0,2024-12-12T14:59:56.984141,368.0,149,368.29,12088.8
136,2024-12-16,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,375.0,375.0,354.0,354.0,14402,5148032.3,368.0,442.0,256.0,2024-12-16T14:59:48.292558,354.0,168,357.45,11628.9
128,2024-12-17,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,359.0,385.0,354.1,370.0,90443,33263229.3,354.0,442.0,256.0,2024-12-17T14:59:57.607013,370.0,351,367.78,12154.5
83,2024-12-18,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,373.8,374.0,359.0,363.9,19566,7090352.9,370.0,442.0,256.0,2024-12-18T14:59:55.634436,363.9,128,362.38,11954.11
156,2024-12-19,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,369.9,369.9,353.3,355.2,16486,5877735.5,363.9,442.0,256.0,2024-12-19T14:59:27.195614,355.2,145,356.52,11668.32
157,2024-12-22,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,355.0,358.0,348.0,350.6,21012,7383044.1,355.2,442.0,256.0,2024-12-22T14:59:59.005586,350.6,140,351.37,11517.21
134,2024-12-23,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,343.6,357.0,343.6,352.1,14559,5122632.3,350.6,442.0,256.0,2024-12-23T14:59:51.946549,352.1,134,351.85,11566.49
133,2024-12-24,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,352.0,358.7,349.4,355.0,16288,5742294.5,352.1,442.0,256.0,2024-12-24T14:59:51.715853,355.0,124,352.54,11661.75
163,2024-12-26,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,348.0,353.0,348.0,353.0,21560,7540255.5,355.0,442.0,256.0,2024-12-26T14:59:56.879067,353.0,123,349.73,11596.05
148,2024-12-29,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,350.0,351.0,342.0,343.0,13884,4801243.0,353.0,442.0,256.0,2024-12-29T14:58:48.989574,343.0,149,345.81,11267.55
