Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
99,2024-11-25,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,926.0,938.5,926.0,934.0,6118,5717911.1,934.9,1105.0,790.0,2024-11-25T14:56:42.938261,934.0,77,934.6,35551.53
104,2024-11-26,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,952.5,952.5,934.0,943.7,7802,7313952.1,934.0,1105.0,790.0,2024-11-26T14:59:43.508469,943.7,100,937.44,35920.75
88,2024-11-27,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,959.9,959.9,945.0,949.8,36688,34825323.6,943.7,1105.0,790.0,2024-11-27T14:59:27.797997,949.8,185,949.22,36152.94
79,2024-11-28,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,950.0,950.0,937.3,943.0,11966,11290248.4,949.8,1105.0,790.0,2024-11-28T14:59:59.378282,943.0,148,943.52,35894.11
103,2024-12-01,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,931.0,938.9,926.0,929.0,24824,23115215.3,943.0,1105.0,790.0,2024-12-01T14:59:46.813644,929.0,189,931.16,35361.21
88,2024-12-02,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,947.5,984.0,940.0,944.0,41568,39367250.5,929.0,1105.0,790.0,2024-12-02T14:59:56.97833,944.0,405,947.05,35932.17
88,2024-12-03,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,962.0,962.0,938.0,945.0,19371,18241258.0,944.0,1105.0,790.0,2024-12-03T14:59:14.983458,945.0,184,941.67,35970.23
90,2024-12-04,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,963.9,963.9,937.6,944.0,11637,10967287.1,945.0,1105.0,790.0,2024-12-04T14:59:45.263523,944.0,161,942.44,35932.17
87,2024-12-05,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,935.6,945.0,932.3,933.2,11486,10778667.1,944.0,1105.0,790.0,2024-12-05T14:59:43.242172,933.2,172,938.41,35521.08
89,2024-12-08,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,932.1,939.0,922.0,924.0,19314,17901273.9,933.2,1105.0,790.0,2024-12-08T14:59:48.3973,924.0,215,926.85,35170.89
88,2024-12-09,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,925.0,930.0,915.0,918.7,23126,21324087.1,924.0,1105.0,790.0,2024-12-09T14:59:49.42864,918.7,194,922.08,34969.16
