Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
118,2024-10-15,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,850.0,877.0,845.1,870.0,1862,1590960.3,862.0,1271.0,558.0,2024-10-15T14:59:59.935504,870.0,31,854.43,4906.85
119,2024-10-16,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,887.0,949.0,885.1,945.0,11729,10824830.2,870.0,1271.0,558.0,2024-10-16T14:59:57.647677,945.0,199,922.91,5329.86
120,2024-10-17,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,930.0,959.8,930.0,935.0,2530,2382922.9,945.0,1271.0,558.0,2024-10-17T14:59:38.16839,935.0,65,941.86,5273.46
121,2024-10-20,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,950.0,950.0,901.0,903.0,6394,5824188.9,935.0,1271.0,558.0,2024-10-20T14:59:54.574939,903.0,105,910.88,5092.98
121,2024-10-21,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,900.0,900.0,875.1,875.1,3517,3113170.8,903.0,1271.0,558.0,2024-10-21T14:59:59.857012,875.1,73,885.17,4935.62
120,2024-10-22,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,860.0,911.0,860.0,891.0,2233,1972714.4,875.1,1271.0,558.0,2024-10-22T14:59:59.98332,891.0,59,883.43,5025.3
121,2024-10-23,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,880.0,890.0,875.0,875.0,1877,1652220.9,891.0,1271.0,558.0,2024-10-23T14:57:23.8895,875.0,38,880.24,4935.06
121,2024-10-24,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,876.0,879.0,862.0,866.3,1021,892049.2,875.0,1271.0,558.0,2024-10-24T14:59:58.271882,866.3,21,873.7,4885.99
122,2024-10-27,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,867.0,879.0,851.0,852.0,2715,2343734.5,866.3,1271.0,558.0,2024-10-27T14:56:21.207004,852.0,52,863.25,4805.33
118,2024-10-28,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,869.0,900.0,864.5,873.0,3069,2717081.8,852.0,1271.0,558.0,2024-10-28T14:59:56.76895,873.0,57,885.33,4923.77
