Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
241,2024-11-25,9148,SMH,Super Mai Hydropower Limited,1140.0,1185.0,1079.2,1113.8,5106,5550188.4,1118.2,1283.0,492.0,2024-11-25T14:58:43.478237,1113.8,42,1086.99,5569.0
235,2024-11-26,9148,SMH,Super Mai Hydropower Limited,1136.0,1158.0,1092.0,1130.0,4899,5554605.4,1113.8,1283.0,492.0,2024-11-26T14:59:39.657263,1130.0,45,1133.82,5650.0
264,2024-11-27,9148,SMH,Super Mai Hydropower Limited,1152.0,1174.0,1100.0,1150.0,29125,32905330.5,1130.0,1283.0,492.0,2024-11-27T14:58:58.031832,1150.0,92,1129.79,5750.0
250,2024-11-28,9148,SMH,Super Mai Hydropower Limited,1130.0,1195.0,1130.0,1153.1,6804,8003965.8,1150.0,1283.0,492.0,2024-11-28T14:55:10.663741,1153.1,72,1176.36,5765.5
270,2024-12-01,9148,SMH,Super Mai Hydropower Limited,1140.0,1144.0,1110.0,1140.0,4403,4978689.4,1153.1,1283.0,492.0,2024-12-01T14:59:58.867831,1140.0,89,1130.74,5700.0
258,2024-12-02,9148,SMH,Super Mai Hydropower Limited,1086.0,1151.0,1085.1,1095.0,1350,1486877.0,1065.42,1283.0,492.0,2024-12-02T14:59:08.489256,1095.0,48,1101.39,5858.25
253,2024-12-03,9148,SMH,Super Mai Hydropower Limited,1116.0,1116.9,1074.0,1109.0,2620,2832193.0,1095.0,1283.0,492.0,2024-12-03T14:59:50.688958,1109.0,48,1080.98,5933.15
267,2024-12-04,9148,SMH,Super Mai Hydropower Limited,1110.0,1115.0,1004.7,1086.9,5909,6273317.9,1109.0,1283.0,492.0,2024-12-04T14:58:51.967981,1086.9,52,1061.65,5814.92
254,2024-12-05,9148,SMH,Super Mai Hydropower Limited,1108.0,1119.0,1065.2,1084.0,2610,2816733.0,1086.9,1283.0,496.0,2024-12-05T14:59:39.306363,1084.0,55,1079.2,5799.4
265,2024-12-08,9148,SMH,Super Mai Hydropower Limited,1105.0,1144.0,991.1,1060.0,8638,8954019.4,1084.0,1283.0,511.0,2024-12-08T14:59:59.108558,1060.0,93,1036.58,5671.0
259,2024-12-09,9148,SMH,Super Mai Hydropower Limited,1060.0,1079.9,991.4,1019.0,11610,11750321.4,1060.0,1283.0,511.0,2024-12-09T14:58:20.311347,1019.0,128,1012.08,5451.65
250,2024-12-10,9148,SMH,Super Mai Hydropower Limited,1039.0,1089.0,998.7,1019.0,3795,3986879.4,1019.0,1283.0,511.0,2024-12-10T14:59:18.36714,1019.0,53,1050.56,5451.65
253,2024-12-11,9148,SMH,Super Mai Hydropower Limited,1034.0,1035.0,991.0,1002.0,2363,2365057.5,1019.0,1283.0,511.0,2024-12-11T14:59:18.393777,1002.0,40,1000.87,5360.7
272,2024-12-12,9148,SMH,Super Mai Hydropower Limited,1022.0,1042.0,992.1,1011.0,2312,2336601.4,1002.0,1283.0,512.0,2024-12-12T14:59:19.25302,1011.0,42,1010.64,5408.85
250,2024-12-16,9148,SMH,Super Mai Hydropower Limited,1010.0,1070.0,966.1,994.6,6071,6192305.0,1011.0,1283.0,546.1,2024-12-16T14:59:55.835128,994.6,63,1019.98,5321.11
230,2024-12-17,9148,SMH,Super Mai Hydropower Limited,1013.0,1014.8,980.0,1014.8,1356,1351723.6,994.6,1283.0,546.1,2024-12-17T14:59:57.921197,1014.8,41,996.84,5429.18
281,2024-12-18,9148,SMH,Super Mai Hydropower Limited,1029.0,1029.0,990.0,990.1,2173,2172587.6,1014.8,1283.0,546.1,2024-12-18T14:58:15.915333,990.1,27,999.81,5297.03
257,2024-12-19,9148,SMH,Super Mai Hydropower Limited,1009.0,1029.0,970.3,988.0,3287,3232398.5,990.1,1283.0,564.0,2024-12-19T14:59:54.125624,988.0,59,983.38,5285.8
263,2024-12-22,9148,SMH,Super Mai Hydropower Limited,1007.0,1068.0,977.7,1023.0,1899,1897284.0,988.0,1283.0,564.0,2024-12-22T14:59:52.893969,1023.0,45,999.09,5473.05
246,2024-12-23,9148,SMH,Super Mai Hydropower Limited,1002.7,1032.9,985.0,1032.9,1860,1872416.0,1023.0,1283.0,564.0,2024-12-23T14:59:57.083482,1032.9,56,1006.67,5526.02
208,2024-12-24,9148,SMH,Super Mai Hydropower Limited,1044.0,1044.0,999.6,1010.0,3542,3590885.3,1032.9,1283.0,564.0,2024-12-24T14:59:51.850265,1010.0,61,1013.8,5403.5
268,2024-12-26,9148,SMH,Super Mai Hydropower Limited,1028.0,1045.5,1000.7,1000.7,3112,3196062.6,1010.0,1283.0,564.0,2024-12-26T14:59:18.492876,1000.7,70,1027.01,5353.74
221,2024-12-29,9148,SMH,Super Mai Hydropower Limited,985.2,1034.0,985.2,1016.0,1175,1183185.0,1000.7,1283.0,564.0,2024-12-29T14:59:58.551075,1016.0,38,1006.96,5435.6
