Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
252,2024-10-15,9146,SMHL,Super Madi Hydropower Limited,584.0,600.0,582.2,592.7,1408,831256.8,590.0,795.0,310.3,2024-10-15T14:59:57.531941,592.7,44,590.38,13069.04
262,2024-10-16,9146,SMHL,Super Madi Hydropower Limited,581.0,611.0,581.0,600.0,6186,3727742.0,592.7,795.0,310.3,2024-10-16T14:59:57.90517,600.0,96,602.6,13230.0
259,2024-10-17,9146,SMHL,Super Madi Hydropower Limited,600.0,612.0,597.8,612.0,6355,3848714.4,600.0,795.0,310.3,2024-10-17T14:59:59.137246,612.0,112,605.61,13494.6
259,2024-10-20,9146,SMHL,Super Madi Hydropower Limited,599.8,612.0,592.9,605.0,3848,2316801.8,612.0,795.0,310.3,2024-10-20T14:59:39.851531,605.0,83,602.07,13340.25
262,2024-10-21,9146,SMHL,Super Madi Hydropower Limited,593.1,608.0,587.0,600.0,9643,5739501.4,605.0,795.0,310.3,2024-10-21T14:59:57.829126,600.0,94,595.19,13230.0
257,2024-10-22,9146,SMHL,Super Madi Hydropower Limited,603.0,617.1,590.0,617.1,9158,5511854.5,600.0,795.0,310.3,2024-10-22T14:59:45.940935,617.1,122,601.86,13607.06
268,2024-10-23,9146,SMHL,Super Madi Hydropower Limited,606.0,641.0,606.0,625.0,6876,4243480.0,617.1,795.0,310.3,2024-10-23T14:59:58.929619,625.0,110,617.14,13781.25
259,2024-10-24,9146,SMHL,Super Madi Hydropower Limited,612.6,669.0,608.0,656.9,172337,108872430.3,625.0,795.0,310.3,2024-10-24T14:59:58.771992,656.9,235,631.74,14484.65
260,2024-10-27,9146,SMHL,Super Madi Hydropower Limited,643.8,656.0,635.0,650.0,11405,7361664.5,656.9,795.0,310.3,2024-10-27T14:59:56.679147,650.0,165,645.47,14332.5
251,2024-10-28,9146,SMHL,Super Madi Hydropower Limited,650.0,681.2,648.0,681.0,52995,35447594.2,650.0,795.0,310.3,2024-10-28T14:59:59.377053,681.0,349,668.88,15016.05
263,2024-10-29,9146,SMHL,Super Madi Hydropower Limited,685.0,701.0,681.0,701.0,34161,23689387.2,681.0,795.0,310.3,2024-10-29T14:59:57.499394,701.0,275,693.46,15457.05
250,2024-10-30,9146,SMHL,Super Madi Hydropower Limited,699.0,751.0,692.0,701.3,95650,67528426.7,701.0,795.0,310.3,2024-10-30T14:59:59.552627,701.3,370,705.99,15463.66
246,2024-11-05,9146,SMHL,Super Madi Hydropower Limited,710.0,729.0,689.1,700.0,15658,10947477.8,701.3,795.0,311.2,2024-11-05T14:57:32.791746,700.0,138,699.16,15435.0
262,2024-11-06,9146,SMHL,Super Madi Hydropower Limited,698.0,710.0,663.0,675.0,16665,11373520.0,700.0,795.0,311.2,2024-11-06T14:59:21.975731,675.0,155,682.47,14883.75
