Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
261,2024-10-15,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,538.0,540.0,528.2,537.0,15072,8073097.5,538.0,800.0,225.5,2024-10-15T14:59:40.032268,537.0,172,535.63,6014.4
271,2024-10-16,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,547.7,585.0,540.0,577.0,138812,78693534.4,537.0,800.0,225.5,2024-10-16T14:59:35.293534,577.0,804,566.9,6462.4
268,2024-10-17,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,570.0,624.0,570.0,596.0,118719,71806511.9,577.0,800.0,225.5,2024-10-17T14:59:52.645926,596.0,939,604.84,6675.2
268,2024-10-20,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,584.1,613.0,565.0,577.0,92891,54766810.9,596.0,800.0,225.5,2024-10-20T14:59:57.864658,577.0,791,589.58,6462.4
271,2024-10-21,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,577.0,580.0,560.0,564.0,66031,37500012.5,577.0,800.0,225.5,2024-10-21T14:59:58.527631,564.0,512,567.91,6316.8
266,2024-10-22,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,567.0,590.0,555.7,580.0,41503,23632902.8,564.0,800.0,225.5,2024-10-22T14:59:57.360081,580.0,451,569.42,6496.0
277,2024-10-23,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,585.0,591.0,563.5,574.0,47014,26987081.8,580.0,800.0,225.5,2024-10-23T14:59:56.37184,574.0,354,574.02,6428.8
268,2024-10-24,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,563.3,587.0,560.0,578.4,44127,25272428.9,574.0,800.0,225.5,2024-10-24T14:59:58.551507,578.4,409,572.72,6478.08
269,2024-10-27,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,580.0,580.0,569.0,575.0,18775,10768878.5,578.4,800.0,225.5,2024-10-27T14:59:43.576076,575.0,316,573.57,6440.0
260,2024-10-28,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,570.0,585.0,569.0,585.0,36387,21103804.6,575.0,800.0,225.5,2024-10-28T14:59:49.22627,585.0,376,579.98,6552.0
272,2024-10-29,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,593.9,607.0,585.0,598.0,74427,44642355.5,585.0,800.0,225.5,2024-10-29T14:59:59.290897,598.0,544,599.81,6697.6
259,2024-10-30,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,608.0,614.0,595.0,595.1,97829,58890284.3,598.0,800.0,225.5,2024-10-30T14:59:58.808719,595.1,553,601.97,6665.12
255,2024-11-05,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,606.9,610.9,595.0,596.2,45209,27221142.1,595.1,800.0,231.0,2024-11-05T14:59:52.308378,596.2,345,602.11,6677.44
271,2024-11-06,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,595.0,632.0,590.0,593.5,45981,27528601.6,596.2,800.0,231.0,2024-11-06T14:59:59.592719,593.5,325,598.69,6647.2
276,2024-11-10,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,593.5,622.0,587.2,612.0,143415,87195535.2,593.5,800.0,231.0,2024-11-10T14:59:56.163172,612.0,1115,607.99,6854.4
255,2024-11-11,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,595.0,607.0,582.2,587.0,55877,33235923.4,584.25,800.0,231.0,2024-11-11T14:59:58.259746,587.0,470,594.8,6886.68
268,2024-11-12,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,586.0,595.0,575.0,579.9,23016,13423767.6,587.0,800.0,231.0,2024-11-12T14:59:45.873865,579.9,294,583.23,6803.39
263,2024-11-13,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,570.0,579.8,566.5,568.0,38371,21935917.5,579.9,800.0,231.0,2024-11-13T14:59:52.507052,568.0,356,571.67,6663.78
275,2024-11-14,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,570.0,615.0,562.0,594.0,123024,72979142.0,568.0,800.0,231.0,2024-11-14T14:59:51.418085,594.0,798,593.21,6968.81
278,2024-11-17,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,605.0,610.0,584.1,584.1,64116,38275249.7,594.0,800.0,231.0,2024-11-17T14:59:46.755853,584.1,489,596.96,6852.66
265,2024-11-19,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,580.0,582.9,555.0,555.0,83206,47191369.4,584.1,800.0,231.0,2024-11-19T14:59:49.337539,555.0,555,567.16,6511.26
276,2024-11-20,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,555.0,570.0,552.1,564.9,39705,22353770.4,555.0,800.0,231.0,2024-11-20T14:59:53.85593,564.9,335,562.99,6627.41
268,2024-11-21,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,576.1,576.1,555.5,556.0,31329,17585117.8,564.9,800.0,231.0,2024-11-21T14:59:44.880199,556.0,279,561.3,6522.99
276,2024-11-24,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,550.0,582.0,541.0,541.1,28686,15831015.2,556.0,800.0,238.2,2024-11-24T14:59:57.018684,541.1,328,551.87,6348.19
243,2024-11-25,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,540.0,550.0,540.0,549.0,24008,13115822.1,541.1,800.0,238.2,2024-11-25T14:59:57.947682,549.0,322,546.31,6440.87
292,2024-11-26,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,551.2,585.0,551.2,581.9,74425,42779991.2,549.0,800.0,238.2,2024-11-26T14:59:54.372,581.9,572,574.8,6826.85
271,2024-11-27,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,587.0,592.0,577.0,584.0,45073,26400347.3,581.9,800.0,238.2,2024-11-27T14:59:55.310775,584.0,388,585.72,6851.49
