Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
167,2024-11-25,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,972.7,997.0,972.7,990.0,2890,2843445.8,992.5,1470.8,519.2,2024-11-25T14:59:59.789524,990.0,63,983.89,6938.5
197,2024-11-26,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,990.0,1000.0,975.1,998.0,6339,6247081.1,990.0,1470.8,519.2,2024-11-26T14:59:47.451863,998.0,85,985.49,6994.57
176,2024-11-27,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,978.1,1060.0,978.1,1035.0,34433,35612678.5,998.0,1470.8,519.2,2024-11-27T14:59:58.573594,1035.0,400,1034.26,7253.88
160,2024-11-28,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1054.0,1055.0,1010.0,1025.0,13325,13649350.2,1035.0,1470.8,519.2,2024-11-28T14:59:59.914556,1025.0,174,1024.34,7183.8
141,2024-12-01,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1004.5,1031.3,995.0,1025.0,13436,13644909.5,1025.0,1470.8,519.2,2024-12-01T14:59:56.622401,1025.0,144,1015.54,7183.8
167,2024-12-02,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1045.5,1110.0,1015.0,1082.0,32691,34801423.9,1025.0,1470.8,519.2,2024-12-02T14:59:59.540636,1082.0,441,1064.55,7583.29
173,2024-12-03,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1103.6,1148.0,1060.0,1097.0,19113,20984979.8,1082.0,1470.8,519.2,2024-12-03T14:59:59.205134,1097.0,295,1097.94,7688.42
176,2024-12-04,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1075.1,1205.0,1070.0,1070.0,37324,40979523.9,1097.0,1470.8,519.2,2024-12-04T14:59:59.62258,1070.0,420,1097.94,7499.18
168,2024-12-05,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1048.6,1091.0,1025.0,1032.0,21633,22514590.6,1070.0,1470.8,520.4,2024-12-05T14:59:47.695203,1032.0,240,1040.75,7232.86
170,2024-12-08,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1011.4,1030.0,980.1,995.0,13041,13020945.3,1032.0,1470.8,525.6,2024-12-08T14:59:59.190635,995.0,174,998.46,6973.54
171,2024-12-09,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,975.2,1035.8,970.0,979.1,7476,7354908.1,995.0,1470.8,525.6,2024-12-09T14:59:17.867296,979.1,120,983.8,6862.1
167,2024-12-10,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,998.6,998.6,958.0,960.0,7792,7524680.9,979.1,1470.8,525.6,2024-12-10T14:59:58.486615,960.0,100,965.69,6728.24
165,2024-12-11,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,979.2,1018.0,965.0,970.0,3610,3511347.5,960.0,1470.8,555.0,2024-12-11T14:59:52.2267,970.0,72,972.67,6798.33
179,2024-12-12,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,989.4,1009.0,952.2,957.0,3013,2919992.8,970.0,1470.8,555.0,2024-12-12T14:59:51.908536,957.0,68,969.13,6707.21
174,2024-12-16,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,950.0,951.0,925.1,938.0,6434,6012137.3,957.0,1470.8,569.0,2024-12-16T14:59:59.213233,938.0,101,934.43,6574.05
206,2024-12-17,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,920.0,954.9,920.0,925.0,5251,4880259.3,938.0,1470.8,569.0,2024-12-17T14:59:47.888715,925.0,85,929.39,6482.94
239,2024-12-18,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,943.5,943.5,910.0,920.0,4842,4432776.2,925.0,1470.8,569.0,2024-12-18T14:59:51.773407,920.0,80,915.48,6447.9
169,2024-12-19,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,938.4,938.4,905.0,910.0,7327,6689976.4,920.0,1470.8,569.0,2024-12-19T14:59:54.141716,910.0,87,913.05,6377.81
173,2024-12-22,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,898.0,971.8,898.0,928.0,4857,4410621.0,910.0,1470.8,569.0,2024-12-22T14:59:56.928367,928.0,98,908.09,6503.97
200,2024-12-23,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,937.0,951.6,910.3,949.5,2843,2645643.6,928.0,1470.8,569.0,2024-12-23T14:59:59.364143,949.5,83,930.58,6654.65
171,2024-12-24,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,930.6,968.0,930.6,948.8,4060,3844070.1,949.5,1470.8,569.0,2024-12-24T14:59:58.841999,948.8,78,946.81,6649.74
140,2024-12-26,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,930.1,946.0,930.0,946.0,1521,1415854.2,948.8,1470.8,569.0,2024-12-26T14:59:35.309265,946.0,54,930.87,6630.12
182,2024-12-29,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,928.0,964.9,911.1,940.0,5790,5450785.5,946.0,1470.8,569.0,2024-12-29T14:59:57.410361,940.0,125,941.41,6588.07
