Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
295,2024-10-15,9216,SONA,Sonapur Minerals And Oil Limited,476.0,485.0,472.0,483.3,27505,13194047.7,476.0,624.0,230.0,2024-10-15T14:59:43.491662,483.3,375,479.69,14861.72
306,2024-10-16,9216,SONA,Sonapur Minerals And Oil Limited,484.0,500.0,482.0,493.0,68921,34094923.0,483.3,624.0,230.0,2024-10-16T14:59:56.791537,493.0,715,494.69,15160.0
303,2024-10-17,9216,SONA,Sonapur Minerals And Oil Limited,500.0,517.4,490.0,504.0,158570,80554437.5,493.0,624.0,230.0,2024-10-17T14:59:52.33175,504.0,1516,508.0,15498.25
301,2024-10-20,9216,SONA,Sonapur Minerals And Oil Limited,494.1,503.8,478.0,485.0,118214,58154410.1,504.0,624.0,230.0,2024-10-20T14:59:53.694294,485.0,1172,491.94,14913.99
306,2024-10-21,9216,SONA,Sonapur Minerals And Oil Limited,480.0,489.0,472.0,472.3,71178,33967683.5,485.0,624.0,230.0,2024-10-21T14:59:49.720829,472.3,798,477.22,14523.46
299,2024-10-22,9216,SONA,Sonapur Minerals And Oil Limited,473.1,482.0,470.2,481.0,44950,21451782.4,472.3,624.0,230.0,2024-10-22T14:59:57.516862,481.0,661,477.23,14790.99
311,2024-10-23,9216,SONA,Sonapur Minerals And Oil Limited,472.0,488.0,472.0,473.2,58922,28355280.3,481.0,624.0,230.0,2024-10-23T14:59:50.394229,473.2,610,481.23,14551.14
303,2024-10-24,9216,SONA,Sonapur Minerals And Oil Limited,474.9,482.6,470.1,471.0,47929,22664520.2,473.2,624.0,230.0,2024-10-24T14:59:57.941842,471.0,587,472.87,14483.49
304,2024-10-27,9216,SONA,Sonapur Minerals And Oil Limited,471.0,474.0,465.1,469.0,31256,14644933.7,471.0,624.0,230.0,2024-10-27T14:59:44.764959,469.0,592,468.54,14421.98
295,2024-10-28,9216,SONA,Sonapur Minerals And Oil Limited,469.0,485.8,464.1,485.8,53703,25714036.0,469.0,624.0,230.0,2024-10-28T14:59:58.128158,485.8,662,478.81,14938.59
306,2024-10-29,9216,SONA,Sonapur Minerals And Oil Limited,486.0,495.0,483.1,487.0,47041,22989823.5,485.8,624.0,230.0,2024-10-29T14:59:58.956969,487.0,561,488.71,14975.49
291,2024-10-30,9216,SONA,Sonapur Minerals And Oil Limited,496.7,496.7,480.0,482.0,24826,12021521.0,487.0,624.0,230.0,2024-10-30T14:59:54.027003,482.0,376,484.23,14821.74
288,2024-11-05,9216,SONA,Sonapur Minerals And Oil Limited,482.0,486.0,476.0,478.0,21892,10508225.1,482.0,624.0,244.0,2024-11-05T14:59:56.085219,478.0,433,480.0,14698.74
306,2024-11-06,9216,SONA,Sonapur Minerals And Oil Limited,470.5,480.0,469.0,478.5,30617,14609970.5,478.0,624.0,252.2,2024-11-06T14:59:58.301625,478.5,461,477.18,14714.11
312,2024-11-10,9216,SONA,Sonapur Minerals And Oil Limited,475.0,498.6,475.0,498.0,71766,35213132.8,478.5,624.0,253.9,2024-11-10T14:59:59.65096,498.0,1051,490.66,15313.75
287,2024-11-11,9216,SONA,Sonapur Minerals And Oil Limited,500.0,510.9,492.0,492.0,98260,49404833.5,498.0,624.0,253.9,2024-11-11T15:00:00.000326,492.0,1142,502.79,15129.25
300,2024-11-12,9216,SONA,Sonapur Minerals And Oil Limited,499.0,508.9,492.3,498.0,124319,62483383.9,492.0,624.0,253.9,2024-11-12T14:59:56.280191,498.0,1154,502.6,15313.75
294,2024-11-13,9216,SONA,Sonapur Minerals And Oil Limited,495.1,502.9,490.0,492.3,52301,25896555.5,498.0,624.0,253.9,2024-11-13T14:59:55.203282,492.3,603,495.14,15138.47
308,2024-11-14,9216,SONA,Sonapur Minerals And Oil Limited,495.9,500.0,488.0,489.0,80061,39378200.7,492.3,624.0,253.9,2024-11-14T14:59:57.488236,489.0,826,491.85,15036.99
311,2024-11-17,9216,SONA,Sonapur Minerals And Oil Limited,490.0,495.0,485.0,486.0,81110,39697175.6,489.0,624.0,253.9,2024-11-17T14:59:57.710974,486.0,1031,489.42,14944.74
296,2024-11-19,9216,SONA,Sonapur Minerals And Oil Limited,483.3,490.0,474.0,475.0,80935,38739498.9,486.0,624.0,255.5,2024-11-19T14:59:57.668077,475.0,881,478.64,14606.49
309,2024-11-20,9216,SONA,Sonapur Minerals And Oil Limited,475.0,480.0,470.7,476.0,37064,17641991.6,475.0,624.0,257.4,2024-11-20T14:59:58.041387,476.0,577,475.98,14637.24
301,2024-11-21,9216,SONA,Sonapur Minerals And Oil Limited,470.0,479.0,466.5,468.0,64711,30480945.6,476.0,624.0,274.0,2024-11-21T14:59:56.114227,468.0,668,471.03,14391.23
308,2024-11-24,9216,SONA,Sonapur Minerals And Oil Limited,468.0,475.0,465.0,469.0,42672,20043208.6,468.0,624.0,280.0,2024-11-24T14:59:55.458651,469.0,720,469.7,14421.98
303,2024-11-25,9216,SONA,Sonapur Minerals And Oil Limited,469.0,477.3,466.3,468.5,34730,16383088.2,469.0,624.0,285.1,2024-11-25T14:59:45.738416,468.5,540,471.72,14406.61
286,2024-11-26,9216,SONA,Sonapur Minerals And Oil Limited,470.0,482.0,470.0,482.0,41794,19895317.5,468.5,624.0,285.1,2024-11-26T14:59:50.876744,482.0,652,476.03,14821.74
304,2024-11-27,9216,SONA,Sonapur Minerals And Oil Limited,482.0,491.0,477.4,485.0,44506,21616587.3,482.0,624.0,287.7,2024-11-27T14:59:56.448257,485.0,677,485.7,14913.99
298,2024-11-28,9216,SONA,Sonapur Minerals And Oil Limited,487.0,490.0,470.0,471.0,60160,28580933.3,485.0,624.0,287.7,2024-11-28T14:59:58.015994,471.0,676,475.08,14483.49
291,2024-12-01,9216,SONA,Sonapur Minerals And Oil Limited,465.1,470.0,462.0,465.0,68127,31782671.6,471.0,624.0,287.7,2024-12-01T14:59:59.86746,465.0,711,466.52,14298.98
300,2024-12-02,9216,SONA,Sonapur Minerals And Oil Limited,467.5,481.0,467.5,468.7,61943,29305157.0,465.0,624.0,287.7,2024-12-02T14:59:41.312726,468.7,747,473.09,14412.76
293,2024-12-03,9216,SONA,Sonapur Minerals And Oil Limited,468.7,479.0,468.7,476.0,48680,23158079.5,468.7,624.0,287.7,2024-12-03T14:59:59.841896,476.0,803,475.72,14637.24
306,2024-12-04,9216,SONA,Sonapur Minerals And Oil Limited,475.0,485.0,472.0,473.4,52233,24993502.8,476.0,624.0,287.7,2024-12-04T14:59:58.000272,473.4,720,478.5,14557.29
294,2024-12-05,9216,SONA,Sonapur Minerals And Oil Limited,482.0,482.0,466.0,466.0,40102,18899855.8,473.4,624.0,288.1,2024-12-05T14:59:52.305282,466.0,575,471.29,14329.73
306,2024-12-08,9216,SONA,Sonapur Minerals And Oil Limited,463.1,470.0,455.0,457.0,58418,26894367.4,466.0,624.0,302.9,2024-12-08T14:59:47.539242,457.0,706,460.37,14052.98
302,2024-12-09,9216,SONA,Sonapur Minerals And Oil Limited,456.0,465.0,455.1,458.0,40418,18574163.6,457.0,624.0,310.0,2024-12-09T14:59:39.346636,458.0,540,459.55,14083.73
289,2024-12-10,9216,SONA,Sonapur Minerals And Oil Limited,456.0,463.7,453.0,458.4,25919,11864910.8,458.0,624.0,328.0,2024-12-10T14:59:19.66748,458.4,422,457.76,14096.03
293,2024-12-11,9216,SONA,Sonapur Minerals And Oil Limited,457.0,465.0,453.0,465.0,21404,9857516.2,458.4,624.0,347.0,2024-12-11T14:59:41.238126,465.0,397,460.54,14298.98
295,2024-12-12,9216,SONA,Sonapur Minerals And Oil Limited,460.0,484.0,460.0,467.0,94309,44950925.0,465.0,624.0,347.0,2024-12-12T14:59:59.050909,467.0,1044,476.63,14360.48
269,2024-12-16,9216,SONA,Sonapur Minerals And Oil Limited,460.0,477.0,460.0,460.4,32411,15024802.8,467.0,624.0,377.2,2024-12-16T14:59:59.531741,460.4,502,463.57,14157.53
243,2024-12-17,9216,SONA,Sonapur Minerals And Oil Limited,460.0,465.0,456.0,459.0,24944,11435831.3,460.4,624.0,390.0,2024-12-17T14:59:59.964705,459.0,476,458.46,14114.48
178,2024-12-18,9216,SONA,Sonapur Minerals And Oil Limited,449.9,465.0,449.9,452.0,27730,12648559.6,459.0,624.0,399.0,2024-12-18T14:59:55.679984,452.0,476,456.13,13899.23
297,2024-12-19,9216,SONA,Sonapur Minerals And Oil Limited,451.0,457.0,444.0,444.0,37636,16860129.7,452.0,624.0,399.0,2024-12-19T14:59:51.645657,444.0,540,447.97,13653.22
304,2024-12-22,9216,SONA,Sonapur Minerals And Oil Limited,435.2,470.0,435.2,465.1,60764,27753245.2,444.0,624.0,399.0,2024-12-22T14:59:47.219103,465.1,756,456.73,14302.06
291,2024-12-23,9216,SONA,Sonapur Minerals And Oil Limited,456.0,477.0,456.0,475.9,70052,33051232.9,465.1,624.0,399.0,2024-12-23T14:59:56.271554,475.9,759,471.8,14634.16
303,2024-12-24,9216,SONA,Sonapur Minerals And Oil Limited,475.9,483.0,461.2,466.0,45568,21558433.3,475.9,624.0,399.0,2024-12-24T14:59:58.376601,466.0,587,473.1,14329.73
288,2024-12-26,9216,SONA,Sonapur Minerals And Oil Limited,461.5,470.9,459.0,459.0,27023,12495259.7,466.0,624.0,406.1,2024-12-26T14:59:58.42797,459.0,526,462.39,14114.48
305,2024-12-29,9216,SONA,Sonapur Minerals And Oil Limited,465.0,465.0,450.1,454.0,31030,14193171.5,459.0,624.0,406.1,2024-12-29T14:59:58.905621,454.0,552,457.4,13960.73
