Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
141,2024-11-25,2759,SPDL,Synergy Power Development Ltd.,314.0,314.0,308.1,309.1,50340,15621005.0,308.0,389.0,165.1,2024-11-25T14:59:59.394277,309.1,187,310.3,3739.68
142,2024-11-26,2759,SPDL,Synergy Power Development Ltd.,315.0,321.0,310.2,318.3,53199,16847819.2,309.1,389.0,165.1,2024-11-26T14:59:59.469729,318.3,253,316.69,3850.99
119,2024-11-27,2759,SPDL,Synergy Power Development Ltd.,324.6,328.5,319.0,327.9,64159,20813244.5,318.3,389.0,165.1,2024-11-27T14:59:58.04501,327.9,256,324.4,3967.14
127,2024-11-28,2759,SPDL,Synergy Power Development Ltd.,334.4,334.4,320.0,322.7,53080,17139771.7,327.9,389.0,165.1,2024-11-28T14:59:59.718191,322.7,226,322.9,3904.23
152,2024-12-01,2759,SPDL,Synergy Power Development Ltd.,323.0,324.3,308.0,319.9,72720,23114618.2,322.7,389.0,165.1,2024-12-01T14:59:59.939687,319.9,248,317.85,3870.35
118,2024-12-02,2759,SPDL,Synergy Power Development Ltd.,324.9,331.0,320.0,320.0,87513,28501229.6,319.9,389.0,165.1,2024-12-02T14:59:57.591633,320.0,327,325.67,3871.56
119,2024-12-03,2759,SPDL,Synergy Power Development Ltd.,326.0,329.1,320.0,323.0,64183,20848445.0,320.0,389.0,165.1,2024-12-03T14:59:58.488744,323.0,249,324.82,3907.86
119,2024-12-04,2759,SPDL,Synergy Power Development Ltd.,327.9,340.0,320.0,332.5,249053,83322000.2,323.0,389.0,165.1,2024-12-04T14:59:57.313628,332.5,678,334.55,4022.79
116,2024-12-05,2759,SPDL,Synergy Power Development Ltd.,338.0,338.0,323.4,326.0,175429,58256835.0,332.5,389.0,169.6,2024-12-05T14:59:59.754373,326.0,467,332.08,3944.15
121,2024-12-08,2759,SPDL,Synergy Power Development Ltd.,329.8,331.0,318.0,323.0,90889,29486951.4,326.0,389.0,174.5,2024-12-08T14:59:57.574234,323.0,293,324.42,3907.86
117,2024-12-09,2759,SPDL,Synergy Power Development Ltd.,329.4,329.4,323.0,325.4,60610,19694961.6,323.0,389.0,174.5,2024-12-09T14:59:59.011033,325.4,227,324.94,3936.89
116,2024-12-10,2759,SPDL,Synergy Power Development Ltd.,321.0,328.9,321.0,323.2,44312,14371939.1,325.4,389.0,176.5,2024-12-10T14:59:58.726421,323.2,168,324.33,3910.28
116,2024-12-11,2759,SPDL,Synergy Power Development Ltd.,317.1,337.1,317.1,334.1,158567,52760441.3,323.2,389.0,190.2,2024-12-11T14:59:59.088643,334.1,558,332.73,4042.15
106,2024-12-12,2759,SPDL,Synergy Power Development Ltd.,337.0,343.2,332.0,334.9,174021,58861029.3,334.1,389.0,192.1,2024-12-12T14:59:59.31308,334.9,550,338.24,4051.83
118,2024-12-16,2759,SPDL,Synergy Power Development Ltd.,330.0,332.5,323.1,324.4,93933,30734425.5,334.9,389.0,201.0,2024-12-16T14:59:19.036745,324.4,263,327.19,3924.79
147,2024-12-17,2759,SPDL,Synergy Power Development Ltd.,320.0,330.6,309.0,324.0,59067,19101787.6,324.4,389.0,201.0,2024-12-17T14:59:37.747074,324.0,167,323.39,3919.95
210,2024-12-18,2759,SPDL,Synergy Power Development Ltd.,320.1,327.7,320.1,323.5,54786,17763164.4,324.0,389.0,201.0,2024-12-18T14:59:54.321602,323.5,147,324.22,3913.91
119,2024-12-19,2759,SPDL,Synergy Power Development Ltd.,329.9,329.9,317.0,317.1,87900,28098933.8,323.5,389.0,201.0,2024-12-19T14:59:59.866803,317.1,231,319.66,3836.47
120,2024-12-22,2759,SPDL,Synergy Power Development Ltd.,311.0,329.0,311.0,317.0,51508,16436347.5,317.1,389.0,201.0,2024-12-22T14:59:56.414514,317.0,177,319.1,3835.26
145,2024-12-23,2759,SPDL,Synergy Power Development Ltd.,323.0,329.0,318.5,325.9,48871,15813224.7,317.0,389.0,201.0,2024-12-23T14:59:58.894263,325.9,179,323.57,3942.94
113,2024-12-24,2759,SPDL,Synergy Power Development Ltd.,332.4,334.0,325.8,334.0,102644,34025121.4,325.9,389.0,201.0,2024-12-24T14:59:59.159787,334.0,282,331.48,4040.94
144,2024-12-26,2759,SPDL,Synergy Power Development Ltd.,334.0,334.0,327.0,330.0,75284,24927391.4,334.0,389.0,201.0,2024-12-26T14:59:59.941219,330.0,239,331.11,3992.55
107,2024-12-29,2759,SPDL,Synergy Power Development Ltd.,335.0,335.0,320.3,322.9,48068,15581364.7,330.0,389.0,201.0,2024-12-29T14:59:55.36216,322.9,166,324.15,3906.65
