Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
259,2024-11-25,8121,SPHL,Sayapatri Hydropower Limited,769.0,772.0,751.0,757.0,8335,6322320.7,757.0,863.9,382.2,2024-11-25T14:59:39.829988,757.0,97,758.52,2271.0
270,2024-11-26,8121,SPHL,Sayapatri Hydropower Limited,749.2,785.0,749.2,770.1,3290,2532174.7,757.0,863.9,382.2,2024-11-26T14:59:23.237158,770.1,74,769.65,2310.3
249,2024-11-27,8121,SPHL,Sayapatri Hydropower Limited,785.0,800.7,773.0,789.0,6452,5107681.7,770.1,863.9,382.2,2024-11-27T15:00:02.603745,789.0,95,791.64,2367.0
219,2024-11-28,8121,SPHL,Sayapatri Hydropower Limited,804.7,820.0,760.0,780.3,7522,5873915.2,789.0,863.9,382.2,2024-11-28T14:59:24.951946,780.3,96,780.89,2340.9
261,2024-12-01,8121,SPHL,Sayapatri Hydropower Limited,776.0,779.9,760.0,760.0,5991,4590563.0,780.3,863.9,382.2,2024-12-01T14:57:38.094514,760.0,93,766.24,2280.0
243,2024-12-02,8121,SPHL,Sayapatri Hydropower Limited,775.0,799.9,760.0,760.0,4601,3553641.3,760.0,863.9,382.2,2024-12-02T14:56:38.369701,760.0,64,772.36,2280.0
239,2024-12-03,8121,SPHL,Sayapatri Hydropower Limited,775.2,790.7,760.0,785.0,6450,4998701.7,760.0,863.9,382.2,2024-12-03T14:59:48.434702,785.0,67,774.99,2355.0
252,2024-12-04,8121,SPHL,Sayapatri Hydropower Limited,788.0,799.0,775.9,776.0,8483,6652700.9,785.0,863.9,382.2,2024-12-04T14:59:48.33904,776.0,112,784.23,2328.0
238,2024-12-05,8121,SPHL,Sayapatri Hydropower Limited,787.9,791.0,770.0,791.0,8552,6624683.5,776.0,863.9,384.0,2024-12-05T14:59:43.968071,791.0,96,774.63,2373.0
249,2024-12-08,8121,SPHL,Sayapatri Hydropower Limited,797.7,799.9,770.0,782.9,6049,4742912.8,791.0,863.9,390.0,2024-12-08T14:59:52.943708,782.9,65,784.08,2348.7
244,2024-12-09,8121,SPHL,Sayapatri Hydropower Limited,782.9,782.9,761.1,775.0,3280,2526830.5,782.9,863.9,390.0,2024-12-09T14:51:00.620059,775.0,65,770.37,2325.0
236,2024-12-10,8121,SPHL,Sayapatri Hydropower Limited,790.5,790.5,765.4,767.1,5134,3981339.5,775.0,863.9,399.1,2024-12-10T14:59:37.708755,767.1,58,775.48,2301.3
238,2024-12-11,8121,SPHL,Sayapatri Hydropower Limited,762.2,801.0,762.2,795.0,7966,6312388.5,767.1,863.9,412.0,2024-12-11T14:59:20.689937,795.0,105,792.41,2385.0
247,2024-12-12,8121,SPHL,Sayapatri Hydropower Limited,810.9,810.9,770.0,785.0,5589,4357915.5,795.0,863.9,416.0,2024-12-12T14:59:58.786272,785.0,73,779.73,2355.0
244,2024-12-16,8121,SPHL,Sayapatri Hydropower Limited,769.5,830.0,768.0,783.9,6668,5225141.1,785.0,863.9,416.0,2024-12-16T14:59:28.463373,783.9,68,783.61,2351.7
275,2024-12-17,8121,SPHL,Sayapatri Hydropower Limited,768.3,783.0,768.0,775.0,1174,903261.6,783.9,863.9,416.0,2024-12-17T14:59:31.822135,775.0,35,769.38,2325.0
273,2024-12-18,8121,SPHL,Sayapatri Hydropower Limited,761.2,800.0,761.2,794.0,10364,8153360.7,775.0,863.9,416.0,2024-12-18T14:59:59.538923,794.0,89,786.7,2382.0
242,2024-12-19,8121,SPHL,Sayapatri Hydropower Limited,779.1,781.2,766.1,776.0,4365,3384639.4,794.0,863.9,416.0,2024-12-19T14:59:27.652325,776.0,61,775.4,2328.0
246,2024-12-22,8121,SPHL,Sayapatri Hydropower Limited,772.0,789.0,766.0,786.9,10118,7872154.5,776.0,863.9,420.1,2024-12-22T14:59:58.138752,786.9,106,778.03,2360.7
239,2024-12-23,8121,SPHL,Sayapatri Hydropower Limited,790.0,865.0,790.0,855.5,48413,39914912.4,786.9,865.0,443.0,2024-12-23T14:59:31.577494,855.5,464,824.46,2566.5
202,2024-12-24,8121,SPHL,Sayapatri Hydropower Limited,856.1,870.0,826.2,839.9,10143,8578349.8,855.5,870.0,443.0,2024-12-24T14:55:51.118364,839.9,144,845.74,2519.7
232,2024-12-26,8121,SPHL,Sayapatri Hydropower Limited,828.2,830.0,808.0,825.0,8841,7236417.0,839.9,870.0,443.0,2024-12-26T14:59:57.523267,825.0,94,818.5,2475.0
284,2024-12-29,8121,SPHL,Sayapatri Hydropower Limited,809.1,810.0,760.1,810.0,16984,13321727.3,825.0,870.0,443.0,2024-12-29T14:59:58.938756,810.0,164,784.36,2430.0
