Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
209,2024-11-25,5982,SRLI,Sanima Reliance Life Insurance Limited,442.1,450.9,441.0,445.0,21517,9572660.9,444.5,654.0,412.1,2024-11-25T14:59:55.380708,445.0,345,444.88,22041.14
185,2024-11-26,5982,SRLI,Sanima Reliance Life Insurance Limited,446.0,450.0,442.5,449.0,51194,22890846.2,445.0,654.0,412.1,2024-11-26T14:59:57.927634,449.0,416,447.13,22239.26
206,2024-11-27,5982,SRLI,Sanima Reliance Life Insurance Limited,450.0,458.0,449.2,454.1,35107,15954675.0,449.0,654.0,412.1,2024-11-27T15:00:02.617199,454.1,440,454.45,22491.87
204,2024-11-28,5982,SRLI,Sanima Reliance Life Insurance Limited,455.0,460.0,450.1,451.0,35472,16101665.7,454.1,654.0,412.1,2024-11-28T14:59:57.334763,451.0,370,453.92,22338.32
218,2024-12-01,5982,SRLI,Sanima Reliance Life Insurance Limited,450.0,450.0,440.0,446.0,34891,15541549.7,451.0,654.0,412.1,2024-12-01T14:59:57.972305,446.0,362,445.43,22090.67
201,2024-12-02,5982,SRLI,Sanima Reliance Life Insurance Limited,448.0,452.0,445.0,446.5,37089,16649121.5,446.0,654.0,412.1,2024-12-02T14:59:38.865582,446.5,452,448.89,22115.44
202,2024-12-03,5982,SRLI,Sanima Reliance Life Insurance Limited,448.0,453.0,442.0,447.0,67108,29979305.2,446.5,654.0,412.1,2024-12-03T14:59:56.588987,447.0,479,446.73,22140.2
211,2024-12-04,5982,SRLI,Sanima Reliance Life Insurance Limited,442.2,451.4,442.2,444.9,51664,23062746.4,447.0,654.0,412.1,2024-12-04T14:59:38.012574,444.9,459,446.39,22036.19
200,2024-12-05,5982,SRLI,Sanima Reliance Life Insurance Limited,444.0,449.8,439.0,441.8,42365,18702030.3,444.9,654.0,412.1,2024-12-05T14:59:47.874279,441.8,340,441.45,21882.64
204,2024-12-08,5982,SRLI,Sanima Reliance Life Insurance Limited,441.0,445.0,435.2,436.5,42375,18608315.8,441.8,654.0,412.1,2024-12-08T14:59:44.109091,436.5,383,439.13,21620.13
202,2024-12-09,5982,SRLI,Sanima Reliance Life Insurance Limited,435.5,443.8,427.8,430.0,50945,22041375.9,436.5,654.0,412.1,2024-12-09T14:59:56.729329,430.0,442,432.65,21298.18
196,2024-12-10,5982,SRLI,Sanima Reliance Life Insurance Limited,430.0,436.0,426.0,429.0,30628,13170778.3,430.0,654.0,412.1,2024-12-10T14:59:56.177289,429.0,333,430.02,21248.65
197,2024-12-11,5982,SRLI,Sanima Reliance Life Insurance Limited,429.0,437.0,426.2,433.0,39026,16748303.8,429.0,654.0,412.1,2024-12-11T14:59:58.537983,433.0,333,429.15,21446.77
195,2024-12-12,5982,SRLI,Sanima Reliance Life Insurance Limited,433.3,437.6,425.0,425.0,64156,27714101.4,433.0,654.0,412.1,2024-12-12T14:59:36.793833,425.0,389,431.97,21050.53
192,2024-12-16,5982,SRLI,Sanima Reliance Life Insurance Limited,425.1,429.0,416.0,419.0,54601,22972966.1,425.0,654.0,412.1,2024-12-16T14:59:58.788447,419.0,483,420.74,20753.34
173,2024-12-17,5982,SRLI,Sanima Reliance Life Insurance Limited,420.0,424.5,418.1,419.0,36012,15116277.2,419.0,654.0,412.1,2024-12-17T14:59:59.928218,419.0,371,419.75,20753.34
253,2024-12-18,5982,SRLI,Sanima Reliance Life Insurance Limited,420.2,436.0,418.0,419.0,43832,18487227.0,419.0,654.0,412.1,2024-12-18T14:59:52.699361,419.0,399,421.77,20753.34
199,2024-12-19,5982,SRLI,Sanima Reliance Life Insurance Limited,422.0,423.5,415.2,418.0,31349,13136206.3,419.0,654.0,412.1,2024-12-19T14:59:55.361045,418.0,361,419.03,20703.81
203,2024-12-22,5982,SRLI,Sanima Reliance Life Insurance Limited,417.0,424.0,417.0,417.8,30380,12756579.0,418.0,654.0,412.1,2024-12-22T14:59:56.632691,417.8,376,419.9,20693.91
185,2024-12-23,5982,SRLI,Sanima Reliance Life Insurance Limited,424.5,426.0,418.0,421.9,23655,9948500.0,417.8,654.0,412.1,2024-12-23T14:59:25.254856,421.9,311,420.56,20896.98
241,2024-12-24,5982,SRLI,Sanima Reliance Life Insurance Limited,421.0,426.0,421.0,422.1,37635,15978558.1,421.9,654.0,412.1,2024-12-24T14:59:42.866152,422.1,353,424.56,20906.89
180,2024-12-26,5982,SRLI,Sanima Reliance Life Insurance Limited,422.0,424.0,419.8,421.0,42788,18011675.0,422.1,654.0,412.1,2024-12-26T14:59:59.520952,421.0,414,420.95,20852.4
259,2024-12-29,5982,SRLI,Sanima Reliance Life Insurance Limited,420.1,424.0,420.0,421.3,47724,20097389.7,421.0,654.0,412.1,2024-12-29T14:59:56.221823,421.3,428,421.11,20867.26
