Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
296,2024-11-25,9194,TSHL,Three Star Hydropower Limited,1048.6,1147.0,963.0,1147.0,102555,101667011.2,1070.0,1231.0,350.0,2024-11-25T14:59:56.990536,1147.0,934,991.34,5648.98
251,2024-11-26,9194,TSHL,Three Star Hydropower Limited,1169.9,1169.9,1032.3,1032.3,8888,9213458.8,1147.0,1231.0,350.0,2024-11-26T14:59:41.163035,1032.3,68,1036.61,5084.08
291,2024-11-27,9194,TSHL,Three Star Hydropower Limited,1011.7,1011.7,952.0,965.0,47093,45568197.5,1032.3,1231.0,350.0,2024-11-27T15:00:02.649601,965.0,400,967.62,4752.63
269,2024-11-28,9194,TSHL,Three Star Hydropower Limited,984.3,984.3,932.0,935.0,18809,17689027.8,965.0,1231.0,350.0,2024-11-28T14:59:56.247074,935.0,267,940.45,4604.88
284,2024-12-01,9194,TSHL,Three Star Hydropower Limited,918.0,966.9,898.0,937.1,19349,18191950.5,935.0,1231.0,350.5,2024-12-01T14:59:54.545094,937.1,203,940.2,4615.22
285,2024-12-02,9194,TSHL,Three Star Hydropower Limited,954.0,954.0,902.0,912.1,11039,10201417.5,937.1,1231.0,368.2,2024-12-02T14:59:58.189721,912.1,185,924.12,4492.09
281,2024-12-03,9194,TSHL,Three Star Hydropower Limited,900.0,930.3,900.0,923.0,7505,6910728.0,912.1,1231.0,368.2,2024-12-03T14:59:58.363359,923.0,127,920.81,4545.77
293,2024-12-04,9194,TSHL,Three Star Hydropower Limited,939.0,939.0,901.0,901.0,12656,11599640.1,923.0,1231.0,368.2,2024-12-04T14:59:52.187826,901.0,151,916.53,4437.43
281,2024-12-05,9194,TSHL,Three Star Hydropower Limited,893.0,930.0,893.0,905.0,15559,14171555.0,901.0,1231.0,372.9,2024-12-05T14:59:40.606986,905.0,201,910.82,4457.13
292,2024-12-08,9194,TSHL,Three Star Hydropower Limited,900.0,922.0,880.0,890.0,17551,15763735.1,905.0,1231.0,380.0,2024-12-08T14:59:49.868296,890.0,223,898.16,4383.25
287,2024-12-09,9194,TSHL,Three Star Hydropower Limited,907.0,907.0,871.0,887.9,8672,7647130.0,890.0,1231.0,392.0,2024-12-09T14:59:56.086605,887.9,137,881.81,4372.91
276,2024-12-10,9194,TSHL,Three Star Hydropower Limited,880.0,897.0,868.2,884.0,13442,11811287.4,887.9,1231.0,392.0,2024-12-10T14:59:59.056929,884.0,138,878.68,4353.7
279,2024-12-11,9194,TSHL,Three Star Hydropower Limited,900.0,900.0,867.5,890.0,3760,3320959.0,884.0,1231.0,399.1,2024-12-11T14:59:31.283423,890.0,83,883.23,4383.25
289,2024-12-12,9194,TSHL,Three Star Hydropower Limited,880.0,897.8,872.2,875.0,7275,6418822.6,890.0,1231.0,399.1,2024-12-12T14:59:48.516299,875.0,147,882.31,4309.38
289,2024-12-16,9194,TSHL,Three Star Hydropower Limited,860.8,891.0,848.2,859.9,9987,8646375.7,875.0,1231.0,438.0,2024-12-16T14:59:23.787761,859.9,153,865.76,4235.01
304,2024-12-17,9194,TSHL,Three Star Hydropower Limited,845.0,887.1,830.3,870.0,20949,18139803.6,859.9,1231.0,438.0,2024-12-17T14:59:14.332021,870.0,205,865.9,4284.75
300,2024-12-18,9194,TSHL,Three Star Hydropower Limited,884.9,884.9,860.0,860.0,4231,3676286.4,870.0,1231.0,438.0,2024-12-18T14:59:59.482565,860.0,79,868.89,4235.5
285,2024-12-19,9194,TSHL,Three Star Hydropower Limited,843.1,877.0,843.1,858.9,2912,2498771.2,860.0,1231.0,438.0,2024-12-19T14:59:52.790894,858.9,75,858.09,4230.08
291,2024-12-22,9194,TSHL,Three Star Hydropower Limited,864.0,875.0,846.1,865.0,5448,4671212.5,858.9,1231.0,438.0,2024-12-22T14:59:28.397218,865.0,95,857.41,4260.13
312,2024-12-23,9194,TSHL,Three Star Hydropower Limited,865.1,879.8,850.0,875.0,12990,11216354.3,865.0,1231.0,438.0,2024-12-23T14:59:30.237388,875.0,149,863.46,4309.38
216,2024-12-24,9194,TSHL,Three Star Hydropower Limited,880.0,897.0,869.2,880.0,15050,13231913.5,875.0,1231.0,438.0,2024-12-24T14:59:57.773531,880.0,177,879.19,4334.0
293,2024-12-26,9194,TSHL,Three Star Hydropower Limited,888.0,888.0,866.0,866.0,4719,4109882.5,880.0,1231.0,438.0,2024-12-26T14:59:12.874535,866.0,79,870.92,4265.05
240,2024-12-29,9194,TSHL,Three Star Hydropower Limited,879.0,879.0,838.0,849.0,6984,5902281.6,866.0,1231.0,438.0,2024-12-29T14:59:51.642058,849.0,123,845.11,4181.32
