Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
230,2024-10-15,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,516.5,516.8,475.3,512.0,791,389633.0,506.9,622.0,250.8,2024-10-15T14:57:12.12056,512.0,30,492.58,2560.0
238,2024-10-16,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,501.8,514.7,494.0,510.4,3563,1802800.7,512.0,622.0,250.8,2024-10-16T14:59:59.411991,510.4,79,505.97,2552.0
236,2024-10-17,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,501.0,512.1,501.0,508.9,6365,3217722.1,510.4,622.0,250.8,2024-10-17T14:59:58.224794,508.9,89,505.53,2544.5
235,2024-10-20,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,508.8,515.0,478.0,490.0,17257,8480597.3,508.9,622.0,250.8,2024-10-20T14:59:27.55318,490.0,148,491.42,2450.0
240,2024-10-21,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,481.0,510.0,477.2,485.0,3772,1817947.6,490.0,622.0,250.8,2024-10-21T14:58:04.854073,485.0,87,481.95,2425.0
235,2024-10-22,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,475.5,494.5,475.5,487.0,5549,2675222.7,485.0,622.0,250.8,2024-10-22T14:59:56.162862,487.0,78,482.1,2435.0
244,2024-10-23,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,485.0,488.9,476.0,476.0,7360,3532216.0,487.0,622.0,250.8,2024-10-23T14:59:58.385363,476.0,94,479.92,2380.0
236,2024-10-24,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,467.9,499.3,467.9,480.0,7728,3680069.8,476.0,622.0,250.8,2024-10-24T14:59:34.145864,480.0,118,476.19,2400.0
239,2024-10-27,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,480.1,489.5,473.0,483.0,5305,2555356.5,480.0,622.0,250.8,2024-10-27T14:59:59.940734,483.0,106,481.68,2415.0
230,2024-10-28,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,475.0,499.1,475.0,497.0,5954,2936578.0,483.0,622.0,250.8,2024-10-28T14:58:55.575069,497.0,99,493.21,2485.0
239,2024-10-29,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,499.0,507.0,491.1,502.0,8650,4326642.8,497.0,622.0,250.8,2024-10-29T14:53:37.651392,502.0,144,500.18,2510.0
228,2024-10-30,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,502.0,511.5,480.5,497.0,15319,7518818.3,502.0,622.0,250.8,2024-10-30T14:59:58.567799,497.0,65,490.81,2485.0
226,2024-11-05,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,488.0,527.0,488.0,507.9,6537,3282806.0,497.0,622.0,250.8,2024-11-05T14:59:59.978617,507.9,111,502.18,2539.5
239,2024-11-06,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,500.0,544.2,500.0,527.0,19296,10043381.8,507.9,622.0,250.8,2024-11-06T14:59:55.611908,527.0,218,520.49,2635.0
