Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
117,2024-10-15,2760,UMHL,United Modi Hydropower Ltd.,338.0,338.0,318.0,321.0,52535,16920951.9,338.8,386.0,168.0,2024-10-15T14:59:49.524982,321.0,242,322.08,3949.91
118,2024-10-16,2760,UMHL,United Modi Hydropower Ltd.,324.0,331.9,321.0,325.9,40060,13076166.8,321.0,386.0,168.0,2024-10-16T14:59:53.691092,325.9,189,326.41,4010.2
119,2024-10-17,2760,UMHL,United Modi Hydropower Ltd.,329.0,349.9,322.7,326.0,92284,30150137.4,325.9,386.0,168.0,2024-10-17T14:59:58.456531,326.0,374,326.71,4011.43
120,2024-10-20,2760,UMHL,United Modi Hydropower Ltd.,319.5,323.0,312.0,315.0,71490,22641786.8,326.0,386.0,168.0,2024-10-20T14:59:58.684498,315.0,318,316.71,3876.07
120,2024-10-21,2760,UMHL,United Modi Hydropower Ltd.,318.0,318.0,305.4,308.9,31407,9712625.01,315.0,386.0,168.0,2024-10-21T14:59:59.662584,308.9,186,309.25,3801.01
119,2024-10-22,2760,UMHL,United Modi Hydropower Ltd.,315.0,315.0,305.0,312.0,25994,8052044.7,308.9,386.0,168.0,2024-10-22T14:59:49.276327,312.0,151,309.76,3839.16
120,2024-10-23,2760,UMHL,United Modi Hydropower Ltd.,316.7,316.7,307.0,310.4,19171,5946181.6,312.0,386.0,168.0,2024-10-23T14:59:58.907671,310.4,116,310.16,3819.47
120,2024-10-24,2760,UMHL,United Modi Hydropower Ltd.,310.0,313.0,304.7,309.9,31013,9539031.8,310.4,386.0,168.0,2024-10-24T14:59:57.071053,309.9,144,307.58,3813.32
121,2024-10-27,2760,UMHL,United Modi Hydropower Ltd.,315.0,316.0,306.5,309.9,22398,6972572.4,309.9,386.0,168.0,2024-10-27T14:59:42.372181,309.9,102,311.3,3813.32
117,2024-10-28,2760,UMHL,United Modi Hydropower Ltd.,312.5,317.9,308.5,317.8,35374,11113646.4,309.9,386.0,168.0,2024-10-28T14:59:56.263368,317.8,139,314.17,3910.53
118,2024-10-29,2760,UMHL,United Modi Hydropower Ltd.,319.9,344.0,316.0,335.0,230005,76355661.0,317.8,386.0,168.0,2024-10-29T14:59:46.127865,335.0,767,331.97,4122.18
118,2024-10-30,2760,UMHL,United Modi Hydropower Ltd.,340.0,343.9,336.5,339.7,162157,55049898.9,335.0,386.0,168.0,2024-10-30T14:59:57.403859,339.7,573,339.48,4180.01
117,2024-11-05,2760,UMHL,United Modi Hydropower Ltd.,333.0,372.0,333.0,372.0,115720,40030748.8,339.7,386.0,168.2,2024-11-05T14:59:59.15049,372.0,381,345.92,4577.46
120,2024-11-06,2760,UMHL,United Modi Hydropower Ltd.,364.6,394.0,350.1,357.0,330776,119188821.1,372.0,394.0,168.2,2024-11-06T14:59:59.394496,357.0,1053,360.33,4392.89
120,2024-11-10,2760,UMHL,United Modi Hydropower Ltd.,357.0,378.0,350.0,358.0,316075,112612892.5,357.0,394.0,168.2,2024-11-10T14:59:59.514047,358.0,945,356.28,4405.19
120,2024-11-11,2760,UMHL,United Modi Hydropower Ltd.,350.9,360.0,340.0,347.0,219949,76808103.7,358.0,394.0,168.2,2024-11-11T14:59:58.441008,347.0,877,349.2,4269.84
120,2024-11-12,2760,UMHL,United Modi Hydropower Ltd.,340.1,358.0,340.1,341.0,105046,36524075.8,347.0,394.0,168.2,2024-11-12T14:59:57.674017,341.0,382,347.69,4196.01
121,2024-11-13,2760,UMHL,United Modi Hydropower Ltd.,347.0,347.0,334.2,334.2,78870,26730037.5,341.0,394.0,168.2,2024-11-13T14:59:58.485092,334.2,358,338.91,4112.33
121,2024-11-14,2760,UMHL,United Modi Hydropower Ltd.,327.6,347.0,327.6,340.0,144983,49370373.2,334.2,394.0,168.2,2024-11-14T14:59:58.512881,340.0,576,340.52,4183.7
120,2024-11-17,2760,UMHL,United Modi Hydropower Ltd.,346.0,353.0,341.0,344.0,128772,44496082.7,340.0,394.0,168.2,2024-11-17T14:59:58.004909,344.0,420,345.54,4232.92
121,2024-11-19,2760,UMHL,United Modi Hydropower Ltd.,340.2,345.0,330.0,331.0,98820,33194075.4,344.0,394.0,168.2,2024-11-19T14:59:54.313519,331.0,427,335.9,4072.95
119,2024-11-20,2760,UMHL,United Modi Hydropower Ltd.,324.4,338.0,324.4,326.1,81224,26823762.1,331.0,394.0,170.0,2024-11-20T14:59:59.536357,326.1,366,330.24,4012.66
121,2024-11-21,2760,UMHL,United Modi Hydropower Ltd.,332.0,332.9,321.7,324.0,86907,28378243.8,326.1,394.0,170.5,2024-11-21T14:59:45.431438,324.0,355,326.53,3986.82
122,2024-11-24,2760,UMHL,United Modi Hydropower Ltd.,330.0,334.7,324.2,327.0,62477,20555782.7,324.0,394.0,173.0,2024-11-24T14:59:47.545714,327.0,226,329.01,4023.74
142,2024-11-25,2760,UMHL,United Modi Hydropower Ltd.,331.0,334.7,325.0,330.0,51799,17051530.1,327.0,394.0,173.0,2024-11-25T14:59:39.927224,330.0,207,329.18,4060.65
143,2024-11-26,2760,UMHL,United Modi Hydropower Ltd.,335.0,345.0,332.0,342.0,128172,43599934.7,330.0,394.0,173.0,2024-11-26T14:59:59.731751,342.0,479,340.16,4208.31
120,2024-11-27,2760,UMHL,United Modi Hydropower Ltd.,348.8,350.0,342.0,343.9,115043,39766912.5,342.0,394.0,173.0,2024-11-27T14:59:57.023369,343.9,351,345.66,4231.69
128,2024-11-28,2760,UMHL,United Modi Hydropower Ltd.,350.7,350.7,335.7,337.8,110323,37601984.7,343.9,394.0,173.0,2024-11-28T14:59:59.496279,337.8,301,340.83,4156.63
82,2024-12-01,2760,UMHL,United Modi Hydropower Ltd.,332.0,338.0,326.1,332.0,74869,24859932.9,337.8,394.0,173.0,2024-12-01T14:59:58.161241,332.0,235,332.04,4085.26
119,2024-12-02,2760,UMHL,United Modi Hydropower Ltd.,335.0,344.0,335.0,336.0,112723,38223391.8,332.0,394.0,173.0,2024-12-02T14:59:55.970013,336.0,368,339.09,4134.48
120,2024-12-03,2760,UMHL,United Modi Hydropower Ltd.,342.0,352.0,340.0,347.8,220679,76752035.7,336.0,394.0,173.0,2024-12-03T14:59:58.624823,347.8,739,347.79,4279.68
120,2024-12-04,2760,UMHL,United Modi Hydropower Ltd.,348.0,362.0,347.4,355.0,276953,98769437.9,347.8,394.0,173.0,2024-12-04T14:59:53.394709,355.0,975,356.62,4368.27
117,2024-12-05,2760,UMHL,United Modi Hydropower Ltd.,355.0,362.0,343.0,343.5,118567,41374939.4,355.0,394.0,173.9,2024-12-05T14:59:56.02809,343.5,516,348.95,4226.77
122,2024-12-08,2760,UMHL,United Modi Hydropower Ltd.,341.0,346.9,334.1,334.5,76940,26015348.0,343.5,394.0,183.4,2024-12-08T14:59:57.21303,334.5,327,338.12,4116.02
118,2024-12-09,2760,UMHL,United Modi Hydropower Ltd.,339.9,356.0,335.1,345.2,188449,65369695.7,334.5,394.0,186.4,2024-12-09T14:59:58.619291,345.2,676,346.88,4247.69
117,2024-12-10,2760,UMHL,United Modi Hydropower Ltd.,346.2,350.0,339.5,342.0,44256,15172390.9,345.2,394.0,192.9,2024-12-10T14:59:57.830635,342.0,212,342.83,4208.31
117,2024-12-11,2760,UMHL,United Modi Hydropower Ltd.,348.8,348.8,337.2,347.4,52329,18018740.6,342.0,394.0,198.0,2024-12-11T14:59:59.174186,347.4,207,344.33,4274.76
107,2024-12-12,2760,UMHL,United Modi Hydropower Ltd.,349.0,349.9,338.1,340.0,101988,34884828.9,347.4,394.0,198.0,2024-12-12T14:59:39.840285,340.0,291,342.04,4183.7
119,2024-12-16,2760,UMHL,United Modi Hydropower Ltd.,345.0,345.0,325.0,326.0,80474,26618052.1,340.0,394.0,198.0,2024-12-16T14:59:59.290469,326.0,362,330.76,4011.43
84,2024-12-17,2760,UMHL,United Modi Hydropower Ltd.,331.9,332.0,324.0,325.1,41059,13466571.5,326.0,394.0,198.0,2024-12-17T14:59:53.96934,325.1,223,327.98,4000.36
211,2024-12-18,2760,UMHL,United Modi Hydropower Ltd.,331.0,331.0,323.1,324.0,36688,11919290.5,325.1,394.0,198.0,2024-12-18T14:59:52.272506,324.0,171,324.88,3986.82
120,2024-12-19,2760,UMHL,United Modi Hydropower Ltd.,320.4,326.8,320.0,321.0,44364,14290827.0,324.0,394.0,198.0,2024-12-19T14:59:47.050913,321.0,185,322.12,3949.91
121,2024-12-22,2760,UMHL,United Modi Hydropower Ltd.,323.0,329.4,316.7,321.5,48991,15714945.1,321.0,394.0,198.0,2024-12-22T14:59:53.53757,321.5,173,320.77,3956.06
146,2024-12-23,2760,UMHL,United Modi Hydropower Ltd.,315.1,333.9,315.1,332.0,42107,13749810.2,321.5,394.0,198.0,2024-12-23T14:59:36.757914,332.0,207,326.54,4085.26
