Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
255,2024-11-25,8104,USHEC,Upper Solu Hydro Electric Company Limited,599.7,599.7,571.1,578.0,35001,20490952.0,588.0,661.6,234.0,2024-11-25T14:59:38.994959,578.0,147,585.43,7803.0
263,2024-11-26,8104,USHEC,Upper Solu Hydro Electric Company Limited,566.5,628.3,566.5,624.0,93250,56884307.9,578.0,661.6,234.0,2024-11-26T14:59:56.498665,624.0,615,610.01,8424.0
242,2024-11-27,8104,USHEC,Upper Solu Hydro Electric Company Limited,636.4,636.4,609.6,618.0,24530,15101519.6,624.0,661.6,234.0,2024-11-27T15:00:02.655704,618.0,257,615.63,8343.0
241,2024-11-28,8104,USHEC,Upper Solu Hydro Electric Company Limited,607.0,679.0,607.0,648.0,76849,49009787.3,618.0,679.0,234.0,2024-11-28T14:59:59.989551,648.0,480,637.74,8748.0
233,2024-12-01,8104,USHEC,Upper Solu Hydro Electric Company Limited,648.0,650.0,628.1,639.0,75237,48051315.0,648.0,679.0,234.0,2024-12-01T14:59:58.581267,639.0,431,638.66,8626.5
237,2024-12-02,8104,USHEC,Upper Solu Hydro Electric Company Limited,635.0,639.6,609.0,614.5,58795,36516646.0,639.0,679.0,234.0,2024-12-02T14:59:36.871521,614.5,356,621.08,8295.75
233,2024-12-03,8104,USHEC,Upper Solu Hydro Electric Company Limited,605.0,632.0,605.0,619.0,46088,28656184.4,614.5,679.0,234.0,2024-12-03T14:59:55.472154,619.0,354,621.77,8356.5
245,2024-12-04,8104,USHEC,Upper Solu Hydro Electric Company Limited,608.0,646.0,608.0,617.0,50849,31780241.9,619.0,679.0,234.0,2024-12-04T14:59:56.30094,617.0,323,624.99,8329.5
233,2024-12-05,8104,USHEC,Upper Solu Hydro Electric Company Limited,629.0,630.0,604.0,607.0,32239,19756717.7,617.0,679.0,235.2,2024-12-05T14:59:58.467688,607.0,216,612.82,8194.5
242,2024-12-08,8104,USHEC,Upper Solu Hydro Electric Company Limited,595.0,610.0,580.0,589.9,31640,18711163.9,607.0,679.0,241.2,2024-12-08T14:59:51.95533,589.9,193,591.37,7963.65
238,2024-12-09,8104,USHEC,Upper Solu Hydro Electric Company Limited,578.2,612.0,578.2,585.0,18158,10733979.3,589.9,679.0,241.2,2024-12-09T14:59:59.068898,585.0,161,591.14,7897.5
229,2024-12-10,8104,USHEC,Upper Solu Hydro Electric Company Limited,573.3,617.0,573.3,587.0,14699,8817836.6,585.0,679.0,252.0,2024-12-10T14:56:10.95965,587.0,171,599.89,7924.5
231,2024-12-11,8104,USHEC,Upper Solu Hydro Electric Company Limited,580.0,614.0,580.0,613.5,28308,17102841.8,587.0,679.0,257.0,2024-12-11T14:59:53.552551,613.5,268,604.16,8282.25
242,2024-12-12,8104,USHEC,Upper Solu Hydro Electric Company Limited,615.0,625.0,600.9,610.0,27250,16677525.5,613.5,679.0,258.0,2024-12-12T14:59:58.535569,610.0,207,612.01,8235.0
239,2024-12-16,8104,USHEC,Upper Solu Hydro Electric Company Limited,597.8,603.0,575.0,575.0,15351,9033364.0,610.0,679.0,270.3,2024-12-16T14:59:57.966423,575.0,184,588.45,7762.5
272,2024-12-17,8104,USHEC,Upper Solu Hydro Electric Company Limited,563.5,590.0,563.5,579.0,13126,7605355.3,575.0,679.0,270.3,2024-12-17T14:59:58.620313,579.0,156,579.41,7816.5
154,2024-12-18,8104,USHEC,Upper Solu Hydro Electric Company Limited,588.0,588.8,572.4,575.0,7020,4075986.0,579.0,679.0,276.8,2024-12-18T14:59:45.968719,575.0,97,580.62,7762.5
234,2024-12-19,8104,USHEC,Upper Solu Hydro Electric Company Limited,563.5,594.0,563.5,580.0,26913,15693152.9,575.0,679.0,276.8,2024-12-19T14:59:19.564632,580.0,183,583.1,7830.0
238,2024-12-22,8104,USHEC,Upper Solu Hydro Electric Company Limited,568.4,608.0,568.4,600.0,28468,16937217.3,580.0,679.0,293.3,2024-12-22T14:57:27.669782,600.0,224,594.95,8100.0
265,2024-12-23,8104,USHEC,Upper Solu Hydro Electric Company Limited,588.0,633.0,588.0,629.0,52342,32616609.6,600.0,679.0,300.0,2024-12-23T14:59:59.690605,629.0,323,623.14,8491.5
269,2024-12-24,8104,USHEC,Upper Solu Hydro Electric Company Limited,620.0,632.0,610.5,617.9,15973,9886695.9,629.0,679.0,300.0,2024-12-24T14:59:55.054483,617.9,144,618.96,8341.65
257,2024-12-26,8104,USHEC,Upper Solu Hydro Electric Company Limited,605.6,619.0,605.6,610.9,13051,7984955.0,617.9,679.0,300.0,2024-12-26T14:59:57.885186,610.9,149,611.82,8247.15
280,2024-12-29,8104,USHEC,Upper Solu Hydro Electric Company Limited,598.7,615.0,585.1,594.0,28020,16829133.4,610.9,679.0,300.0,2024-12-29T14:59:59.0486,594.0,211,600.61,8019.0
