Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
97,2024-10-15,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,867.0,867.0,850.0,856.1,327,279864.0,850.0,1174.0,546.1,2024-10-15T14:58:26.316882,856.1,14,855.85,6378.29
98,2024-10-16,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,856.1,936.0,856.1,936.0,6286,5523452.0,856.1,1174.0,546.1,2024-10-16T14:59:10.881181,936.0,68,878.69,6973.58
99,2024-10-17,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,917.3,919.0,890.0,919.0,9261,8431881.5,936.0,1174.0,546.1,2024-10-17T14:59:46.049655,919.0,109,910.47,6846.92
100,2024-10-20,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,900.7,936.0,871.3,936.0,8681,7794658.0,919.0,1174.0,546.1,2024-10-20T14:59:24.963738,936.0,107,897.89,6973.58
100,2024-10-21,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,918.0,919.0,867.0,915.0,2441,2208428.7,936.0,1174.0,546.1,2024-10-21T14:59:56.014017,915.0,46,904.72,6817.12
98,2024-10-22,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,897.0,910.0,897.0,910.0,447,402666.8,915.0,1174.0,546.1,2024-10-22T14:56:20.817628,910.0,22,900.82,6779.87
100,2024-10-23,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,892.0,902.5,877.0,902.5,3324,2937492.2,910.0,1174.0,546.1,2024-10-23T14:59:35.719489,902.5,43,883.72,6723.99
100,2024-10-24,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,885.0,901.0,870.0,870.1,4058,3561251.7,902.5,1174.0,546.1,2024-10-24T14:59:42.936273,870.1,61,877.58,6482.6
100,2024-10-27,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,887.0,887.0,854.0,857.0,4675,4016300.9,870.1,1174.0,546.1,2024-10-27T14:48:23.230301,857.0,50,859.1,6385.0
97,2024-10-28,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,862.1,885.0,853.0,885.0,1450,1262741.4,857.0,1174.0,546.1,2024-10-28T14:59:33.81976,885.0,31,870.85,6593.61
98,2024-10-29,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,895.0,900.0,882.1,882.1,1798,1591866.4,885.0,1174.0,546.1,2024-10-29T14:57:45.279557,882.1,40,885.35,6572.0
98,2024-10-30,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,884.0,898.0,875.0,898.0,3255,2894742.5,882.1,1174.0,546.1,2024-10-30T14:57:31.072701,898.0,29,889.32,6690.46
96,2024-11-05,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,881.0,896.7,880.1,896.7,191,168417.4,898.0,1174.0,552.8,2024-11-05T14:58:47.050061,896.7,13,881.76,6680.78
100,2024-11-06,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,880.0,883.0,879.1,883.0,251,221252.6,896.7,1174.0,552.8,2024-11-06T14:59:58.349348,883.0,9,881.48,6578.71
100,2024-11-10,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,880.0,934.0,880.0,934.0,4987,4540081.8,883.0,1174.0,552.8,2024-11-10T14:59:22.22469,934.0,93,910.38,6958.68
99,2024-11-11,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,933.9,990.0,920.0,958.8,20054,18971348.3,934.0,1174.0,552.8,2024-11-11T14:56:54.78391,958.8,196,946.01,7143.45
99,2024-11-12,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,959.0,960.0,931.0,948.0,8675,8228958.1,958.8,1174.0,552.8,2024-11-12T14:59:58.391072,948.0,78,948.58,7062.98
100,2024-11-13,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,966.0,966.0,920.1,942.9,3094,2873447.6,948.0,1174.0,552.8,2024-11-13T14:57:12.290655,942.9,57,928.71,7024.99
100,2024-11-14,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,925.0,960.0,922.0,922.0,8800,8201550.3,942.9,1174.0,552.8,2024-11-14T14:59:57.605076,922.0,75,931.99,6869.27
100,2024-11-17,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,930.0,955.0,922.0,939.0,9356,8785278.0,922.0,1174.0,552.8,2024-11-17T14:58:53.834361,939.0,86,938.99,6995.93
101,2024-11-19,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,942.8,943.0,910.0,919.9,6070,5623856.8,939.0,1174.0,555.0,2024-11-19T14:59:06.761622,919.9,57,926.5,6853.63
98,2024-11-20,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,915.0,929.0,912.0,929.0,3372,3084775.3,919.9,1174.0,558.6,2024-11-20T14:54:20.629584,929.0,42,914.82,6921.43
100,2024-11-21,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,947.4,959.0,916.0,930.0,24598,23038212.8,929.0,1174.0,558.6,2024-11-21T14:59:55.504851,930.0,102,936.58,6928.88
99,2024-11-24,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,930.0,960.0,930.0,949.6,12714,11992238.2,930.0,1174.0,558.6,2024-11-24T14:54:45.557171,949.6,116,943.23,7074.9
82,2024-11-25,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,950.0,953.0,935.1,951.6,6764,6393355.9,949.6,1174.0,558.6,2024-11-25T14:59:20.564009,951.6,67,945.2,7089.8
111,2024-11-26,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,969.0,974.9,940.0,959.9,5456,5217504.0,951.6,1174.0,558.6,2024-11-26T14:59:54.036224,959.9,59,956.28,7151.64
99,2024-11-27,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,943.1,959.9,943.1,945.0,3541,3354459.2,959.9,1174.0,558.6,2024-11-27T14:58:07.665717,945.0,67,947.31,7040.63
98,2024-11-28,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,937.1,945.0,929.0,930.0,2654,2473591.5,945.0,1174.0,558.6,2024-11-28T14:58:21.815983,930.0,55,932.02,6928.88
110,2024-12-01,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,915.0,930.0,915.0,927.0,1078,991589.6,930.0,1174.0,558.6,2024-12-01T14:59:37.158316,927.0,20,919.84,6906.52
98,2024-12-02,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,925.0,930.0,908.6,908.6,4313,3967887.7,927.0,1174.0,558.6,2024-12-02T14:59:34.943613,908.6,44,919.98,6769.44
100,2024-12-03,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,910.5,925.0,909.1,909.1,2848,2606953.5,908.6,1174.0,558.6,2024-12-03T14:54:36.297241,909.1,46,915.36,6773.16
100,2024-12-04,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,909.1,920.0,891.0,900.0,4910,4443044.7,909.1,1174.0,558.6,2024-12-04T14:58:13.219742,900.0,67,904.89,6705.36
97,2024-12-05,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,900.0,918.0,885.0,890.0,3644,3288040.5,900.0,1174.0,564.9,2024-12-05T14:59:59.260802,890.0,43,902.31,6630.86
99,2024-12-08,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,890.0,890.0,855.6,879.0,1968,1707139.4,890.0,1174.0,564.9,2024-12-08T14:59:45.878112,879.0,31,867.44,6548.91
98,2024-12-09,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,863.1,885.0,862.0,879.0,3172,2757708.5,879.0,1174.0,564.9,2024-12-09T14:59:47.398593,879.0,46,869.39,6548.91
97,2024-12-10,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,863.0,909.4,863.0,892.0,708,627311.9,879.0,1174.0,564.9,2024-12-10T14:59:41.885741,892.0,28,886.03,6645.76
97,2024-12-11,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,880.0,898.6,880.0,896.7,1117,986506.8,892.0,1174.0,564.9,2024-12-11T14:55:50.478001,896.7,19,883.17,6680.78
95,2024-12-12,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,900.0,914.6,872.0,880.0,2008,1771069.8,896.7,1174.0,564.9,2024-12-12T14:59:13.075177,880.0,34,882.0,6556.36
99,2024-12-16,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,870.0,880.0,850.0,880.0,2018,1734281.0,880.0,1174.0,564.9,2024-12-16T14:59:07.436571,880.0,38,859.4,6556.36
111,2024-12-17,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,863.0,890.0,853.0,879.0,1211,1047929.0,880.0,1174.0,564.9,2024-12-17T14:57:00.006347,879.0,23,865.34,6548.91
202,2024-12-18,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,875.0,889.0,856.0,875.0,1079,930041.4,879.0,1174.0,564.9,2024-12-18T14:54:23.845196,875.0,24,861.94,6519.1
100,2024-12-19,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,875.0,875.0,845.1,851.0,11109,9645136.9,875.0,1174.0,564.9,2024-12-19T14:51:55.06039,851.0,37,868.22,6340.29
100,2024-12-22,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,851.0,851.0,821.0,824.0,2248,1870943.2,851.0,1174.0,564.9,2024-12-22T14:59:45.246729,824.0,43,832.27,6139.13
76,2024-12-23,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,840.0,856.7,824.0,856.7,1665,1393965.4,824.0,1174.0,564.9,2024-12-23T14:58:32.69991,856.7,32,837.21,6382.76
